ID	한국어명	영문명	Gemini 키워드	영상(Kling) 노트	용도/효과	추천 조합	리스크	비고
MT-01	피부(모공·질감)	Skin Pores / Texture	natural skin texture, visible pores, subsurface scattering, fine vellus hairs, slight oil sheen	정지에 가까운 미세 호흡·눈깜빡임만, 표면 변화 없음	인물 클로즈업 리얼리즘·인간미	L13 매크로·S10 ECU·LGT03	과하면 '플라스틱 vs 거친 피부' 양극단	얼굴 신뢰의 기본. 무보정 룩
MT-02	주름·노화 피부	Wrinkles / Aged Skin	deep wrinkles, crow's feet, sagging skin, age spots, weathered skin texture	근육 미동에 주름 따라 접힘, 느린 표정 변화	연륜·피로·세월·권력자 해부	S08 CU·LGT09·EM(피로)	나이 임의 증감 — 정체성 락 필요	풍자=노쇠한 권력 강조
MT-03	땀	Sweat / Perspiration	beads of sweat, glistening perspiration, damp sheen on forehead and temples	땀방울 천천히 맺히고 또르르 흘러내림(Kling 액체 강점)	긴장·심문·거짓말 탐지·압박	S12 초커·LGT04 직사·MT-01	땀방울 부유·증발 비현실 가능	위선·식은땀 풍자 코어
MT-04	크롬·폴리시 금속	Polished Chrome	mirror-polished chrome, reflective metal, specular highlights, environment reflections	표면 반사가 카메라 무브에 따라 흐름, 형태 일정	고급·차가움·권력 상징 인서트	L23 트루매크로·LGT(스펙큘러)·CE-08	주변 반사에 텍스트·로고 환각	트로피·명패·고급차 광택
MT-05	녹슨 철	Rusted Iron	rusted iron, orange-brown corrosion, flaking rust, pitted oxidized metal	정적, 입자 떨어짐 없음(미세 바람 먼지만)	쇠락·방치·산업 폐허·낡은 체제	ENV(폐허)·CG-02 탈색·WX-08	부식 패턴 균질해 가짜처럼 보일 수 있음	부패·녹슨 시스템 은유
MT-06	황동·청동	Brass / Bronze	aged brass, warm golden metal, soft tarnish, antique bronze patina	정적, 표면 반사 은은	관청 명패·동상·구식 권위	MT-15 녹청·LGT(텅스텐)·ENV(관공서)	금색과 혼동	오래된 권위·기념물
MT-07	금(순금)	Gold	pure gold, lustrous yellow gold, soft reflective sheen, luxurious metallic glint	반짝임이 빛 각도 따라 미끄러짐	부·탐욕·뇌물·사치 풍자	MT-21 보석·MT-04·CE-07 보라	싸구려 노란 플라스틱처럼 될 위험	금괴·금배지=부패 인서트
MT-08	투명 유리	Clear Glass	clear glass, transparent surface, sharp refractions, caustic light, edge reflections	빛 굴절·굴절선이 무브에 따라 변화	정밀·차가움·격리·취조실	L13 매크로·LGT(역광)·MT-04	굴절·두께 비현실, 형태 일그러짐	유리벽=거리·감시
MT-09	성에·결로 유리	Frosted / Condensation Glass	frosted glass, condensation droplets, fogged window, water beading and trickling	물방울 천천히 맺혀 흘러내림(액체 강점)	은밀·내부 차단·우울·서정	WX(비)·MT-12 물방울·LGT05	—	창밖 비·익명성 가림
MT-10	깨진 유리	Shattered Glass	shattered glass, cracked surface, spiderweb fractures, sharp glass shards	파편 정지 권장(파괴 순간은 1샷 할애)	충격·폭로·파국·관계 파탄	FX-02 폭발·M22 슬로모·CE-01	비산 물리 매우 취약 — 정지 인서트로	깨진 신뢰·금 간 권위
MT-11	물 잔물결	Water Ripple	still water with gentle ripples, reflective surface, soft concentric rings	잔물결 천천히 퍼짐(Kling Fluid 강점)	정적·반영·여운·성찰	MT-04 반사·LGT05·COMP	—	수면 반영=이중성 인서트
MT-12	물방울	Water Droplet	water droplet, beading on surface, surface tension, glistening drop	물방울 맺혀 또르르 떨어지며 파문	디테일·신선·긴장(MT-03 땀과 구분)	L23 트루매크로·LGT(역광)	부유·증발 비현실	이슬·눈물·결로 매크로
