ID	팁 제목	분류	핵심 내용(기법 — 바로 쓸 수 있게)	출처(플랫폼·크리에이터 유형)	적용(이미지/영상/편집)	비고
CTS-01	0~3초 이탈 방어	훅·리텐션	이탈의 50~60%가 첫 3초에 발생 — 인트로·로고·"안녕하세요" 전부 삭제하고 첫 프레임에 바로 가장 센 장면을 둔다. 3초 시점에서 "왜 계속 봐야 하는지"가 이미 전달돼야 함	YouTube Shorts 그로스 블로그(OpusClip·Conbersa)	편집	"Viewed vs Swiped" 70%+ 가 훅 작동 신호(통설 수치). 노뮤트 시사훅=첫 컷에 갈등 정점
CTS-02	첫 프레임 모션	훅·프레이밍	정지 컷으로 열지 말 것 — 첫 프레임에 움직임(얼굴 돌아봄·손 진입·물 따름·반응 컷). 액션이 아니어도 '모션'이면 스크롤 관성을 끊는다	릴스·쇼츠 크리에이터 통설(vidIQ·Skeepers)	영상/편집	이미지 생성단에선 '막 움직이려는 순간' 포즈로 첫 프레임 동세 확보(M 무브먼트와 짝)
CTS-03	스냅줌·휙팬 패턴 인터럽트 진입	훅·편집	1초 안에 하드컷·휙팬(whip-pan)·스냅줌·시각적 미스매치 중 하나를 넣어 피드 리듬을 깬다 — "정돈된 완성도보다 패턴 파괴가 이긴다"	pattern-interrupt 편집 가이드(LightningIM·PrePublish)	편집	남발 금지(디지털 채찍질) — "의도된 파괴" 1발. 06 무브먼트 휙팬과 연계
CTS-04	텍스트 훅 7단어 룰	훅·자막	첫 1~2초에 화면에 뜨는 텍스트 훅은 한 주장·최대 7단어로 — 길면 못 읽고 스크롤. 큰 폰트·고대비로 즉시 가독	쇼츠 훅 공식 블로그(OpusClip·alfawaz)	편집	한글 텍스트는 후반 합성(생성단 깨짐, 31 GT-04). 생성은 상단 자막 공간만 비워둠(COMP-39)
CTS-05	호기심 갭 질문 훅	훅·서사	"왜 큰 크리에이터는 전 과정을 안 보여줄까?"식 — 특정 고충 공감·통념 반박·내부 정보 암시로 정보 격차를 열어 닫고 싶게 만든다	TikTok·쇼츠 훅 큐레이션(Conbersa·Azura)	편집	노뮤트=시사 쟁점을 질문화("이 발언, 진짜 뜻은?"). 답은 페이오프에서 닫음(CTS-19)
CTS-06	세로 안전영역 구도(9:16)	프레이밍·구도	1080×1920 중 핵심은 가운데 세로 띠(약 900×1400) 안에. 하단 ~20%(좋아요·댓글·공유 UI)·우측 ~10%·상단 ~10%(타이틀·노치) 비우기	플랫폼 세이프존 가이드(House of Marketers·AdxMagic)	이미지/영상/편집	AR-01·COMP-40과 정합. 자막·CTA·얼굴 전부 안전영역 안
CTS-07	세로는 중앙 정렬(삼분할 예외)	프레이밍·구도	가로의 삼분할과 달리 세로 쇼츠는 좌우 UI가 양옆을 먹어 '중앙 정렬'이 기본 — 피사체를 수평 중앙에, 눈높이는 상단 30~35% 지점에 둬 헤드룸 확보+상단 UI 회피	세로영상 세이프존 가이드(Medium·Clickyapps)	이미지/영상	COMP-18 헤드룸·COMP-40 수직적층과 세트. 인물 직캠 정본
CTS-08	타이트 클로즈업 우선	프레이밍·구도	세로는 와이드가 작게 보임 — 얼굴·손·물체를 꽉 채운 타이트 클로즈업이 폰에서 점유·몰입이 크다. 빠른 스와이프 환경엔 꽉 찬 프레임이 유리	세로영상 베스트(Vidu·edicionvideopro)	이미지/영상	COMP-21 프레임채우기·01b 클로즈업과 연계. 군중·풍경은 9:16서 압축됨 유의
CTS-09	하단 자막칸 비우는 프레이밍	프레이밍·구도	말자막이 하단 중앙에 깔리므로 생성·촬영 단계에서 하단 1/3에 핵심 피사체·중요 디테일을 두지 않는다 — 자막에 가려짐	캡션 베스트프랙티스(Blitzcut·SocialzAI)	이미지/영상	31 GT-01 로어서드·COMP-39와 한 묶음. 얼굴은 상단 60%
CTS-10	얼굴 직시 훅	훅·프레이밍	렌즈를 똑바로 보는 표정 강한 얼굴(놀람·분노·호기심)은 강력한 훅 — 정면 응시로 1:1 대결감·심리 연결을 즉발	쇼츠 훅 아이디어(vidIQ·JoinBrands)	이미지/영상	COMP-28 정면직시·22 표정(FACS)과 정합. 노뮤트=풍자 캐릭터 정면 클로즈
