ID	한국어명	영문명	기법(동세·액션 포착)	Gemini 키워드	영상(Kling) 지시문	추천 조합	리스크	비고
ACT-01	결정적 순간 정지	Peak Action Freeze	동작의 정점(점프 최고점·휘두름 정점·발 떼는 순간)을 칼같이 멈춰 잡음 — 스포츠 사진의 핵심. 빠른 셔터로 모든 디테일 선명	frozen at the peak of the action, razor-sharp, mid-motion suspended, every detail crisp, 1/2000s fast shutter look	the moment freezes at the peak of the action, held perfectly still and sharp for a beat	S07~S08(MCU)·EM-42(고함)·ACT-19(다이내믹 포즈)	—	빠른 동작 AI 취약의 1순위 완화책 — 움직이지 말고 '멈춘 정점'을 그려달라 함(정지=Kling 안전지대). sports photography 정본 기법
ACT-02	모션블러 속도 표현	Subject Motion Blur	피사체 자체가 흐르며 속도를 표현 — 느린 셔터로 움직이는 부위가 줄무늬로 늘어남. 정지화에 속도를 박아넣음	motion blur streaking across the moving subject, slow-shutter blur, sense of speed, trailing smear	the figure blurs with speed as it rushes through the frame, motion-blurred streaks	M22(슬로모 대비)·ACT-09(속도선)·L01(광각)	과하면 형태 식별 붕괴 — 한 부위만 블러 권고	정지화는 AI 강함(블러=의도된 뭉갬이라 오히려 안전). 영상은 잔상 자연 발생
ACT-03	패닝 블러(배경만 흐림)	Panning Blur	카메라가 피사체를 따라가 피사체는 선명·배경만 줄무늬로 흐름 — 속도감 최강 관용구. 느린 셔터+추적	panning shot, subject sharp while the background streaks into horizontal motion blur, sense of fast movement	camera pans to track the subject, keeping it sharp as the background streaks past in a blur	M09(트래킹)·M02(팬)·ENV(거리·트랙)	영상은 추적 자체가 Kling 약점(M09 모션붕괴) — 정지화 우선	1/30~1/125s panning이 정본. 시위 도주·경주·자전거에 강력. M02·M09 무브와 구분(이건 결과물 룩)
ACT-04	점프·낙하 정점	Jump / Fall Apex	도약의 최고 높이(체공 정점)나 낙하 직전 무중력 순간 포착 — 긴장과 부유가 임팩트보다 서사적	suspended at the apex of a jump, airborne and weightless, peak of the leap, hang time frozen	frozen at the top of the jump, weightless and suspended in midair for a held beat	ACT-01(정점정지)·AN-15(무게감)·SH-02(접지 없음→공중)	착지·연속 동작은 분할 — 정점 1프레임만	'biggest splash보다 airborne frame이 더 서사적'(리서치) — 정점 정지가 Kling 안전. 항거·체조·덩크
ACT-05	충돌·임팩트 순간	Collision / Impact Moment	두 힘이 부딪히는 찰나(주먹 닿음·몸싸움 격돌·물체 충돌) — 변형·압축이 보이는 정점	the instant of impact, bodies colliding, the moment of contact, compression at the point of impact	the two forces collide at the moment of impact, frozen at the instant of contact	ACT-13(격투)·FX-02(충격파)·AN-05(스쿼시)·EM-42	연속 타격은 Kling 붕괴 — '닿는 순간' 단일 정지로	몸싸움·충돌은 빠른동작 → 정점 정지+슬로모로만 안전. 시위 몸싸움 풍자. IP 회피(특정 격투 IP 금지)
ACT-06	비산물 동반(파편·물·먼지)	Flying Debris / Spray	액션에 딸려 흩어지는 물·먼지·파편·땀방울로 에너지 시각화 — 동작의 결과를 입자로	debris and dust flying outward, water spray bursting, sweat droplets scattering, particles exploding from the action	dust and spray burst outward from the action, particles scattering through the air	FX-02(폭발)·FX-14(물스플래시)·M22(슬로모)·ACT-04	입자 다량=모션 부담 → 슬로모로 묶기	물 물리는 모델 비교적 강함(FX-14) / 파편은 비현실 리스크. 슬로모 페어가 정석
ACT-07	슬로모 디테일	Slow-motion Detail	고속 동작을 느리게 펼쳐 머리칼·천·물방울·근육 떨림의 미시 디테일을 보임 — Kling 빠른동작 취약의 최강 완화책	slow-motion capturing fine detail, hair and fabric rippling slowly, droplets suspended, time stretched	the action unfolds in slow motion, every fine detail of hair, cloth and spray drawn out	M22(슬로모)·ACT-06(비산물)·EM-16(눈물)·L12(85mm)	대사 씬과 충돌(립싱크 깨짐) — 무언 액션만	**빠른 동작의 1차 처방**(M22 동계열) — 느리면 AI가 프레임당 형태를 안정적으로 그림. 격투·도주·물 디테일
ACT-08	스트로보 연속동작	Strobe / Multiplicity	한 프레임에 같은 인물의 여러 동작 단계가 겹쳐 찍힘 — 다중노출 스트로보로 궤적을 한 장에	stroboscopic multiple exposure, the same figure repeated in successive poses across the frame, motion sequence overlaid	strobe effect, the figure leaves a trail of frozen poses across the motion	FX-07(이중노출)·ACT-09(속도선)·ACT-19	겹침 정합 어려움 — 정지화 강점, 영상은 잔상으로 대체	정지화 관용구(다이빙·골프 스윙 분해). 영상 Kling은 다중상 재현 약함 → 정지 우선
ACT-09	액션라인·속도선(만화풍)	Speed Lines / Action Lines	만화·애니의 속도선 — 동작 방향으로 줄무늬를 깔거나 임팩트 중심에서 방사. 풍자 톤에 직격	manga speed lines, action lines streaking in the direction of movement, radial impact lines, comic motion effect	dynamic speed lines streak across the frame following the motion, comic-style action lines	STYLE(만화·애니)·ACT-05(임팩트)·AR(세로)	실사 톤과 충돌 — 만화/애니 화풍 앵커 필수	Tezuka 기원 관용구. 곡선=곡선동작·방사=폭발/임팩트. 노뮤트 풍자 카툰에 강력. 화풍 일치 전제
ACT-10	신체 다이내믹 포즈	Dynamic Body Pose	정지 속에서도 비틀림·기울임·중심이동으로 '움직이는 중'을 느끼게 — contrapposto의 액션판. 선이 사선	dynamic action pose, body twisting and off-balance, weight mid-shift, diagonal lines of action, coiled tension	the body holds a dynamic twisted pose, off-balance and mid-shift, full of coiled energy	AN-18(무게이동)·AN-15(무게감)·ACT-01·COMP(사선)	대칭·정면 직립=죽은 포즈(반대)	정지 액션의 핵심 — 사선·비대칭이 동세를 만듦. 연설·삿대질·도주 자세 풍자
ACT-11	군중 쇄도	Crowd Surge / Rush	군중이 한 방향으로 밀려드는 집단 동세 — 시위·인파·돌진. 다수 모션블러+방향성	a crowd surging forward in one direction, mass of people rushing, collective motion blur, wave of bodies	the crowd surges forward as one, a wave of people rushing toward the camera	ACT-03(패닝)·M41(리버스트래킹)·NEG01(손)·ENV(광장)	군중 다수=얼굴·손 왜곡 폭증 → 멀리·블러로	시위 충돌·집회 풍자 코어. 개별 얼굴 식별 낮추고(원경) NEG01 병기. 군중은 거리 둘수록 안전
ACT-12	추격 구도	Chase Framing	쫓고 쫓기는 관계를 한 프레임에 — 앞선 자·뒤쫓는 자의 거리와 방향. 도주/추적 서사	chase composition, one figure pursuing another, dynamic gap between pursuer and pursued, motion in the same direction	a chase unfolds, one figure pursuing the other across the frame with urgent forward motion	M41(리버스트래킹)·M09(트래킹)·ACT-03·ACT-16	빠른 양방향 이동=Kling 취약 → 정지구도/슬로모	도주 정치 풍자(잠적·도피). 영상은 분할·슬로모로. 정지화로 '거리=긴장' 잡는 게 안전
ACT-13	격투 순간	Combat / Scuffle Beat	몸싸움·격돌의 한 박자 — 멱살·밀침·엉킴. 임팩트 직전/직후의 정지된 긴장	a frozen beat of a scuffle, grappling and shoving, bodies locked in struggle, tense physical clash	two figures clash in a struggle, frozen mid-grapple at the peak of the scuffle	ACT-05(임팩트)·EM-42(고함)·EM-05(분노)·NEG01	연속 합=Kling 붕괴 1순위 → 단일 클린치 정지만	국회·시위 몸싸움 풍자. **반드시 정점 정지/슬로모**(연속 동작 금지). IP 회피·실인물 캐리커처화
ACT-14	던지기·휘두르기 궤적	Throw / Swing Arc	던지거나 휘두르는 동작의 호 궤적 — 팔·물체가 그리는 곡선과 정점. 투척·타격	the arc of a throw or swing, the trajectory curving through the air, captured at the top of the motion	the arm swings through its arc, frozen at the peak of the throw mid-trajectory	AN-16(동작아크)·ACT-01·ACT-09(궤적선)·M22	휘두름 중간=블러/붕괴 → 정점 또는 궤적선	계란·신발 투척 시위 풍자. 정점 정지가 안전(AN-16 아크와 세트). 던진 물체는 비행 정지로
ACT-15	1인칭 액션캠 시점	First-person Action-cam POV	헬멧캠·고프로식 1인칭 — 손·핸들·무기가 화면 하단에 들어오고 광각 왜곡+흔들림으로 박진감	first-person action-cam POV, GoPro-style wide-angle, hands and gear visible at the bottom edge, immersive helmet-cam view	a first-person action-cam view rushing forward, hands in frame, wide-angle and immersive	V01(1인칭)·M18(FPV드론)·L01(어안)·M16(핸드헬드)	광각 고속=주변부 워핑 → 중속·중앙 피사체	V01·M18과 친족. 시위 진압·도주 현장감. 어안 왜곡은 의도된 룩이라 OK
ACT-16	추적 트래킹 발사	Tracking Action Burst	카메라가 달리는 피사체를 바짝 따라가며 burst로 잡는 결 — 동행 박진감. 스포츠 중계 룩	camera tracking alongside the running subject, fast follow, dynamic sports-broadcast tracking energy	the camera races alongside the sprinting figure, tracking the fast action in a tight follow	M09(트래킹)·M07(트럭)·ACT-03(패닝)·ENV(트랙)	빠른 추적=Kling 모션붕괴(미해결§) → 슬로모·중속	burst mode/AI Servo의 영상판. M09 한계 정직 반영 — 빠르면 슬로모로 늦추기. 도주·경주
ACT-17	무중력·부유 정지	Floating / Suspended Beat	낙하·도약 중 무중력처럼 떠 있는 정지 박자 — 시간이 멎은 듯. ACT-04의 정적 버전	suspended weightless in midair, floating frozen beat, gravity-defying pause, time stands still	everything hangs suspended for a beat, weightless and frozen in midair	ACT-04(점프정점)·M23(불릿타임)·FX-13(정지파쇄)·AN-36	부유 자체가 물리위반(NEG08) → 화풍/슬로모로 정당화	bullet-time(M23)·정지의 연기(AN-36)와 친족. 환상·각성 풍자. 실패율 있어 1샷 할애
ACT-18	임팩트 흔들림(카메라 펀치)	Impact Shake / Camera Punch	충격 순간 카메라가 짧게 흔들려 타격감 전달 — 핸드헬드 흔들림이 임팩트와 동기화	the camera jolts on impact, a sharp shake synced to the hit, punchy handheld energy on contact	the camera jolts and shakes at the moment of impact, a quick punch of energy	M16(핸드헬드)·M49(관성정지)·ACT-05·FX-02	과한 흔들림=멀미·프레임 붕괴 → 짧게 1회	타격감 관용구(영상 전용). M16·M49와 세트. 충돌·폭발 임팩트. 정도 부사로 제어
ACT-19	솟구침·돌입 자세	Lunge / Burst-forward Pose	앞으로 돌진·솟구치는 폭발적 자세 — 한 발 내딛고 상체가 앞서 나가는 추진. 공격·돌파	an explosive lunge forward, body bursting ahead, one foot driving off, surging momentum	the figure bursts forward in an explosive lunge, body driving ahead with momentum	AN-27(앞무게이동)·ACT-10(다이내믹포즈)·ACT-01·EM-42	연속 돌진은 분할 — 돌입 정점 정지	AN-27(전후축 무게이동)의 액션판. 돌파·진입·항거 풍자. 정점 정지가 안전
ACT-20	낙하·추락	Falling / Plunge	아래로 떨어지는 동세 — 머리칼·옷이 위로 솟고 팔다리가 허우적. 추락 정점 또는 슬로모	falling downward, hair and clothes streaming upward, limbs flailing, captured mid-plunge	the figure plunges downward, hair and clothing streaming up as they fall	ACT-04(낙하직전)·ACT-06(비산물)·M07(하강무브)·M22	빠른 낙하=형태 붕괴 → 슬로모·정점	'추락=몰락' 풍자 은유. 슬로모로 늦추면 안정. 옷·머리 역류 방향이 핵심 단서
