ID	분류	한국어명	영문명	비주얼 디테일(고증)	Gemini 키워드	GPT/영상 산문	용도(노뮤트)	비고
KR-01	전통건축	한옥 마당	hanok courtyard (madang)	흙·마사토 바닥의 빈 ㅁ자 안마당, 둘러싼 기와채·툇마루, 장독대 한켠, 낮은 돌담, 처마 그늘이 마당으로 길게 떨어짐	traditional Korean hanok courtyard, packed-earth madang ringed by tiled wings, low stone wall, row of onggi jars, deep eaves shadow	A square earthen courtyard hemmed by tile-roofed wings; clay jars line one edge, long eaves cast a hard shadow across the bare ground	전통·격식·뿌리 톤 / 정치인 '종갓집' 코스프레 풍자 배경	STYLE02+ENV+LIGHT07. 마당=하늘과 땅 잇는 빈 무대(고증)
KR-02	전통건축	단청 처마	dancheong eaves	기둥·서까래에 오방색(청·적·황·백·흑) 기하·연화 문양 채색, 공포(두공) 짜임, 겹처마 곡선, 풍경(風磬) 매달림	dancheong painted eaves, obangsaek geometric and lotus patterns on rafters, bracket sets, double curved eaves, hanging wind chime	Bracketed eaves blaze with five-color dancheong—lotus and geometric bands on every rafter—curving up to a hung bronze wind chime	궁궐·사찰·권위 상징 / 권력의 '전통 빌리기' 환유	오방색=음양오행(고증). STYLE02+14 CG
KR-03	전통건축	기와지붕 처마선	curved tile roof	암키와·수키와 골, 용마루·치미(취두), 끝을 살짝 들어올린 처마곡(앙곡·안허리), 회색 토기와 질감	grey clay-tiled Korean roof, concave-convex tile rows, raised ridge with chimi ornament, gently upturned eave line	Rows of grey clay tiles sweep to an upturned eave; a ridge ornament crowns the roofline against the sky	시대극·전통 establishing shot / 한국 즉시 식별 스카이라인	S01(LS)+STYLE02. 처마곡=한옥 식별 키
KR-04	전통건축	대청마루·온돌방	daecheong & ondol room	우물마루 짠 나무 대청, 들어열개 분합문, 좌식 보료·서안, 한지 바른 미닫이, 온돌 장판의 누런 콩기름 윤기	wooden daecheong hall with woomul-maru plank floor, lifted folding doors, low floor cushions and writing desk, paper sliding screens, oiled ondol floor	A plank-floored hall opens through lifted lattice doors; low cushions and a writing desk sit on a paper-screened, oil-sheened ondol floor	전통 권위·좌식 회의 / 사극풍 음모·밀담 세트	SET-21+11 연기(좌식 블로킹)
KR-05	의례/명절	차례상	charye ancestral table	층층 교자상에 신위 병풍, 조율시이(대추·밤·감·배) 줄, 어동육서·홍동백서 배열, 송편·전·탕·놋제기·향로·지방	Korean ancestral rite table, folding screen behind, tiered offerings of jujube chestnut persimmon pear, songpyeon and jeon, brass ritual vessels, incense burner	A folding screen backs a tiered offering table—fruit rows, songpyeon, fried jeon in brass vessels, incense smoke rising	명절 정치 풍자(귀성·민심) / 위선의 '효(孝) 퍼포먼스'	배열 규범 고증(조율시이·홍동백서). 위패 문구=후반 합성
KR-06	의례/명절	세배·설빔	sebae new-year bow	색동저고리 설빔 차림, 무릎 꿇어 큰절(세배), 어른의 세뱃돈 흰 봉투·복주머니, 떡국 상	new-year deep bow scene, children in colorful seolbim hanbok kneeling in full bow, elders offering white money envelope and lucky pouch, tteokguk bowls	Children in striped seolbim kneel in a deep bow; an elder holds out a white envelope, tteokguk steaming on the low table	명절·세대·민심 / '국민께 세배' 정치 쇼 풍자	색동=오방색 배색(고증). EM(공손)+S05
KR-07	의례/명절	한가위 보름달	chuseok harvest moon	맑은 밤 거대한 보름달, 추수 들녘·억새 실루엣, 차례 마친 마당의 등불, 송편·강강술래 원무 암시	huge full harvest moon over an autumn field, silver eulalia grass silhouettes, lantern glow in a courtyard, hint of circle dance	A vast full moon hangs over a harvested field; eulalia sways in silhouette, a courtyard lantern glows below	명절 정서·향수 establishing / 풍요 대비 민생 반어	WX(맑은밤)+LIGHT08(달빛). 반어 병치 효과
KR-08	시위·집회	촛불집회	candlelight vigil	어둠 속 끝없이 번지는 촛불·종이컵 가리개, 광화문급 광장 운집, 무대·대형 현수막, 평화·축제형 군중	sea of candlelight in a night plaza, paper-cup candle shields, vast peaceful crowd, stage and giant banner, festive nonviolent mood	An endless sea of candles flickers across a night plaza; paper-shielded flames stretch to a distant stage and banner	대의·민심·평화시위 상징 / 한국 저항의 아이콘	검증: 촛불=비폭력 시민운동 상징(고증). M14(군중)+LIGHT07
KR-09	시위·집회	응원봉 시위	light-stick protest	K-pop·야구 응원봉 수만 개 색색 점등, 야간 광장 빛바다, 신세대 평화·축제 시위, 구호 대신 떼창	tens of thousands of glowing K-pop light sticks in a night crowd, multicolor sea of lights, young festive nonviolent protest	A multicolor galaxy of light sticks pulses across a night crowd—part rally, part concert, no flame in sight	2024 신형 저항 아이콘 / 세대교체·축제형 시위	검증: 2024 탄핵 집회 응원봉=저항 상징(다수 보도). LIGHT08+WX-야경
KR-10	시위·집회	근조화환	condolence wreath protest	관공서·사옥 앞 줄지은 흰 국화 3단 화환, 검은 근조 리본·항의 문구 띠, 장례 메타포로 비판	rows of three-tier white chrysanthemum condolence wreaths lined before an office building, black ribbons and printed protest sashes	A funeral-style row of white wreaths fronts an office tower, black ribbons and slogan sashes turning grief into protest	'정의가 죽었다' 풍자 / 소수로도 강한 메시지	검증: 근조화환=한국 신종 시위도구(2006~, 보도). 문구=후반 합성
KR-11	시위·집회	현수막·플래카드 벽	banner wall	건물 외벽·육교·도로 위 대형 천 현수막 도배, 빨강·파랑 바탕 큰 흰 글씨, 노끈·케이블타이로 난간 결박	wall of large cloth protest banners draped over a building facade and overpass, bold white text on red and blue grounds, zip-tied to railings	Cloth banners blanket a facade and overpass—huge white type on red and blue, lashed to every railing	여론전·진영 도배 / 거리 정치의 시각 소음	텍스트=후반 합성(NEG03 한글 렌더 취약). SET-08
KR-12	시위·집회	1인 시위	one-person protest	관공서 정문 앞 홀로 선 피켓 시위자, 어깨띠·손팻말, 텅 빈 주위와 대비, 비·땡볕 견디는 고립감	lone one-person protester standing before a government gate, holding a placard and wearing a sash, empty surroundings, weathered solitude	A single figure stands at a ministry gate, placard raised, sash across the chest—utterly alone against the empty plaza	약자·고립 호소 / 다윗 대 골리앗 구도	COMP-22(규모 대비)+EM. 집회법 우회 형식(고증)
KR-13	시위·집회	삭발·연좌	head-shaving & sit-in	바닥 연좌 농성 대오, 즉석 삭발식 흩어진 머리카락, 단식 천막·구호 머리띠, 배수진 결의	protest sit-in on the ground, on-the-spot head-shaving with scattered hair, hunger-strike tent, slogan headbands, defiant resolve	A seated protest line; clippings scatter as a head is shaved on the spot, a hunger tent behind—resistance pushed to the body	극한 항의 퍼포먼스 / 한국 정치 항의 전통	검증: 삭발·연좌=한국 항의 전통(고증). WP+S08(CU)
KR-14	정치 비주얼	국회 본회의장	National Assembly chamber	반원형 계단식 의석이 의장석을 향해 호를 그림, 전자투표 전광판, 단상·발언대, 청록 카펫·우드 톤, 돔 천장	semicircular tiered seats arc toward the speaker's podium, electronic vote board, rostrum, teal carpet and wood paneling, domed ceiling	Tiered seats sweep in a semicircle toward the rostrum; an electronic tally board glows above teal carpet and wood	입법·정쟁 무대 / 본회의 난투·점거 풍자	검증: 반원형·의장석 중심 배치(국회 자료). 실제 문장·로고=가상화
KR-15	정치 비주얼	청문회·증인선서	hearing & witness oath	증인석 단독 책상·마이크, 오른손 들고 선서, 의원석 일렬 질의대, 명패·물컵, 카메라 후방 운집	parliamentary hearing, lone witness desk with microphone, right hand raised in oath, row of questioning lawmakers' desks with nameplates, rear press cameras	A lone witness stands hand raised at a single mic'd desk, a row of lawmakers facing across nameplates, cameras massed behind	청문회·국감 풍자 / 추궁 vs 모르쇠 구도	선서=오른손 거수(고증). 명패 이름=후반 합성
KR-16	정치 비주얼	기자회견 포토라인	press-conference photo line	연단·배경 현수막, 카메라 삼각대 일렬 '포토라인' 테이프, 마이크 다발, 플래시 세례, 깃발 한 쌍 배경	press conference podium with backdrop banner, taped photo-line of tripod cameras, cluster of microphones, flash burst, paired flags behind	A speaker fronts a banner backdrop, a taped photo line of cameras and a fist of mics before them, flags paired behind	공식 발표·해명 / 사과·변명 회견 풍자	포토라인=취재 통제선(고증). SET-10 연계
KR-17	정치 비주얼	단상 점거·의장석	rostrum occupation	의원들이 의장석·발언대 에워싸 몸으로 막기, 명패·서류 흩날림, 멱살·몸싸움, 빈 의장봉(의사봉)	lawmakers swarming and bodily blocking the speaker's chair and rostrum, scattered nameplates and papers, scuffling bodies, abandoned gavel	Lawmakers pile onto the rostrum, bodies wedged against the chair, nameplates flying, a gavel left untouched in the chaos	본회의 난투·점거 풍자 / 정쟁의 몸의 정치	검증: 단상 점거 사례(국회 보도). 32 블로킹+EM-09
KR-18	정치 비주얼	필리버스터	filibuster	발언대 홀로 선 의원 장시간 연설, 두꺼운 자료 더미·물병, 텅 빈 새벽 의석, 벽시계가 가리키는 늦은 시각	a single lawmaker speaking endlessly at the rostrum, thick stacks of documents and water bottles, near-empty dawn chamber, wall clock at a late hour	One figure drones at the rostrum past dawn, papers and water bottles piled, the great chamber all but empty, clock crawling	무제한 토론 풍자 / 지구전·고독 연출	검증: 한국 필리버스터=무제한 토론(고증). LIGHT(새벽)+COMP-22
KR-19	사법/공권력	법원 포토라인 호송	courthouse perp walk	수의·정장 차림 피의자 양옆 호송, 손목 수갑·흰 포승(끈), 마스크·고개 숙임, 카메라 벽·포토라인 테이프	suspect escorted between officers on a courthouse perp walk, wrists cuffed and bound with white rope restraint, masked head bowed, wall of cameras at a taped photo line	A bound figure is walked between officers past a wall of cameras—wrists cuffed, white cord restraint, face down behind a mask	검찰·사법 단죄 / 정·재계 인사 추락 서사	검증: 포토라인·포승·수의(고증). 실존 인물=캐리커처·라벨만(SF-07)
KR-20	사법/공권력	압수수색 박스	search-and-seizure boxes	수사관들이 사옥·자택서 갈색 종이박스·하드디스크 줄지어 반출, '압수물' 봉인 라벨, 카트·승합차 적재	investigators carrying out rows of brown cardboard evidence boxes and hard drives from an office, sealed 'seized' labels, loading onto a cart and van	A line of investigators hauls sealed brown boxes and drives to a waiting van—each carton stamped, the raid made visible	수사 착수·권력 추락 / 정·재계 압박 환유	검증: 압수수색=수사 절차(고증). '압수물' 라벨=후반 합성
KR-21	사법/공권력	폴리스라인	police line	노랑·검정 'POLICE LINE' 차단 테이프, 안전모·진압 방패 대오, 차벽(버스 벽), 통제선 너머 군중	yellow-and-black police line tape, ranks of riot officers with helmets and shields, a wall of parked buses, crowd pressing beyond the cordon	Yellow tape cuts the frame; helmeted shield ranks and a wall of buses hold a cordon, the crowd pressing just beyond	집회·진압 대치 / 통제 vs 저항 구도	'차벽'=버스 차단벽(한국 특유). 텍스트=후반 합성
KR-22	일상 기표	편의점	convenience store	24시 형광 밝은 좁은 매장, 유리벽·삼각김밥 진열·온장고, 라면 취식대(밖 파라솔), 빨강·초록·노랑 브랜드 톤 간판	bright 24-hour Korean convenience store, fluorescent glow, glass front, triangle-kimbap shelves and hot case, instant-noodle counter, vivid signage	A fluorescent box of a store glows at night—triangle kimbap shelves, a hot case, a noodle counter and parasol just outside	서민 일상·민생 / '편의점 물가' 민심 풍자	간판 상호=가상화. LIGHT18(형광)+ENV
