ID	한국어명	영문명	거리/크롭 기준	무엇을·왜(상황·감정 전달)	Gemini 키워드	카드 적용 노트(하단~40%는 자막 오버레이로 가려짐 — 핵심은 상단)	추천 조합(01b 샷·01c 앵글·17 구도 ID 참조)	비고
DF-01	비통 피크 — 눈·눈물 극단 클로즈	Grief Peak — Eyes & Tear Extreme Close	눈가만 프레임 가득(눈썹 아래~광대 위) / S10 ECU 영역	피해자·유족의 비통이 정점일 때 "얼굴 전체"가 아니라 젖은 눈 한 곳만 잘라 감정을 응축 — 거리가 0에 수렴할수록 관객이 그 슬픔에 직접 들어선다(프록세믹스)	extreme close-up of welling tearful eyes, glistening lower lash line, single tear about to fall, skin pores and reddened rims, shallow focus	눈을 상단 1/3 아이라인에 올려라 — 눈물이 흐르는 뺨·턱은 하단으로 빠져 자막에 가려도 OK(핵심=눈)	S10 ECU · H01 아이레벨 · O02 3/4 · COMP-39 빈 상단 · EM-16 눈물글썽	정지 우선. 영상=눈물 한 방울 1초 낙하(EM-16 🟡 물리 편차). IP 회피=특정 실존 인물 닮음 금지
DF-02	참는 분노 — 꽉 쥔 손 인서트	Contained Anger — Clenched Fist Insert	손 하나가 프레임 대부분(손목~손가락) / S13 인서트·S10 ECU	말·표정 대신 핏줄 선 주먹·하얘진 관절만 잘라 "삼킨 분노"를 보여줌 — 얼굴을 안 보여줘 오히려 긴장이 응축, 누구의 손인지보다 그 긴장이 주연	tight insert of a tightly clenched fist, knuckles whitened, tendons and veins raised on the back of the hand, taut skin	주먹을 상단~중앙에 크게 — 팔·소매는 하단으로. 손 왜곡 잦으니 NEG(손가락 6개 등) 병기	S13 인서트 · H02 하이 · COMP-21 프레임채우기 · EM-17 턱악물기 · GST-10 주먹	정지 우선. 영상=관절 미세 떨림. 손 왜곡 리스크 높음(05 네거티브 필수)
DF-03	불안·초조 — 떨리는 손·만지작	Anxiety — Trembling / Fidgeting Hands	맞잡거나 비트는 두 손 클로즈 / S10 ECU·S13	초조·거짓 해명의 "새는 불안"을 손에서 잡음 — 표정은 통제돼도 손은 누설(단서). 거리를 좁혀 그 작은 동요를 증거화	close-up of restless hands wringing together, fingers fidgeting and picking at each other, knuckles shifting, subtle tension	맞잡은 손을 상단~중앙. 무릎·허벅지 위 손이면 하단 잘림 주의 → 카메라를 끌어올려 손을 상단에 배치	S10 ECU · H02 하이 · COMP-12 전경차폐 · EM-24 얼굴만지기 · EM-40 깜빡임	정지 우선. 단서일 뿐 증거 아님(거짓 단정 금지). 영상=손가락 떨림 루프
DF-04	폭로·증거 — 서류·물건 매크로	Exposé — Document / Object Macro	종이·도장·돈 표면을 화면 가득 / S10 ECU·S13 + L13 100mm macro	특정 글자·서명·금액·물건 질감을 극대 매크로로 — "이것이 증거다"의 시각 선언. 사람 없이도 폭로의 무게가 선다	macro detail of a document surface, crisp paper grain, a stamped seal and signature line, shallow focus skimming the page	핵심 글자·도장을 상단 1/3에 둬라(하단 자막과 겹치면 못 읽음). 텍스트는 흐릿하게/가공해 IP·실문서 회피	S13 인서트 · H09 갓즈아이(탑다운) · COMP-21 프레임채우기 · CD-09 증거디테일	정지 우선. 실제 문서·로고·인장 복제 금지(가공·추상화). 영상=손이 페이지 넘김
DF-05	대치 — 두 인물 타이트 투샷	Standoff — Tight Two-Shot	두 얼굴이 한 프레임, 미디엄 이하 밀착 / S15 타이트 투샷	권력·진영의 정면 대치를 한 컷에 — 둘을 같은 프레임에 가두면 "엮인 갈등"이 즉시 읽힌다. 거리가 가까울수록 충돌 임박	tight two-shot of two figures facing off at close range, both faces readable, charged confrontational gap between them	두 얼굴을 상단 절반에 나란히 — 어깨 아래는 하단으로. 좌우 권력차는 높이(BLK-06)로	S15 타이트투샷 · H01/H03 · O03 프로필 · COMP-09 대각 · CD-07 대치	정지 우선. IP=실존 정치인 직접 닮음 회피(캐리커처 추상화). 영상=서로 노려봄 정지
DF-06	대치 강화 — 어깨너머(OTS) 압박	Confrontation — Over-the-Shoulder Pressure	전경 인물 뒤통수·어깨 흐릿 + 상대 얼굴 선명 / R01 OTS	전경 어깨를 차폐로 깔아 "지금 누가 누구를 마주하나"의 시점을 만든다 — 앉은 상대를 선 어깨너머로 내려보면 우열이 말없이 선다	over-the-shoulder shot, blurred foreground shoulder and back of head framing a sharp confronted face beyond	선명한 상대 얼굴을 상단 2/3에 — 전경 어깨는 측·하단 차폐로. 자막이 어깨 위에 얹혀도 무방	R01 OTS · H02 하이(앉은 상대) · COMP-12 전경차폐 · BLK-13 앉음/섬 · CD-07	정지 우선. 영상=전경 어깨 고정, 후경 인물 반응
DF-07	고립 — 군중 속 1인 미디엄	Isolation — One Figure in the Crowd	초점 1인 미디엄 + 흐린 군중 / S06 MS + L15 망원 압축	같은 화면 속 군중에 둘러싸였는데 혼자만 또렷 — 물리적으로 둘러싸여 더 외로운 고립. 망원 압축이 군중을 벽처럼 짓누른다	a single sharp figure isolated within a crowd, the surrounding people blurred and compressed, telephoto flattening	또렷한 인물 얼굴·상체를 상단~중앙에. 발치 군중은 하단으로 빠져 자막에 묻혀도 OK	S06 MS · H01 아이레벨 · COMP-26 패턴브레이크 · COMP-41 깊이압축 · BLK-09 군중블로킹	정지 우선. 영상=인물 정지, 군중만 흐르게
DF-08	부재·막막 — 와이드 풀백	Helplessness — Wide Pull-Back	인물이 아주 작게, 거대 공간 압도 / S02 EWS	참사·막막함·압도된 개인을 작게 던져 환경이 주연이 되게 — 거리를 극단으로 벌리면 관객도 인물과 멀어져 "어쩔 수 없음"을 느낀다(grief=원거리 고정)	extreme long shot, a tiny solitary figure dwarfed by a vast empty space, overwhelming scale, lonely composition	작은 인물을 상단 1/3 지평선 근처에 배치 — 하단 광활한 바닥·여백은 자막대로 활용(여백=고독)	S02 EWS · H04 버드아이 · COMP-17 여백 · COMP-27 지평선 · CD-03 막막 · BLK-17 관조거리	정지 우선. 영상=잠금 고정 풀백(움직임 최소가 더 막막). Nieman/grief 근거
DF-09	부재 — 빈 의자·빈자리	Absence — Empty Chair / Vacant Seat	인물 없이 흔적만, 빈 오브젝트 클로즈~미디엄 / S06 MS·S08	사람을 빼고 빈 의자·빈 책상만 — 부재가 인물보다 강하게 "없음"을 말한다. 비워진 자리가 곧 사라진 사람의 인덱스	an empty chair in a quiet room, soft window light, a single vacant seat implying a missing person, still and hushed	빈 의자를 중앙~상단에 또렷이 — 바닥·그림자는 하단으로. 인물 부재라 자막 공간 넉넉	S06 MS · H01 아이레벨 · O04 후면(의자 등돌림) · COMP-04 빈의자 · CD-02 부재	정지 우선. 등돌린 빈 의자=잊힌 자/떠난 자(연구 근거). 영상=정적·먼지만 떠다님
DF-10	익명·수치 — 목덜미·뒤통수 크롭	Anonymity / Shame — Nape & Back-of-Head Crop	얼굴 안 보이게 뒤통수·목덜미만 / O04 후면 + S07/S08 타이트	가해자 익명화·피해자 보호·고개 못 든 수치를 "얼굴 가림"으로 — 정체를 지우면 개인이 아닌 '유형'이 되고, 숙인 뒤통수는 수치를 증폭	tight crop on the back of a bowed head and nape, face hidden from camera, hair and collar, anonymous and downcast	뒤통수·목덜미를 상단 2/3에 — 어깨·등은 하단. 신원 식별 요소 제거(익명 보장)	S08 CU · O04 후면 · H02 하이(숙임 강조) · COMP-21 · EM-32 수치 · EM-14 내리뜬눈	정지 우선. 미성년·피해자·미확정 가해자 보호 기본값. 영상=고개 더 숙임
DF-11	결의·각오 — 정면 직시 클로즈	Resolve — Direct-Gaze Close-Up	얼굴 가득 + 카메라 정면 응시 / S08 CU·S09 빅CU + O01 정면	물러섬 없는 각오·고발을 정면 눈맞춤으로 — 거리를 좁히고 시선을 카메라에 박으면 관객을 직격, "당신에게 말한다"	close-up, subject staring directly into the lens, steady unwavering gaze, jaw set, resolute determined expression	눈을 상단 1/3 아이라인에 정확히 — 정면 응시라 시선이 자막 위 카피를 '가리키는' 효과	S08 CU · O01 정면 · H01 아이레벨 · COMP-28 정면직면 · CD-19 결의 · EM-12 직시	정지 우선. 영상=눈 깜빡임 절제·정지 응시
