ID	분류	한국어명	영문명(FACS/Ekman)	얼굴/신체 단서	Gemini 키워드	GPT/영상 산문	정서 효과	핵심/주의	비고
EM-01	기본정서	행복(진짜)	Happiness / Duchenne (AU6+12+25)	광대 올라 눈가 주름·입꼬리 위로·입술 살짝 벌어짐	genuine Duchenne smile, cheeks raised, crow's-feet wrinkles around the eyes, lip corners pulled up	A genuine smile that reaches the eyes — cheeks bunch up, crow's-feet form, the mouth opens slightly	따뜻함·진정성	눈가 주름이 진짜/가짜 가르는 핵심	Ekman·FACS. 풍자=가짜와 대조용
EM-02	기본정서	사회적 미소(가짜)	Social/Non-Duchenne Smile (AU12 only)	입꼬리만 위로·눈가 무반응·차가운 눈	a polite social smile, lip corners pulled up but the eyes stay cold and unsmiling	A practiced, polite smile — the mouth curves up but the eyes remain flat and unmoved	위선·공허	정치인 풍자 코어	EM-01과 한 쌍으로 대비
EM-03	기본정서	슬픔	Sadness (AU1+4+15+17)	안쪽 눈썹 올라 미간 모임·입꼬리 처짐·턱 올라 주름	inner brows raised and drawn together, lip corners pulled down, chin raised and puckered	Inner brows pull up and together, the lip corners sag downward, the chin crumples	연민·비애	AU1+15가 핵심 신호	Ekman·FACS
EM-04	기본정서	두려움	Fear (AU1+2+4+5+20+25)	눈썹 전체 올라 모임·윗눈꺼풀 들림·입 옆으로 당겨 벌어짐	eyebrows raised and pulled together, upper eyelids raised, eyes wide, lips stretched horizontally	Brows shoot up and knit together, eyes go wide with raised upper lids, the mouth stretches open	불안·위협	놀람과 달리 눈썹 모임(AU4)	Ekman·FACS
EM-05	기본정서	분노	Anger (AU4+5+7+23)	미간 내려 찌푸림·윗눈꺼풀 긴장·눈꺼풀 조임·입술 다물어 긴장	brows lowered and drawn together, glaring eyes with tightened lids, lips pressed and tightened	Brows slam down and together, eyes glare with tightened lids, lips clamp into a tight line	위압·격분	노려보는 눈+다문 입	Ekman·FACS. 정치 충돌 풍자
EM-06	기본정서	놀람	Surprise (AU1+2+5+26)	눈썹 전체 위로·눈 크게·턱 떨궈 입 벌어짐	eyebrows raised high, eyes wide open, jaw dropped, mouth agape	Brows fly up, eyes round wide, the jaw drops and the mouth falls open	경악·반전	두려움과 달리 눈썹 안 모임	Ekman·FACS. 가장 짧게 스침
EM-07	기본정서	혐오	Disgust (AU9+10)	코 찡그림·윗입술 들림·뺨 올라·고개 뒤로	nose wrinkled, upper lip raised, cheeks pushed up, slight head recoil	The nose wrinkles, the upper lip curls up, the head pulls back as if recoiling	경멸·반감	코주름이 결정적	Ekman·FACS
EM-08	기본정서	경멸	Contempt (AU12+14 unilateral)	한쪽 입꼬리만 올라 조임 — 비대칭 미소	one corner of the mouth tightened and raised, an asymmetric one-sided smirk	A single lip corner tightens and lifts — a lopsided, dismissive smirk	무시·우월	유일한 비대칭 기본정서	Ekman·FACS. 권력 풍자 강력
EM-09	표정역학	억눌린 표정	Suppressed Emotion	표정을 누르려는 긴장·입술 압착·근육 떨림	a tightly controlled face, jaw set, lips pressed, fighting back a visible emotion	A face straining to stay neutral — jaw set, lips pressed, the suppressed feeling leaking through	내적 갈등·긴장	—	AN-10(미세표정)과 세트
EM-10	표정역학	누설된 감정	Leaked / Micro-expression Flash	무표정 사이로 0.2초 스치는 진짜 감정	a fleeting micro-expression flashing across an otherwise composed face	For a split second the real feeling flashes across the face before the mask returns	속내 폭로·풍자 펀치	영상=짧은 프레임만	Ekman 미세표정. 거짓 해명 풍자
EM-11	표정역학	혼합 감정	Mixed Emotion	상반된 단서 공존(웃는 입+슬픈 눈)	a conflicted expression, smiling mouth but sad worried eyes	The mouth smiles while the eyes betray sadness — two emotions at war on one face	복잡·아이러니	풍자 아이러니 코어	상반 AU 조합 명시
EM-12	시선	직시	Direct Gaze	카메라/상대 정면 응시	looking directly into the camera, steady unwavering eye contact	Steady, direct eye contact held without flinching	대결·정직·도발	—	윤리 카메라·관객 직격
EM-13	시선	회피 시선	Averted Gaze	눈 못 맞추고 옆/아래로 돌림	eyes averted to the side, avoiding direct eye contact	The gaze slides away, unwilling to meet the camera	불안·회피·죄책(단서)	단서지 증거 아님	거짓 해명 풍자
EM-14	시선	내리뜬 눈	Downcast Gaze	시선 아래로	eyes cast downward, looking at the ground	Eyes drop to the floor, withdrawn	수치·패배·복종	—	EM-23(낙담 자세)과 세트
EM-15	시선	치켜뜬 눈	Upward Gaze	눈 위로(생각·간청·거만)	eyes glancing upward, chin slightly lifted	The gaze lifts upward — pleading, or coolly superior	간청 또는 거만	맥락이 의미 가름	—
EM-16	신체단서	눈물 글썽	Tear / Glisten	눈가에 고인 물기·반짝임	eyes glistening with welling tears, not yet falling	Eyes brim and glisten, tears welling but held back	비애·호소·감정 절정	물 물리=AI 취약	🟡 영상 흐름 편차
EM-17	신체단서	턱 악물기	Jaw Clench	턱 근육 불거짐·이 악뭄	jaw clenched tight, muscle flexing at the jawline	The jaw locks, the muscle bulging — barely contained anger	참는 분노·결의	—	EM-05(분노)와 조합
EM-18	신체단서	떨리는 입술	Trembling Lip	아랫입술 미세 떨림	lower lip trembling, on the verge of breaking down	The lower lip quivers, composure about to crack	울음 직전·취약	영상=미세 모션	정치인 사과 풍자
EM-19	신체단서	천리안 응시	Thousand-yard Stare	초점 없는 먼 응시·무표정	a vacant thousand-yard stare, unfocused eyes looking past everything	Eyes fixed on nothing, focus gone — checked out, hollowed	허탈·트라우마·무력	—	위기·참사 보도 풍자
EM-20	신체언어	펼친 손바닥	Open-palm Honesty	손바닥 보이며 펼침	open palms shown, hands spread in a gesture of honesty and openness	Palms turn outward, hands open — "I have nothing to hide"	정직·해명 제스처(연출)	연출된 정직일 수도	body-language. 풍자=과장 가능
EM-21	신체언어	삿대질	Pointing Accusation	검지로 상대/카메라 찌름	jabbing an accusing index finger forward, pointing aggressively	An index finger stabs forward, accusing	비난·공격·책임 전가	손 왜곡 NEG 병기	정치 책임공방 풍자
EM-22	신체언어	팔짱	Crossed-arms Defensive	가슴 앞 팔 교차	arms crossed tightly over the chest, closed-off posture	Arms fold tight across the chest — closed, defensive	방어·거부·완고	맥락 의존(추울 수도)	단서로 정직 표기
EM-23	신체언어	손가락 첨탑	Hands-steepled Power	양손 손가락 끝 맞대 첨탑형	fingertips pressed together in a steeple, a confident power gesture	Fingertips meet in a steeple — calculated, in control	자신감·계산·권력	—	재벌·권력자 풍자
EM-24	신체언어	얼굴 만지기	Face-touch (cue)	코·입 가리기·목 만지기	touching the nose or covering the mouth, hand drifting to the face	A hand drifts to the mouth or nose mid-sentence	불편·은폐(단서)	⚠️거짓 증거 아님(단서뿐)	정직 표기 필수. 해명 풍자
EM-25	신체언어	앞으로 기울임	Forward-lean Engagement	상체 상대 쪽으로 기욺	leaning forward toward the listener, engaged and intent	The torso tips forward, leaning in — engaged, pressing	관심·압박·열의	—	—
EM-26	신체언어	축 처진 자세	Slumped Defeat	어깨 처지고 고개 숙임·등 굽음	shoulders slumped, head hung low, posture collapsed in defeat	Shoulders cave, head drops, the whole body sags	패배·낙담·체념	—	EM-14와 세트. 사퇴·낙선 풍자
EM-27	신체언어	턱 치켜듦	Chin-up Defiance	턱 들고 내려다봄	chin lifted high, looking down the nose, defiant posture	The chin juts up, looking down the nose — unbowed	저항·거만·자존	EM-08(경멸)과 시너지	권력 풍자
EM-28	신체언어	파워 포즈	Power Pose	넓게 벌린 팔·허리에 손·공간 점유	expansive power pose, hands on hips, taking up space, chest out	A wide, space-claiming stance — hands on hips, chest out	지배·과시·허세	과하면 코믹(풍자 OK)	body-language(Cuddy). 정치 과시
EM-29	신체언어	움츠린 자세	Shrinking / Closed Posture	몸 작게 말고 어깨 안으로	body shrinking, shoulders pulled in, making oneself small	The body folds in on itself, shrinking small	위축·불안·복종	—	EM-28과 대비 한 쌍
EM-30	신체언어	근접학(거리)	Proxemics (Distance)	친밀/개인/사회적 거리로 관계 표현	standing intimately close / at a polite social distance apart	The gap between them speaks — pressed intimately close, or coldly apart	관계·긴장·권력거리	2인 샷에서만 유효	Hall 근접학. 대치·친밀 풍자
EM-31	복합정서	자긍(프라이드)	Pride (UCDSEE)	가슴 펴고 턱·고개 살짝 뒤로·작은 미소·팔 허리(아킴보) 또는 들어올림	chest expanded, head tilted slightly back, a small satisfied smile, arms akimbo or raised in triumph	The chest puffs out, the head tilts back, a small smug smile — arms set on the hips or raised	자부·과시·우월	겸손과 종이 한 장(풍자 여지)	UCDSEE(Tracy & Robins). EM-28 파워포즈와 세트
EM-32	복합정서	수치(셰임)	Shame (UCDSEE)	고개 푹 숙임·시선 아래·어깨 안으로 말려 몸 작아짐·얼굴 가림 경향	head dropped low, gaze cast down, shoulders collapsing inward, the body shrinking	The head sinks, eyes drop, shoulders fold in — the whole body wants to disappear	위축·자기부정·회피	죄책(행위)과 구분 — 수치=자기 전체	UCDSEE. EM-29 움츠림·EM-26 처짐과 세트
EM-33	복합정서	죄책(길트)	Guilt	시선 회피하나 상대 쪽으로 몸 기욺·입가/뺨 긴장·해명하려는 손짓 동반	averted eyes but the body leaning toward the other, tension around the mouth, a placating hand	눈은 피하되 몸은 상대 쪽으로, 입가 긴장에 달래는 손짓	자책·보상 욕구	수치와 달리 회복 지향(다가감)	자긍/수치 검토(보상행동). EM-13 회피시선과 구분
EM-34	복합정서	당혹(임배러스먼트)	Embarrassment (UCDSEE)	시선 아래로 피함·고개 옆으로 돌림·어색한 미소·손이 얼굴로·홍조	gaze down and away, head turned aside, an awkward nervous smile, a hand drifting to the face, flushed cheeks	Eyes dart down and away, the head turns aside, a sheepish smile, a hand to the face, cheeks reddening	무안·자의식·달래기	UCDSEE 시퀀스(시선↓→고개돌림→미소→얼굴터치)	UCDSEE. EM-24 얼굴만지기와 세트
EM-35	복합정서	질투/시기	Jealousy / Envy	곁눈으로 흘김·입술 비틀림·미간 살짝 조임·턱 긴장 — 부러움과 적의 혼재	a sidelong envious glance, lips twisted, brows slightly knit, jaw tight with resentment	곁눈으로 흘기며 입술 비틀리고 미간 조임 — 부러움과 적의	시기·원한·비교	경멸(EM-08)과 달리 욕망 포함	혼합정서. EM-08 경멸·EM-39 곁눈과 세트
EM-36	복합정서	경외/감탄	Awe	눈 크게·눈썹 올라·입 살짝 벌어짐·고개 위로·정지된 응시	eyes widened, brows raised, mouth slightly open, head tipped up in a frozen, reverent stare	눈 크게 뜨고 눈썹 올라 입 살짝 벌어진 채 위를 올려다봄	압도·숭배·왜소함	놀람(EM-06)과 달리 지속·정지	Keltner & Haidt(경외 연구). EM-06과 구분
EM-37	복합정서	향수/그리움	Nostalgia / Longing	초점 흐린 먼 응시·입가 옅은 미소·고개 약간 기욺 — 슬픔과 온기 혼재	a soft unfocused faraway gaze, a faint wistful smile, head tilted, eyes glistening slightly	초점 흐린 먼 시선에 옅은 미소, 고개 살짝 기욺 — 아련함	아련·회상·달콤쌉쌀	혼합(미소+슬픈 눈)	EM-11 혼합·EM-19 응시와 구분(이건 따뜻)
EM-38	복합정서	안도	Relief	참았던 숨 길게 내쉼·어깨 툭 떨어짐·눈 감았다 뜸·긴장 풀린 미소	a long held breath released, shoulders dropping, eyes closing briefly, tension melting into a soft smile	참았던 숨 길게 내쉬며 어깨가 툭 떨어지고 긴장이 풀림	해방·이완·후련	AN-37 호흡 변주와 직결	AN-37(참던 숨)과 세트. 위기 모면 풍자
EM-39	시선	곁눈질	Side-eye / Sidelong Glance	고개는 정면·눈동자만 옆으로 흘겨 의심·견제	the head stays forward but the eyes slide sideways in a suspicious sidelong glance	고개는 그대로 눈만 옆으로 흘김 — 의심·견제	불신·견제·경멸	EM-12 직시·EM-13 회피와 별개 축	EM-35 질투와 세트. 정치 견제 풍자
EM-40	시선	응시 회피 변종(눈 깜빡 잦음)	Gaze Aversion via Blinking	눈은 향하나 깜빡임 폭증·초점 흔들림으로 회피를 누설	the eyes stay aimed but blink rapidly, focus wavering, betraying avoidance	눈은 향해 있으나 깜빡임이 폭증하고 초점이 흔들림	불안·거짓 누설(단서)	단서지 증거 아님	AN-21 깜빡임율의 시선판. 해명 풍자
EM-41	발화표정	말하며(설득조)	Speaking / Persuading Face	눈썹 오르내림·입 크게 또렷이 움직임·시선 직격·박자 맞춘 표정	animated brows rising and falling, mouth moving clearly, direct gaze, expressions punctuating each point	눈썹 오르내리고 입 또렷이 움직이며 시선 직격 — 설득조	웅변·열변·확신	AN-23 립싱크·AN-24 손짓과 세트	발화 표정. 연설 풍자
EM-42	발화표정	외치며(고함)	Shouting / Yelling Face	입 크게 벌어짐·목 힘줄 불거짐·미간 조임·눈 부릅뜸	mouth wide open, neck tendons straining, brows clenched, eyes bulging in a shout	입 크게 벌리고 목 힘줄 솟으며 미간 조여 부릅뜬 눈	격분·절규·압박	EM-05 분노의 발화 극단	EM-05·EM-17과 세트. 충돌·시위 풍자
EM-43	발화표정	속삭이며(밀담)	Whispering Face	입술 거의 닫힌 채 작게 움직임·눈은 옆 경계·고개 상대 쪽 기욺	lips barely parted, moving in a hush, eyes glancing sideways warily, head leaning close	입술 거의 닫힌 채 작게 움직이고 눈은 옆을 경계하며 고개 기욺	은밀·음모·결탁	2인 샷·근접학 세트	EM-30 근접학·GST-19 밀착과 세트. 결탁 풍자
EM-44	표정역학	연령 표정(노년의 깊은 주름)	Age-marked Expression	깊게 팬 주름이 표정을 증폭 — 미간·팔자·눈가 골이 감정 따라 깊어짐	deeply etched wrinkles amplifying the expression, furrows deepening with each emotion	깊게 팬 주름이 감정 따라 더 깊어지며 표정을 증폭	연륜·신산·무게	연령=정체성 단서	캐리커처 연령 표현. 인물 풍자 디테일
EM-45	표정역학	긴장도 표정(압박 속 미세)	Tension-graded Micro	압박↑일수록 표정 통제가 미세하게 무너짐 — 입꼬리 떨림·삼킴·눈 깜빡	under mounting pressure the controlled face micro-cracks: a twitching lip corner, a hard swallow, a flickering blink	압박이 오를수록 입꼬리 떨림·침 삼킴·깜빡임으로 통제가 미세하게 깨짐	압박 누설·붕괴 직전	EM-09 억눌림의 강도 변화판	EM-09·EM-10·AN-21과 세트. 청문회 압박 풍자
