ID	기법	설명/키워드	효과
COMP-01	좌우 분할	4:5, 좌=배경 / 우=인물, 경계 5–8% soft gradient, 색감 통일(blue-hour/deep navy)	대비·이중성·전후 비교
COMP-02	옹기종기	오브젝트를 인물에 밀착(어깨·무릎·등 닿음), 떨어지면 안 됨	근접 = 집착의 무리
COMP-03	둘러싸여	인물 중심 360도 전방위 배치(위·아래·좌·우·뒤)	압박·포위
COMP-04	빈 의자/부재	인물 없이 흔적만	부재·여운
COMP-05	삼분할	rule of thirds, subject on left/right third intersection, eyes on upper third line	안정 + 시선 유도(중앙회피)
COMP-06	황금비/파이 그리드	golden ratio phi grid, golden spiral leading to face, 1.618 placement	고전적 균형·우아
COMP-07	유도선	leading lines (road·rail·desk edge·crowd) converging toward subject	시선 강제 유도
COMP-08	소실점/1점 투시	one-point perspective, central vanishing point down a corridor	위압·질서·관료적 깊이
COMP-09	대각선/삼각 구도	dynamic diagonal lines, stable triangular grouping of figures	긴장(대각)·안정(삼각)
COMP-10	S자 곡선	S-curve composition winding through the frame	우아한 시선 여정
COMP-11	프레임 속 프레임	frame within a frame (doorway·window·arch) around the subject	고립·관음·강조
COMP-12	전경 차폐	foreground occlusion, shoulders/blur object framing the subject	깊이·엿보기·은밀
COMP-13	깊이 레이어	foreground/midground/background separation, atmospheric depth	입체·공간감(딥포커스 짝)
COMP-14	대칭(중앙 정렬)	perfectly symmetrical centered composition, Wes-Anderson style	질서·인공성·블랙코미디
COMP-15	동적 비대칭	off-balance asymmetry, subject pushed to one edge, tension in empty side	불안·긴장·미완
COMP-16	방사 구도	radial composition, elements radiating from a central point	집중·소용돌이·중심권력
COMP-17	여백/네거티브 스페이스	dominant negative space around a small subject	고독·왜소·압도
COMP-18	헤드룸	correct headroom, slight space above the head (not cramped, not floating)	자연스러운 안정
COMP-19	리드룸/노즈룸	lead room / nose room, space ahead of gaze or motion direction	방향감·여지·진행감
COMP-20	아이라인 배치	eyeline on upper-third, gaze directed across the open space	심리 연결·시선 동선
COMP-21	프레임 채우기	fill the frame, subject crops the edges, no background	강렬·직면·압박
COMP-22	규모 병치	scale juxtaposition, towering figure vs tiny figure (power vs powerless)	권력 대비·풍자 핵심
COMP-23	시각 무게 균형	visual weight balance, large quiet mass offset by small bright accent	안정 또는 의도적 불균형
COMP-24	홀수의 법칙	rule of odds, three/five subjects (odd number) grouped	자연스러운 무리감
COMP-25	반복·패턴	repetition and rhythmic pattern of identical elements	규질·체제·군중
COMP-26	패턴 브레이크	pattern with one odd-one-out element breaking the grid	개별·이단·주목 유도
COMP-27	지평선 배치	low horizon (vast sky·grandeur) vs high horizon (oppressive·grounded)	하늘=숭고 / 땅=압박
COMP-28	정면 대칭 직면	dead-center frontal framing, subject staring into lens	대결·고발·정면 응시
