ID	기법	설명/키워드	효과
BLK-01	180도 법칙	keep the camera on one side of the action line between two subjects so their left/right screen positions stay consistent	공간 일관성·관계 안정 — 깨면 혼란·불안(의도적 위반 가능)
BLK-02	30도 법칙	between two shots of the same subject move the camera at least 30 degrees to avoid a jarring jump cut	자연스러운 컷 연결 — 미만이면 점프컷 (편집·멀티샷 설계 룰)
BLK-03	삼각 블로킹	arrange three figures in a triangular formation, reframed as they move to avoid a flat two-dimensional line	깊이·관계·역동 — 3인 무대화 정석(군중 회피)
BLK-04	깊이 스테이징	stage figures across foreground and background at different depths, one near and one far	위계·거리=권력 — 전경 인물이 후경 인물 압도 (COMP-31 구도 정합)
BLK-05	아이라인 지오그래피	keep eyelines geographically consistent — who looks where must match their staged positions	시선 공간 일치 — 어긋나면 관계 붕괴 (VR-23 시선벡터·EM-12/13 연계)
BLK-06	권력 포지셔닝	place the dominant figure higher, more central, or further forward than the others	높이·중앙·전진=권력 — 풍자 권력관계 핵심 (VR-28 앵글=태도 정합)
BLK-07	등장·퇴장 동선	stage entrances and exits through framed thresholds (door, gate) defining who enters whose space	진입=침범·퇴장=포기 — 공간 소유권의 드라마
BLK-08	투핸더 무대화	stage two figures in dynamic balance — facing, side-by-side, or one turned away	2인 관계의 시각 문법 — 마주봄=대치·등돌림=단절
BLK-09	군중 블로킹	stage a crowd with depth and a clear focal figure standing out from the uniform mass	개인↔집단 대비 — 군중 속 한 명=고립/지도자 (COMP-22 규모 병치)
BLK-10	접근/회피 동선	one figure advances while the other retreats or holds ground, blocking the push-pull of power	압박·우위 다툼 — 다가감=공세·물러남=수세 (M41 리버스 트래킹과 세트)
BLK-11	근접학 변화	change the staged distance between figures over the shot — closing intimate or pulling coldly apart	관계·긴장의 거리 — 좁힘=친밀/압박·벌림=소외 (EM-30 근접학 정합)
BLK-12	가로막기/등돌리기	one figure physically blocks, turns their back on, or steps in front of another	무시·차단·우월 — 등돌림=관계 단절의 강한 신호
BLK-13	앉음/섬 권력차	stage one figure seated while the other stands over them	높이차=심문·복종 — 앉은 자=약자/심문 대상(맥락 의존)
BLK-14	원형 포위	stage figures encircling a single central subject, closing a ring around them	포위·압박·심판 — 다수가 한 명을 둘러쌈 (COMP-03 둘러싸여 정합)
BLK-15	일렬 도열	stage figures in a rigid line or rank facing front, symmetrical formation behind a leader	권위·체제·열병 — 도열=질서·복종의 과시 (COMP-25 반복·EM-28 파워포즈)
BLK-16	샌드위치 협공	stage two figures flanking a single subject on both sides, hemming them in	협공·취조·압박 — 양옆에서 가두는 2:1 권력 구도
BLK-17	관조적 거리 두기	stage all figures small and far in a wide frame, none dominating, observed from outside	냉정·관찰·소외 — 인물을 멀리 두어 거리감 (COMP-17 여백·VR-24 제공 정합)
BLK-18	배경 인물 반응	stage a reacting figure in the background watching the foreground action	증인·여론·반응 — 후경 인물이 사건을 보고 있음(풍자 코러스)
