ID	분류	한국어명	영문명	용도(노뮤트)	핵심 키	IP 주의	Kling 전이성	비고
S-1	합성·구도	무경계 듀얼 구도	Seamless Dual-Perspective	시리즈 표지, 강렬한 단일 카드, 좌우분할 업그레이드	no visible dividing line, continuous background	—	🅂(스타트프레임 경유)	프롬프트 전문 = 08_style_addendum_image.md (이하 동일)
S-2	합성·구도	더블 노출 포스터	Double-Exposure	기획 시리즈 표지, 국가·지역 테마	landmarks inside silhouette, layers of depth	—	🅂	영상 직접 전이는 morphing 리스크
S-3	합성·구도	벽화 초상 콜라주	Mural Portrait Collage	인물 특집, 회고·서사	mural of own face, scattered photos	—	🅂
S-4	합성·구도	프레임 깨기 착시	Frame-Breaking Illusion	주목도 극대, 디지털 이슈	emerging halfway out of screen, believable proportions	—	✅(영상 개그 강력)	"튀어나오는" 모션 자체가 영상 네이티브
S-15	인물 일관성	캐릭터 디자인 보드	Character Design Board	★인물 일관성 시트	turnaround, expression grid, design notes	—	🅂★(파이프라인 핵심)	시트 생성 → Omni @참조/주체 등록 소스로
S-22	디지털 이펙트	글리치 아트	Glitch Art Distortion	테크·AI·시스템 충돌	pixel displacement, scanline, 2-color neon	—	✅	글리치/datamosh = 영상 네이티브
S-24	시네마틱 인물	모노크롬 시네마틱	Monochrome Cinematic Editorial	인물 심층·프리미엄	B&W, softbox side light, 85mm f/1.8	—	✅	identity preservation 패턴 부록 참조
S-26	시네마틱 인물	앰버 빔 무드	Amber-Beam Cinematic Mood	고독·성찰·상실	amber beam, deep void, head bowed	—	✅
S-27	시네마틱 인물	군중 속 정지 인물	Frozen-in-Crowd Motion Blur	고립·소외·결단	subject sharp + crowd motion blur	의류 로고 제네릭	✅★	시간성 그 자체 — 영상이 본진. Wong Kar-wai 변종 포함
S-30	회화	수채 에디토리얼	Watercolor Editorial Portrait	감성·문화 이슈	transparent watercolor, 얼굴 사실+배경 추상	—	✅	STYLE14·17과 연계
부록	공식	나노바나나 6슬롯 공식	NB Prompt Formula	이미지 1차 합성(스타트프레임 제작)	[피사체]+[행동]+[장면]+[스타일/분위기]+[비율&해상도]+[특이사항/텍스트]	—	파이프라인	스타일 슬롯에 S-코드 프롬프트 조각 삽입
