ID	퓨전명	조합(화풍×조명×색×렌즈/구도 — 코드 참조)	결과 무드(새로 생기는 것)	Gemini 키워드(통합 프롬프트)	추천 용도(풍자)	리스크	비고
CDF-01	우키요에 × 틸오렌지	STYLE20(우키요에 평면 목판) × CG-01(teal-and-orange 그레이드) × L12(85mm 인물) × COMP-14(중앙 대칭)	평면 목판의 보색 골조에 시네마 틸오렌지가 얹혀 — 전통 판화가 아니라 '블록버스터 포스터처럼 양식화된 권위'. 평면인데 영화적	ukiyo-e woodblock print, flat bold outlines, teal shadows and warm orange skin tones, 85mm centered portrait, complementary cinematic grade	정치인을 가부키 명배우처럼 박제·과장 양식화하는 거리두기 풍자	목판 평면성과 사진식 그레이드가 따로 놀 수 있음 — 그레이드는 약하게(subtle)	우키요에 팔레트는 보색 골조(검증) → 틸오렌지가 자연 안착. 닮음 의도적 약화 활용
CDF-02	키아로스쿠로 × 적외선 위색 × 웹툰선	STYLE16(웹툰 클린 라인) × LIGHT14(키아로스쿠로 단일 광원) × STYLE45(적외선 위색 — 마젠타 식물·청록 하늘)	웹툰 펜선의 명료함에 위색 마젠타 살갗과 한 줄기 극광이 겹쳐 — '겉은 깔끔한데 속이 병든' 언캐니. 친숙한 작화가 갑자기 낯섦	clean Korean webtoon lineart, single dramatic chiaroscuro key light, infrared false-color magenta foliage and cyan sky, eerie surreal skin tones	멀쩡해 보이는 인물·정책의 '이면이 다르다'를 위색으로 폭로	위색+로우키 동시 = 어둠부 식별 급락 → 얼굴은 광원 쪽으로	IR 위색=마젠타 식물·발광 살갗(검증). 1샷 1조명(PE-20) 준수: 키 광원 1개만
CDF-03	골든아워 × 수묵 × 틸트시프트	STYLE19(수묵 농담·여백) × LIGHT01(골든아워 장그림자) × L18(틸트시프트 미니어처) × H04(오버헤드)	수묵의 여백·먹 농담이 따뜻한 황금빛으로 물들고 미니어처화 — '내려다본 산수가 장난감 정원'. 명상적인데 냉소적	East Asian ink wash sumi-e, vast negative space, warm golden-hour glow, tilt-shift miniature diorama, high overhead angle, toy-like shallow focus band	거대 담론·국토 정책을 '내려다보는 작은 분재'로 축소하는 풍자	수묵 추상성+틸트 초점띠 = 형태 소실 → 주피사체만 띠 안에	틸트시프트=하이앵글 디오라마(검증). 권력 미니어처화 각도와 정합
CDF-04	네온 × 르네상스 구도 × 아나모픽	STYLE18(유화 임파스토 질감) × LIGHT08(네온 마젠타-시안) × L24(2x 아나모픽 타원 보케·수평 플레어) × COMP-06(황금비 그리드)	고전 회화의 황금비 균형에 네온 색광과 스코프 플레어 — '성화(聖畵) 구도로 짜인 사이버 타락'. 장엄과 천박이 충돌	oil painting texture, golden-ratio classical composition, neon magenta-cyan glow, 2x anamorphic oval bokeh and horizontal blue flare, baroque framing	유흥·향락 권력을 '르네상스 제단화 구도'로 신성화해 비꼼	네온+플레어+유화질감 3중 과적 → 색광은 환경광으로만, 살갗 보존	키아로스쿠로처럼 르네상스 구도는 회화 정본(검증) → 네온이 시대 충돌 유발
CDF-05	형광등 × 민화 × 어안	STYLE64(한국 민화 평면 길상·먹선) × LIGHT18(형광등 삭막 녹색 평면광) × L01(어안 180도 왜곡) × COMP-03(둘러싸여)	민화의 익살스러운 평면 길상이 관공서 형광등 아래 어안으로 휘어 — '민원실에 걸린 우스꽝 호랑이'. 해학이 관료적 삭막함에 절여짐	korean minhwa folk painting, bold black ink outlines flat mineral colors, flat greenish institutional fluorescent light, fisheye 180-degree distortion, surrounded composition	권위(호랑이=골계)를 관료 형광등 민원실에 가둬 희화화	어안 왜곡+평면 민화 = 형태 붕괴 위험 → 길상 모티프 단순 유지	민화 호랑이=골계·까치=위엄(검증). 형광등 LIGHT18=관료 비판 톤과 정합
CDF-06	목탄 스케치 × 취조실 단일등 × 무채+1	STYLE30(목탄·연필 소묘·번짐) × LIGHT41(취조실 머리 위 알전구) × PAL-07(무채+1 강조색) × S08(클로즈업)	흑연 소묘의 미완성 질감에 머리 위 추광과 단 하나의 강조색 — '심문 조서 위에 번지는 빨간 한 점'. 회상과 압박이 동시에	charcoal and graphite sketch, smudged shading paper tooth, single bare bulb overhead interrogation pool, achromatic with one red accent color, tight close-up	취조·청문 압박을 '미완의 자백 스케치'로 그리는 묵직 풍자	소묘 흑백+무채+1은 정합 좋음. 알전구 눈가 그림자=표정 손실 주의	무채+1(PAL-07)=만평 강조 정석. 건식 흑연(먹X)이라 단색 조명과 충돌 없음
CDF-07	플랫 인포그래픽 × 하이키 × 청사진	STYLE28(플랫 벡터 인포그래픽) × LIGHT15(하이키 클린) × STYLE35(청사진 시아노타입 백선) × COMP-42(격자 모듈)	플랫 도식의 명료함이 청사진 백선·청지로 전환되고 하이키로 균일 — '밝고 깨끗한 거대 설계도'. 중립을 가장한 음모 도식	flat vector infographic, clean high-key even light, cyanotype blueprint Prussian-blue ground white technical lines, modular grid layout	'거대한 설계·시스템'을 깔끔한 청사진 도식으로 비유하는 시사 해설 풍자	글자·라벨 정확도 한계 → 한글 라벨은 후반 합성(PE-32)	청사진=백선 네거티브(검증). 인포그래픽과 같은 '도식' 계열이라 시너지 강함
CDF-08	펜 크로스해치 × 번개 섬광 × B&W 고대비	STYLE31(펜 크로스해치 잉크 판화) × LIGHT35(번개 순간 청백 섬광) × CG-08(B&W 고대비) × COMP-28(정면 직면)	신문 op-ed 펜선에 순간 번개광이 박혀 흑백 고대비 — '폭로 만평이 번쩍 터지는 순간'. 고전 삽화에 충격 한 방	pen-and-ink crosshatch editorial illustration, brief cold lightning flash burst, high-contrast black and white, dead-center frontal framing	스캔들 폭로·내부고발의 '결정적 순간'을 신문 만평 톤으로 신랄하게	섬광=플리커 과장 위험(brief burst 명시) · NEG04와 모순 주의	크로스해치=흑백 판화선(검증) → B&W 고대비와 동질. 번개가 시간성 추가
CDF-09	셀 셰이딩 × 클럽 무빙헤드 × 삼색	STYLE13(셀 셰이딩 평면 음영·윤곽선) × LIGHT37(클럽 무빙헤드 스위핑 다색 빔) × PAL-03(삼색 균형) × M? 정적	툰 평면 음영에 움직이는 다색 무대빔과 삼색 팔레트 — '뮤직비디오로 변한 정치 쇼'. 경쾌함이 향락 비판으로	cel-shaded toon flat colors bold outlines, sweeping multi-color moving-head club beams, triadic vivid palette, magenta cyan haze	정치인 원맨쇼·과시 이벤트를 'EDM 무대'처럼 비꼬는 경쾌 풍자	무빙헤드 다색+삼색 동시 = 색 과포화 → 빔은 배경 헤이즈로	셀 셰이딩 평면성이 다색 무대광을 그래픽하게 정리. 향락 풍자(LIGHT37)와 톤 일치
CDF-10	이중노출 × 실루엣 × 한색 지배	STYLE48(이중노출 초상·반투명 겹침) × LIGHT13(역광 실루엣) × PAL-09(한색 지배 blue-teal) × S08	실루엣 안에 두 번째 장면이 한색으로 겹쳐 — '검은 윤곽 속에 도시·군중이 비치는 머릿속'. 익명성과 내면이 한 화면에	double-exposure portrait, backlit black silhouette filled with a second cool-toned cityscape scene, cool-dominant blue palette, translucent blended layers	'그 사람 머릿속엔 무엇이' — 익명 인물의 이면·내면을 한색으로 시각화	두 이미지 충돌 시 혼탁 → 겹침 장면은 단순·저채도. 정지 합성→영상은 시작프레임 경유	이중노출은 정지 포맷 본질. 실루엣(LIGHT13)=익명화와 결합해 '배후·제보자' 풍자
