ID	대분류	한국어명	영문명	기준	변수 역할	사용하면 좋은 상황	GPT Image 2용 삽입 지시문	Gemini/Nano Banana 2용 삽입 지시문	추천 조합	피해야 할 조합	시각 효과	감정 효과	왜곡/실패 리스크	강도	유사어/검색어	검증 상태	분리 인덱스 필요	메모
NEG00	실패 방지	하우스 기본 테일	House Default Avoid Tail	샷마다 끝에 반복	제어/억제 변수	인물 나오는 모든 영상 샷	(영상용 — Avoid: 줄 그대로)	Avoid: deformed hands, extra fingers, distortion, warped face, watermark, morphing, identity drift.	모든 인물 샷 + 품질 테일(STYLE01류) 뒤	포지티브와 모순되는 항목 추가	—	—	없음(기본값)	Normal	house negative tail	실증✅(260611 케이스1·2 — 유무 퀄리티 격차 큼)	아니오	영상 정본. 샷 분할 시 샷마다 반복(실증 패턴)
NEG01	실패 방지	신체 왜곡	Body Distortion	손가락·팔다리	제어/억제 변수	손 클로즈업, 제스처, 군중	Keep natural anatomy with correct hands and fingers.	deformed hands, extra fingers, extra limbs, bad anatomy	NEG00에 포함됨	—	—	—	과하면 동작 경직	Normal	mutated hands	실증✅(260611)	아니오	영상·이미지 공용
NEG02	실패 방지	얼굴 변형·정체성 드리프트	Face Morphing / Identity Drift	프레임 간 얼굴 유지	제어/억제 변수	실존 인물·캐릭터 일관성	Keep the same face consistently across frames.	warped face, morphing, identity drift, different person, face shape change	identity lock 블록(지침 §6)과 세트	—	—	—	표정 변화까지 억제될 수 있음	Strong	face consistency	실증✅(260611 — Kling 약점 1순위)	아니오	Kling 특화: 품질 단어보다 안정성 계열이 효과적
NEG03	실패 방지	글자 붕괴	Text Distortion	화면 내 글자 보존	제어/억제 변수	현수막·간판·자막 있는 씬	Keep on-screen text sharp and unchanged.	banner text distortion, text shaking, garbled text, gibberish letters	포지티브에 글자 원문 따옴표 명시와 세트	—	—	—	—	Normal	stable text	실증✅(260611 전기톱 케이스 — 한글 현수막 보존)	아니오	포지티브: sharp readable Korean text 병기
NEG04	실패 방지	플리커·조명 불안정	Flicker / Inconsistent Lighting	프레임 간 광 안정	제어/억제 변수	단일 광원 무드 씬	Keep lighting stable and consistent.	flickering, inconsistent lighting, exposure jumps	조명 모듈 1개 원칙과 세트	촛불 등 의도적 플리커 씬	—	—	의도된 플리커 죽음	Normal	light stability	리서치✅(260611)	아니오	영상 중심
NEG05	실패 방지	화질 저하	Low Quality Artifacts	압축·블러	제어/억제 변수	선명도 요구 전 씬	Keep the image sharp and clean.	blur, compression artifacts, low quality, noise, pixelated	품질 테일(sharp detail)과 세트	저화질 룩 연출(VHS·CCTV)	—	—	레트로 룩과 충돌	Normal	artifact free	리서치✅(260611)	아니오	STYLE05·V06 쓸 땐 빼기(모순 금지)
NEG06	실패 방지	워터마크·오버레이	Watermark / Overlay	불필요 글자 차단	제어/억제 변수	전 씬 기본	No watermark or overlay text.	watermark, text overlay, logo, subtitles	NEG00에 포함	자막 연출 씬	—	—	—	Subtle	clean frame	실증✅(260611)	아니오	영상·이미지 공용
NEG07	실패 방지	립싱크·눈 붕괴	Lip / Eye Glitch	발화 얼굴 안정	제어/억제 변수	대사·토킹헤드 씬	Keep natural lip sync and steady eyes.	frozen lips, jittery eyes, unnatural blinking, floating teeth	대사 따옴표 문법과 세트	—	—	—	—	Normal	talking head stability	리서치✅(260611)	아니오	5초+ 립싱크 저하 보고 — 대사 샷 짧게
NEG08	실패 방지	물리 붕괴	Unnatural Physics	중력·관성 위반	제어/억제 변수	액션·소품 상호작용	Keep physics natural and grounded.	unnatural physics, melting objects, floating objects, object shape change	소품 고정(same chainsaw류 identity lock)	—	—	—	—	Normal	physics consistency	실증✅(260611 전기톱 — chainsaw shape change 차단)	아니오	소품명 박아서 변형 차단(실증 패턴)
NEG09	실패 방지	배경·장소 워핑	Background / Location Warping	공간 유지	제어/억제 변수	동일 장소 멀티샷	Keep the background and location unchanged.	background warping, location change, scene change, no outfit change	identity lock 블록과 세트	의도적 장소 전환 멀티샷	—	—	장소 전환 연출과 충돌	Normal	stable background	실증✅(260611 전기톱)	아니오	샷 간 장소 바뀌는 설계면 빼기
