ID	한국어명	시대/연대	영문명	대표 비주얼 코드(패션·소품·기술·색·매체질감)	Gemini 키워드	영상(Kling) 지시문	추천 조합(타 모듈 ID)	리스크/고증	비고
ERA-01	재즈 에이지	1920s	1920s Jazz Age / Roaring Twenties	드롭웨이스트 플래퍼 드레스·깃털 헤드밴드·클로시 모자·쓰리피스 핀스트라이프·중절모, 진주 롱넥리스·시가렛 홀더, 축음기·아르데코 라디오, 빈티지 자동차, 세피아~흑백 또는 톤다운 채도, 거친 오쏘크로매틱 흑백사진·초기 사운드필름 질감	1920s jazz age, flapper dress dropped waist, cloche hat, pinstripe three-piece suit, art deco interior, sepia or grainy black and white, vintage automobile	A smoky speakeasy in the 1920s, flapper dancers and men in fluted suits, period jazz-age decor, captured with grainy orthochromatic black-and-white film texture	STYLE37(아르데코)+LIGHT02(텅스텐)+ENV(실내 바)+FM-20(무성영화)	플래퍼=후반 1925+ / 전반은 좀 더 보수적. 흑백/세피아가 시대감 핵심	광란의 호황→몰락 풍자(거품·과시). FM-20과 달리 '세트·의상' 재연 초점
ERA-02	대공황	1930s	1930s Great Depression	낡은 노동복·페도라·헤진 코트·빵줄(breadline)·판자촌, 다스트보울 흙먼지, 바이어스컷 새틴 가운(상류 대조), 톤다운 어스톤, FSA 다큐 흑백사진 질감(워커 에반스풍 — 양식만)	1930s great depression, threadbare workwear, fedora, breadline, dust bowl, muted earth tones, documentary black and white, weathered	A dust-blown 1930s street, men in worn coats and fedoras queuing, sober documentary black-and-white tone, hard noon light	STYLE08(다큐)+STYLE27(뉴스릴)+LIGHT(자연광 정오)+ENV(거리)	특정 보도사진 직접 복제 금지 — 양식만. 빈부 대조가 시대 코드	경제난·양극화 풍자에 직결. 흙먼지·빵줄=즉시 판독 기호
ERA-03	전후 50년대	1950s	1950s Post-war / Mid-century	테일핀 크롬 자동차·다이너·주크박스, 풀스커트 원피스·포니테일·정장+스키니타이, 파스텔 가전(냉장고)·포마이카 식탁, 코다크롬 채도 높은 컬러·미드센추리 광고 톤	1950s americana, tail-fin chrome car, diner jukebox, full-skirt dress, pastel appliances, saturated kodachrome color, mid-century advertising	A 1950s diner with chrome and neon, a couple in period dress at a vinyl booth, bright saturated Kodachrome color palette	STYLE38(미드센추리)+STYLE07(레트로 그레이드)+LIGHT01+ENV(다이너)	미국 도상 강함 — 한국 50년대는 ERA-13 사용. 코다크롬 채도가 룩 핵심	소비주의·낙관 표면 풍자. ERA-13(한국전쟁)과 명확 구분
ERA-04	스윙잉 식스티즈	1960s	1960s Swinging Sixties / Mod	모드룩(미니스커트·A라인·기하 무늬)·고고부츠·바가지컷, 옵아트 패턴·사이키델릭 포스터, 진공관 TV, 우주개발기 미래주의, 채도 높은 원색·필름 컬러	1960s mod fashion, mini skirt, geometric op-art pattern, go-go boots, psychedelic poster, bright primary colors, 60s film color	A 1960s mod scene, figures in geometric mini dresses against op-art backdrops, vivid primary color film stock	STYLE63(옵아트)+STYLE49(레트로 채도)+STYLE38+LIGHT01	사이키델릭은 후반(67+) / 전반 모드와 구분. 옵아트=룩 강화	낙관·반문화 충돌 풍자. STYLE63과 결합 강력
ERA-05	세븐티즈	1970s	1970s Disco / Earth-tone Era	나팔바지·통굽·넓은 라펠·터틀넥, 디스코 미러볼·아프로·머스타드+버건디+아보카도 어스톤, 우드패널 실내, 코닥 필름 할레이션·따뜻한 채도	1970s disco, bell-bottoms, platform shoes, wide lapel, afro, mustard avocado earth tones, wood paneling, warm film halation	A 1970s disco floor under a mirror ball, dancers in flared trousers, warm halated film color with earthy palette	STYLE07(70s 필름)+STYLE49+LIGHT(디스코 컬러)+M12(줌)	FM-19(뉴할리우드 그레인)는 '필름 사조' / ERA-05는 의상·세트 재연. 어스톤+할레이션이 코드	향락·환멸의 70년대 풍자. 줌 관용구(M12) 시대 정합
ERA-06	에이티즈	1980s	1980s Neon / New Wave	파워숄더 재킷·형광 운동복·헤어밴드·빅헤어 펌, 네온·크롬 그리드·신스웨이브, 워크맨·브라운관·초기 컴퓨터, VHS 질감·고채도 마젠타/시안	1980s neon, power-shoulder blazer, big permed hair, neon grid, synthwave, walkman, crt screen, vhs texture, magenta cyan	An 80s scene bathed in neon and chrome grids, big hair and shoulder pads, magenta-and-cyan synthwave palette, slight VHS texture	STYLE49(신스웨이브)+STYLE05(VHS)+LIGHT(네온)+STYLE21	과잉 네온은 클리셰 — 절제. VHS는 옵션(STYLE05). 한국 80s=ERA-15	소비·기술낙관·표층 풍자. STYLE49와 한몸
ERA-07	나인티즈	1990s	1990s Grunge / Early Digital	그런지 플란넬·찢청·닥터마틴·미니멀 슬립드레스, CRT 모니터·삐삐·초기 휴대폰·플로피, 톤다운 채도·필름 라이크 자연색, 캠코더 질감(STYLE05보다 후기)	1990s grunge, flannel shirt, ripped jeans, doc martens, minimal slip dress, crt monitor, pager, early cellphone, muted film color	A 1990s bedroom with CRT TV and posters, figure in flannel and ripped jeans, naturalistic muted film color	STYLE05(캠코더)+STYLE08(다큐)+LIGHT(자연광)+STYLE03	Y2K(ERA-08)와 구분: 90s=톤다운·그런지, Y2K=글로시·미래. 한국 90s=ERA-16	무심·반항 정서 풍자. 디지털 여명기 소품이 시대 기호
ERA-08	Y2K 밀레니엄	2000s	Y2K / Early 2000s	메탈릭·홀로그램·로우라이즈진·크롭탑·플립폰·아이팟·반투명 플라스틱 가전(아이맥), 사이버 옵티미즘·아이시 블루+실버+핫핑크, 디지털 초기 광택·로우레졸 디카 질감	Y2K aesthetic, metallic holographic, low-rise jeans, flip phone, translucent plastic gadget, icy blue silver pink, glossy futurism, early digital camera look	An early-2000s scene with translucent gadgets and glossy surfaces, figure in low-rise metallic outfit, icy blue and silver futuristic palette	STYLE49(채도)+STYLE21(네온)+LIGHT(쿨)+STYLE45(위색 옵션)	90s(ERA-07)와 반대 코드(글로시·미래). 한국 Y2K=ERA-17과 결합 가능	낙관적 미래주의→환멸 풍자. 반투명 플라스틱이 즉시 판독 기호
ERA-09	트웬티텐즈	2010s	2010s Hipster / Smartphone Era	스키니진·체크셔츠·수염·탑노트, 스마트폰·셀카봉·에어팟, 인스타 필터(VSCO·페이드 톤)·밀레니얼 핑크·미니멀 플랫레이, 미러리스 선명 디지털 질감	2010s hipster, skinny jeans, beard top-knot, smartphone selfie, instagram filter, faded vsco tone, millennial pink, minimal flat lay	A 2010s cafe scene, hipster styling and smartphones on a marble table, faded Instagram-filter color and millennial-pink accents	STYLE28(플랫 인포)+STYLE43(아이소)+LIGHT(소프트)+STYLE26	너무 최근이라 '시대 판독'은 약함 — 필터 톤·소품으로 보강. 한국 2010s=ERA-18	SNS 자기연출·소비 풍자. 인스타 페이드 톤이 시대 기호
ERA-10	조선	1392~1897	Joseon Dynasty	한복(저고리·치마·도포)·갓·망건·정자관, 기와집·창호지·툇마루, 먹·붓·서안·청화백자, 단청·민화 색감, 자연광 한옥 톤	joseon dynasty korea, hanbok, gat horsehair hat, dopo robe, hanok tiled roof, paper-screen door, ink and brush, celadon, natural daylight	A Joseon-era hanok courtyard, figures in hanbok and gat hats, paper-screen doors and tiled roofs, soft natural daylight	STYLE66(풍속화)+STYLE64(민화)+STYLE19(수묵)+ENV(한옥)	계급별 복색·갓 규정 고증 필요. 일본 시대극(FM-08)·중국풍과 혼동 금지 — 한국 양식 명시	권위·신분 풍자의 한국 정본 시대. STYLE66과 결합 시 풍속 해학
