ID	대분류	한국어명	영문명	기준	변수 역할	사용하면 좋은 상황	GPT Image 2용 삽입 지시문	Gemini용 삽입 지시문	추천 조합	피해야 할 조합	시각 효과	감정 효과	왜곡/실패 리스크	강도	유사어/검색어	Gemini_NanoBanana2_예시장면_참고용	Gemini_NanoBanana2_ChatGPT지시문	Gemini_NanoBanana2_Gemini키워드	Gemini_NanoBanana2_효과	Gemini_NanoBanana2_리스크	Gemini_NanoBanana2_유사어	Gemini_비교판정	Gemini_분리인덱스필요	Gemini_메모
H01	카메라 높이	눈높이 샷	Eye-Level Shot	피사체 눈높이	높이/중립 시점 변수	대화, 인터뷰, 자연스러운 인물, 중립적 장면	Shoot at eye level to create a neutral, realistic, and emotionally balanced perspective.	eye-level shot, neutral perspective, realistic, balanced emotion	medium shot, close-up, 35mm or 50mm lens, front-on	power exaggeration, vulnerability exaggeration	가장 자연스럽고 안정적인 시야	신뢰감, 현실감, 중립성	너무 평범하게 보일 수 있음	Subtle	neutral angle, straight-on height, eye height	A friendly barista smiling warmly while handing over a freshly poured latte behind a rustic wooden coffee shop counter.	Shoot at eye level to create a neutral, realistic, and emotionally balanced perspective.	eye-level shot, straight-on camera height, neutral realistic emotionally balanced perspective	현실감, 중립성, 신뢰감	평범하게 보일 수 있음	neutral angle, straight-on height	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
H02	카메라 높이	하이앵글	High Angle	위에서 아래로 내려봄	높이/약화·관찰 변수	약함, 위축, 관찰, 귀여움, 객관적 거리감	Shoot from a high angle looking down on the subject to make them feel vulnerable, small, or observed.	high angle shot, looking down, vulnerable subject, small, observed	wide shot, overhead, close-up for vulnerability	heroic power portrait, dominance shot	피사체가 작고 약해 보임	취약함, 위축, 관찰당함	의도 없이 쓰면 인물이 왜소해 보임	Normal	high-angle view, looking down, top angle	A small lost puppy sitting entirely alone in a giant, empty cardboard box, looking up with wide, innocent eyes.	Shoot from a high angle looking down on the subject to make them feel vulnerable, small, or observed.	high-angle shot, looking down at the subject, making them appear small or observed	약함, 위축, 통제당하는 느낌	의도 없이 쓰면 인물이 왜소해 보임	high-angle view, looking down	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
H03	카메라 높이	로우앵글	Low Angle	아래에서 위로 올려봄	높이/권위·위협 변수	권위, 위협, 히어로, 빌런, 웅장함, 파워 포즈	Shoot from a low angle looking up at the subject to create power, dominance, and dramatic presence.	low angle shot, looking up, powerful subject, dominance, dramatic presence	24mm lens, 35mm lens, full shot, cowboy shot	delicate vulnerable mood, accurate face beauty close-up	피사체가 크고 강해 보임	권력, 위압감, 영웅성	턱·코 강조, 과장된 체형	Normal	low-angle view, heroic angle, worm angle	A powerful superhero's dark cape billowing wildly in the wind as they stand tall atop a skyscraper looking down at a massive metropolis.	Shoot from a low angle looking up at the subject to create power, dominance, and dramatic presence.	low-angle shot, looking up at the subject, making them appear powerful, heroic, and dominant	권력, 위압감, 영웅성	턱/코 강조, 과장됨	low-angle view, heroic angle	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
H04	카메라 높이	오버헤드/버드아이	Overhead / Bird’s-Eye	머리 위 수직 또는 준수직	높이/배치·패턴 변수	침대샷, 음식, 범죄현장, 패턴, 군중 배열, 플랫레이	Use an overhead bird’s-eye view looking down from above, emphasizing layout, geometry, and visual pattern.	overhead shot, bird’s-eye view, top-down angle, layout, geometry	flat lay, group arrangement, product layout, wide lens	facial emotional close-up, heroic dominance	배치와 패턴이 선명해짐	객관성, 운명감, 정리된 인상	인물 감정이 멀어질 수 있음	Strong	top shot, top-down view, bird’s-eye, flat lay	An exquisitely arranged flat lay of a colorful Mediterranean breakfast feast spread out on a blue ceramic tiled table.	Use an overhead bird’s-eye view looking down from above, emphasizing layout, geometry, and visual pattern.	overhead bird's-eye view, top-down view looking straight down, emphasizing geometric layout and visual patterns	객관적, 운명적, 패턴 강조	인물 감정이 멀어질 수 있음	top shot, top-down view, bird’s-eye	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
H05	카메라 높이	그라운드레벨/웜즈아이	Ground-Level / Worm’s-Eye	바닥 가까이 또는 극단적 하부	높이/낯선 스케일 변수	추격, 신발, 건물, 괴물, 압도적 인물, 바닥 질감 강조	Place the camera near the ground for a worm’s-eye perspective, exaggerating height, scale, and tension.	ground-level shot, worm’s-eye view, near floor, exaggerated scale	low angle, wide lens, action scene, architecture	clean portrait, minimal distortion product shot	높이와 깊이가 과장됨	낯섦, 긴장, 거대함	구도가 지저분해지고 왜곡이 커짐	Strong	worm’s-eye view, floor-level shot, ground angle	The muddy sneakers of a determined runner sprinting directly past the camera on a wet forest trail, water droplets splashing upward.	Place the camera near the ground for a worm’s-eye perspective, exaggerating height, scale, and tension.	ground-level worm's-eye view, shot from the floor, exaggerating height, scale, and vertical depth	낯섦, 긴장, 거대함	구도가 지저분해지기 쉬움	worm’s-eye view, floor-level shot	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
H06	카메라 기울기	더치앵글	Dutch Angle / Canted Shot	수평선을 의도적으로 기울임	기울기/불안정 변수	불안, 혼란, 심리 붕괴, 위기, 스릴러, 몽환적 장면	Use a Dutch angle with a tilted horizon to create unease, instability, and psychological tension.	Dutch angle, tilted horizon, canted frame, unstable mood	close-up, low angle, thriller lighting, chaotic scene	calm luxury product shot, formal symmetry	수평 안정감이 무너짐	불안, 혼란, 비정상성	남용하면 촌스럽고 의도 과잉으로 보임	Strong	canted angle, tilted frame, oblique angle	A terrified man sprinting down a dimly lit, narrow neon corridor in a dystopian city, desperately chasing a fading shadow.	Use a Dutch angle with a tilted horizon to create unease, instability, and psychological tension.	Dutch angle, canted shot, tilted horizon, evoking unease and instability	불안, 혼란, 비정상성	남용하면 촌스러움	canted angle, tilted frame	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
H07	카메라 높이	허리·엉덩이 높이 샷	Hip-Level Shot	카메라를 허리 높이에 — 약한 상승 시점	높이/은근한 권위 변수	눈높이보다 살짝 낮아 약한 위압·관찰, 서부극 권총집 높이	Place the camera at hip level, looking slightly upward — a mild sense of presence without full low-angle exaggeration.	hip-level shot, waist-height camera, mild upward perspective	카우보이샷(S05) + 35mm	정밀 뷰티 클로즈업	약한 상승 시점	은근한 권위, 관찰	의도 약하면 어중간	Subtle	hip level, waist-height angle	—	—	—	—	—	—	—	아니오	리서치 추가(260613): H01(눈높이)과 H03(로우) 사이 — '걷는 권력자' 풍자 카우보이샷에 유효. 무변경
H08	카메라 높이	어깨 높이 샷	Shoulder-Level Shot	카메라를 어깨 높이에 — 거의 중립, 미세 하강	높이/자연 관찰 변수	눈높이보다 살짝 낮은 자연스러운 관찰 시점	Set the camera at shoulder level for a near-neutral, naturally observational perspective just below eye line.	shoulder-level shot, shoulder-height camera, near-neutral observation	미디엄샷 + 대화 씬	극적 권위·취약 강조	거의 중립·미세 하강	자연, 관찰, 동석감	효과 미미·평이	Subtle	shoulder level, near eye-level	—	—	—	—	—	—	—	아니오	리서치 추가(260613): H01 보강 단계 — 다큐·인터뷰 자연 톤. 무변경
H09	카메라 높이	갓즈아이/탑다운 수직 부감	God's-Eye / Top-Down	정수직(90도) 부감 — 운명·전지적 시선	높이/전지적 통제 변수	군중·동선·배치를 정수직으로 — '내려다보는 신·권력'	Shoot a strict top-down god's-eye view from directly overhead at 90 degrees, emphasizing fate, control, and total overview.	god's-eye view, top-down 90-degree overhead, omniscient layout	플랫레이·군중 배열 + 와이드	인물 감정 교류 씬	정수직 전지적 배치	운명, 통제, 객관	인물 감정 단절	Strong	god's eye, top-down, directly overhead	—	—	—	—	—	—	—	아니오	리서치 추가(260613): H04(버드아이=준수직)의 정수직 극단 분기 — 풍자 '권력의 전지적 시선'. 무변경
H10	카메라 높이	캔티드+하이앵글 복합	Canted High Angle	하이앵글 + 더치앵글 결합	높이·기울기/이중 불안 변수	약화(하이)와 불안정(더치)을 동시에 — 위기·붕괴 인물	Combine a high angle with a Dutch tilt: looking down on the subject with a canted horizon for compounded vulnerability and unease.	canted high angle, high angle with Dutch tilt, downward tilted unstable frame	위기·붕괴 씬 + 스릴러 조명	안정 격식 구도	하강+기울기 이중 불안	위축+혼란 가중	남용 시 과잉·촌스러움	Strong	canted high angle, tilted high angle	—	—	—	—	—	—	—	아니오	리서치 추가(260613): H02+H06 복합 — '몰락하는 권력' 풍자에 강함. 무변경
