ID	한국어명	영문명	Gemini 키워드	영상(Kling) 모션 노트	정서/용도	추천 조합	리스크	비고
WX-01	이슬비	Drizzle	light drizzle, fine misty rain, faint wet sheen on surfaces	barely-there falling mist, slow drifting droplets, gentle	우울·일상·서정	젖은 아스팔트 반사·역광	약비는 거의 안 보일 수 있음	계절무관. 차분한 톤
WX-02	폭우	Downpour / Sheeting Rain	torrential downpour, heavy sheeting rain, rain streaking the air	dense fast-falling rain streaks, splashes on the ground, puddle ripples	위기·격정·재난	천둥·번개·역광 림	물 물리=AI 취약, 양 과하면 노이즈	여름 장마. LC-13과 세트
WX-03	여우비	Sun-shower	sunlit rain shower, rain falling while the sun shines, glistening droplets	backlit sparkling droplets falling through sunbeams	아이러니·서정·반전	골든아워·무지개	동시 햇빛+비 = 모델 혼동 가능	🟡 풍자 아이러니
WX-04	눈발	Snow Flurry	light snow flurry, scattered snowflakes drifting down	slow lazy snowflakes drifting and swirling, sparse	고요·서정·연말	따뜻한 실내 창광 대비	—	겨울. 차분
WX-05	눈보라	Blizzard	blizzard, driving snow, whiteout conditions, fierce wind-blown snow	fast horizontal snow streaks, swirling whiteout gusts	혹독·고립·재난	강풍·저채도	과하면 화면 뭉갬	겨울 재난 보도
WX-06	함박눈	Wet Heavy Snow	large wet snowflakes, heavy fluffy snow clumping on surfaces	big slow flakes tumbling down, settling and clumping	낭만·정겨움·서정	따뜻한 가로등·실내광	—	겨울 감성. WX-04와 구분
WX-07	땅안개	Ground Fog / Low Mist	low ground fog, mist hugging the ground, drifting low haze	mist slowly creeping and drifting across the ground	신비·불길·고립	저각광·실루엣	너무 짙으면 인물 묻힘	새벽. SH-06 실루엣과 세트
WX-08	해무	Sea Fret	sea fog rolling in from the coast, damp marine mist	fog banks slowly rolling and rolling inland	쓸쓸·신비·바다	차가운 색온도·항구	—	해안 도시. 봄·여름
WX-09	짙은 안개	Dense Fog	thick dense fog, low visibility, figures dissolving into white	heavy fog limiting visibility, shapes emerging and fading	불안·미스터리·은폐	실루엣·역광 빔	배경 정보 소실	불확실성 풍자
WX-10	연무/스모그	Haze / Smog	urban smog haze, hazy polluted air, muted distant skyline	static thick atmospheric haze, faint drift	침체·환경·도시 우울	저채도·역광 분산	—	환경·미세먼지 보도
WX-11	황사/모래폭풍	Yellow-dust / Sandstorm	yellow dust haze, sandstorm, ochre-tinted gritty air, dim sun	wind-driven dust sweeping across, swirling ochre particles	재난·답답·환경(한국 봄)	강풍·황톳빛·마스크 인물	—	한국 봄 황사. 시의성 높음
WX-12	아지랑이/신기루	Heat Shimmer / Mirage	heat haze shimmer, mirage distortion, wavering hot-air ripples	air rippling and wavering with rising heat, distortion	폭염·나른·환각	강한 햇빛·아스팔트	왜곡=AI 불안정	여름 폭염 보도
WX-13	돌풍	Gusty Wind	gusty wind, hair and fabric whipping, leaves swirling	hair and clothing whipping, leaves and debris swirling up	동요·긴박·자연력	낙엽·머리칼 모션	천·머리 왜곡 리스크	모션 소스로 영상에 강력. AN-02 세트
