ID	한국어명	영문명	앵글/높이 기준	무엇을·왜(상황·심리 전달)	Gemini 키워드	카드 적용 노트	추천 조합(01c·01d·32 ID 참조)	비고
AG-01	피해자 눈높이 공감	Victim Eye-Level Empathy	카메라를 피해자 눈높이에 정확히 둠 — 권력차 제거	피해자·시민을 위아래 없이 마주보게 해 독자가 동일선상에서 '함께 선다' — 동정이 아니라 연대. 노뮤트 윤리의 기본값(약자는 절대 내려다보지 않음)	eye-level shot, neutral and equal perspective, dignified, emotionally balanced, looking straight at the subject	피해자·유가족·일반 시민 카드의 디폴트. 헤드라인은 인물 시선 옆에 둬 '같은 높이'를 레이아웃으로도 못박음	H01 · O01/O02 · BLK-17	약자엔 하이앵글 금지 — 동정·구경거리화 위험. CD-01·CD-14와 정합
AG-02	권력자 로우앵글 위압	Power Low-Angle Looming	아래에서 위로 올려봄 — 수직=권력 코드 그대로	권력자를 실제보다 거대·위압적으로 띄워 '그가 휘두르는 힘의 크기'를 시각화 — 비판 대상의 위세를 먼저 인정하고 그 다음 칸에서 해부	low-angle shot looking up, imposing and dominant, towering presence, monumental, dramatic upward perspective	권력 과시·강행 국면 카드. 다음 칸을 하이앵글(AG-03)로 뒤집으면 '위세→왜소'의 한 호흡 풍자 완성	H03 · O01 · BLK-06	실존인물=캐리커처·라벨 전제. 미화로 읽히지 않게 표정·맥락은 비판적으로. VR-28 정합
AG-03	권력자 하이앵글 왜소화	Power High-Angle Belittling	위에서 내려봄 — 권력자에게 의도적으로 적용	권력자를 작고 초라하게 깎아 '실은 별것 아니다'를 조롱 — 풍자의 핵심 무기. 독자를 권력자보다 높은 자리에 앉혀 심리적 우위를 줌	high-angle shot looking down, diminished and small, belittled, powerless from above, shrinking figure	실각·헛발질·민낯 폭로 카드. AG-02와 짝지어 같은 인물을 위세↔왜소로 대비하면 풍자 효과 최대	H02 · O01/O07 · BLK-13	약자엔 절대 금지(이 행은 권력자 전용). CD-05·CD-13과 정합
AG-04	구조 부감 조망	System Bird's-Eye Survey	위에서 준수직으로 장면 전체를 내려봄	개인이 아니라 '구조·시스템·판 전체'를 보여줘 사건을 한 명의 일탈이 아닌 구조 문제로 프레이밍 — 군중·동선·배치가 패턴으로 읽힘	bird's-eye view, top-down overhead, revealing the whole layout and pattern, systemic overview, geometric arrangement	구조적 부조리·정책 도식·군중 규모 카드. 인물 감정은 멀어지므로 감정 피크 칸엔 쓰지 말 것	H04 · 32:BLK-09 · BLK-15	CD-03·CD-16·CD-18과 정합. 감정 단절이 오히려 '냉정한 구조 고발'로 기능
AG-05	전지적 갓즈아이 심판	God's-Eye Judgment	정수직(90도) 부감 — 운명·전지적 시선	판 전체를 신처럼 정수직으로 내려봐 '심판대에 올린' 인상 — 관료적 미로·줄세우기·체제의 비인간성을 도식처럼 폭로	strict top-down god's-eye view from directly overhead at 90 degrees, omniscient, fate-like, clinical overview	관료 부조리·시스템 미로·대형 도열 카드의 정점. 텍스트는 여백(빈 바닥)에 얹어 도식성 강화	H09 · 32:BLK-15 · BLK-14	CD-16과 정합. H04(준수직)와 구분 — 이건 정수직 극단·전지적 톤
AG-06	불안 더치앵글	Anxiety Dutch Tilt	수평선을 의도적으로 기울임 — 정상성 붕괴	'무언가 잘못됐다'를 즉각 전달 — 위기·혼란·심리 붕괴·비정상 사태. 독일 표현주의에서 온 불안의 문법(칼리가리·노스페라투)	Dutch angle, canted tilted horizon, unsettling and unstable, psychological tension, sense of wrongness	긴박·공포·위기·스캔들 카드. 남용하면 촌스러우니 시리즈당 1~2장으로 제한	H06 · O01 · 32:BLK-10	CD-06·CD-21과 정합. 안정 카드(희망·추모)엔 금지
AG-07	압도 웜즈아이	Overwhelm Worm's-Eye	바닥 가까이 극단적 하부 시점 — 스케일 과장	거대 권력·구조물·군중에 깔린 듯한 압도감 — 개인이 거대한 힘 앞에 무력함을 체감하게 함. 높이·깊이를 극단으로 과장	worm's-eye view from the ground looking steeply up, overwhelming scale, towering and crushing, exaggerated height	거대 권력·자본·시스템의 압도 카드. 건축·군중·기념물을 거대하게. 구도 지저분해지기 쉬워 단순 배경 권장	H05 · O01 · BLK-04	CD-03과 인접. 인물 클로즈업엔 부적합(왜곡 과대)
AG-08	대질 정면 직시	Confrontation Front-On	피사체를 정면에서 — 카메라 직시(demand)	독자에게 '당신을 똑바로 본다'고 요구 — 책임 추궁·해명 요구·대질. 시선을 피할 수 없게 만들어 직면의 압박을 줌	front-on shot, direct gaze into the camera, confrontational, demanding eye contact, symmetrical and unflinching	책임자 대질·"누구 책임인가" 카드. 권력자엔 로우(AG-02)와 합쳐 '위압적 직시', 피해자엔 눈높이(AG-01)와 합쳐 '존엄한 직시'	O01 · H01/H03 · 32:BLK-08	VR-24 요구(demand) 정합. CD-07 대치와 인접
AG-09	관조 측면 거리	Observational Profile Distance	완전 측면 — 표정 정보를 줄이고 윤곽·방향만	감정에 빠지지 않고 사건을 한 발 떨어져 관조 — 대치의 팽팽함, 떠남의 방향성, 그래픽한 긴장. 독자를 관찰자로 둠	profile side shot, clear silhouette, observational distance, directional and graphic, detached	대치·심문(서로 마주본 2인 측면)·관조 카드. 헤드라인을 인물이 바라보는 방향의 여백에 배치	O03 · H01 · 32:BLK-08	CD-07 대치·CD-15 풍자와 정합. demand 차단=offer(VR-24)
AG-10	익명·수치 후면	Anonymity & Shame Rear	뒤에서 봄 — 얼굴을 가려 정체 비공개	신원 보호(미성년·피해자·제보자)거나, 권력자의 '등돌림=발뺌·수치'를 연출. 얼굴 없이 방향·배경·뒷모습만으로 서사	back shot, rear view from behind, anonymous, faceless, turning away, walking off into the scene	미성년·피해자 보호 카드(윤리 필수)거나 '책임 회피하고 떠나는 권력자' 풍자. 두 용도는 맥락으로 명확히 구분	O04 · H01 · 32:BLK-12	CD-10 미성년 안전과 정합. 보호용은 절대 조롱 톤 금지
AG-11	위세→왜소 앵글 반전	Looming-to-Belittled Flip	같은 권력자를 로우(앞칸)→하이(뒤칸)로 연속 배치	한 인물을 위세(로우)에서 왜소(하이)로 뒤집어 '거품의 붕괴'를 두 칸의 리듬으로 풍자 — 카드뉴스 시퀀스 전용 연출	paired cards, first low-angle imposing then high-angle diminished, the rise-and-fall reversal of a powerful figure	2장 1세트 시퀀스 카드. 동일 인물·동일 화풍 유지, 앵글만 반전해 대비 극대화. 표정도 위세→당황으로	AG-02 + AG-03 · O01	실존인물=캐리커처 전제. CD-12→CD-13 흐름과 정합
AG-12	약자↗강자 시선 비대칭	Weak-Up Strong-Down Asymmetry	한 프레임 안에서 약자=하이(피사체에 내려봄 X)·강자=로우 동시 적용 느낌의 높이차 연출	같은 칸에 권력자와 약자를 두되 높이차로 권력관계를 즉시 읽히게 — 강자는 서서 위에, 약자는 앉거나 낮게. 구도가 곧 권력 진술	two figures with a power height gap, dominant one standing tall and elevated, the other lowered and looking up, vertical power hierarchy	권력자-시민/심문자-피심문자 2인 카드. 깊이·중앙·전진까지 더해 권력자 우위를 다층으로	32:BLK-06 + BLK-13 · H01	BLK-06 권력 포지셔닝·BLK-13 앉음/섬 권력차의 카드 적용. 약자 비하 아닌 '구도로 고발'
AG-13	포위·심판 원형 부감	Encirclement Judgment	약간 높은 부감에서 한 인물을 다수가 둘러싼 원형 배치	여론·다수·시스템이 한 명을 에워싼 '심판·포위·압박' — 부감이 원형 포위를 한눈에 읽히게. 고립된 중심 인물의 무력 또는 단죄	slightly high angle over a circle of figures surrounding one central subject, encirclement, pressure, judgment from above	여론 심판·집단 압박·청문회 카드. 중심 인물에 빛을 모아 시선 집중	H04 · 32:BLK-14 · O01	BLK-14 원형 포위의 앵글 결정판. CD-16과 인접
