ID	상황 유형	영문명	연출 방법(한 프레임에 상황이 읽히게)	Gemini 키워드	카드 적용 노트	추천 조합(샷·앵글·구도·블로킹·조명 ID 참조)	비고
SG-01	전/후 대비	Before / After Split	프레임을 세로(또는 대각)로 갈라 한쪽=과거·약속·번영, 반대쪽=현재·파탄·폐허. 같은 인물·장소를 양쪽에 두되 색·질감·날씨를 반대로(맑음↔잿빛). 경계는 5~8% soft gradient — 한 컷에 '바뀐 것'이 즉시 읽힘	split frame before and after, left bright intact right ruined desaturated, same place two states, soft seam down the middle	좌=기지(과거)·우=신정보(현재) 읽기 문법대로 배치. 경계선이 곧 '시간의 절단면'. 하단 자막공간 비워둠	COMP-01(좌우분할)·COMP-33(대각3분할)·VR-25(정보가치 좌우)·CD-15(아이러니)·LIGHT01↔LIGHT18	VR-18 시각반어와 친족. 두 장면이라도 인물 1+1 = 2인 상한 내
SG-02	원인→결과 한 프레임	Cause and Effect in One	전경에 '원인'(서명하는 손·떨어뜨린 성냥·도장), 후경 같은 깊이선상에 '결과'(무너진 건물·우는 사람·텅 빈 통장)를 한 시선축에 정렬. 유도선(책상모서리·복도)이 원인에서 결과로 눈을 끎	foreground cause and background consequence on one sightline, leading line connecting near action to far result, deep focus	딥포커스로 둘 다 선명히 — 인과가 한 눈에. 전경 소품=환유(서류=정책). 인과 화살표는 후반 합성	COMP-07(유도선)·COMP-31(전중후경)·BLK-04(깊이스테이징)·VR-20(지표=인과)·L13(딥포커스)	VR-03 로고스. 원인 소품은 MT-35 도장·WP 소품 연계
SG-03	대치·face-off	Face-off / Standoff	두 인물(또는 진영 캐리커처)을 프레임 좌우 끝에 마주 세우고 가운데 빈 긴장 공간을 둠. 시선벡터가 정확히 서로를 향함, 어깨선은 정면 직각. 대각으로 가르면 진영 대립 강화	two figures facing off at opposite edges, tense empty gap between them, eyelines locked, diagonal split into two camps	중앙 여백=대치의 무대. 좌우 색코드(넥타이·배경)로 진영 표식. 2인 상한 정석 — 나머지는 배경 실루엣	BLK-08(투핸더)·COMP-33(대각3분할)·S15(밀착투샷)·O03(프로필)·R01(OTS)·LIGHT56(보색분리)	GST-03 억지악수와 결합 가능. 웨스턴 대치(GEN-18)
SG-04	군중 속 고립	Isolation in a Crowd	균질한 군중(같은 옷·같은 방향·반복 패턴)을 빽빽이 채우고 그 속에 색·방향·자세가 다른 단 한 명을 패턴 브레이크로 박음. 고립자만 컬러·정면, 군중은 흐릿·뒤통수	uniform repeating crowd one odd figure breaking the pattern, lone person in color facing front, others blurred turned away	'다름' 하나로 시선 즉시 착지. 군중=common fate, 고립자=figure-ground 분리. 다인물이지만 초점 1인+나머지 군중 처리	COMP-26(패턴브레이크)·COMP-25(반복)·BLK-09(군중블로킹)·VR-06(figure-ground)·VR-14(공통운명)	피해자·내부고발자·이단아 풍자. CD-03(고립)
SG-05	규모 압도	Scale Overwhelm	거대한 대상(빌딩·기관 로고·권력자 캐리커처)을 프레임 위·앞을 채우게 두고, 그 발치에 왜소한 인물(시민)을 극소로 배치. 로우앵글로 거대물을 더 부풀리고 왜소측은 하이톤	towering giant element filling the top, tiny powerless figure at its base, low angle exaggerating scale, vast vs minuscule	'거대 vs 왜소'가 권력 비대칭의 시각 번역(풍자 핵심). 거대물=환유(제도·자본). 위=압박·아래=현실 읽기축	COMP-22(규모병치)·COMP-27(높은지평선)·H03(로우)·BLK-06(권력포지셔닝)·VR-19(시각과장)	VR-19 하이퍼볼리. 3등신 캐리커처(STYLE25)와 상극 주의 — 거대측은 사실 스케일
SG-06	권력 위계	Power Hierarchy	지배자를 더 높이·더 중앙·더 앞에(세 축 동시) 두고, 종속자는 낮고·가장자리·뒤로. 앉은 권력자 vs 선 채 굽힌 부하, 또는 단상 위 1인 vs 아래 다수. 시선은 위에서 아래로 내림	dominant figure higher central and forward seated, subordinate lower peripheral bowing, downward gaze of authority	높이·중앙·전진 = 권력 3신호(블로킹 정본). 카메라 로우=우러름의 태도. 단 2인이면 상하 대비, 다수면 도열	BLK-06(권력포지셔닝)·BLK-13(앉음/섬)·BLK-15(도열)·COMP-16(방사)·VR-28(앵글=태도)·H03	GST-21 경례·WP-01 정장 결합. 내각·서열 풍자
SG-07	결정적 순간	Decisive Moment	행동의 정점 한 프레임에 동결 — 던지는 손이 막 떠난 서류, 무너지기 직전 기운 기둥, 악수 직전 닿기 1cm 전. '다음 순간'이 예측되되 아직 안 일어난 찰나. 모션블러 살짝으로 운동감	frozen peak action moment, document mid-throw papers in air, the instant just before contact, slight motion blur, suspended	카이로스(지금 이 타이밍)의 시각화 — 정지 이미지가 시간을 머금음. 정점=긴장 최대치. 후속 결과는 보는 이가 채움(closure)	VR-15(카이로스)·VR-05(closure)·GST-26(서류던지기)·GST-11(주먹내리침)·EM(격앙)·H06(더치)	Cartier-Bresson 결정적 순간 원리. CD-21(충격·반전)
SG-08	병치(호화 vs 빈곤)	Juxtaposition of Extremes	한 프레임에 모순된 두 세계를 인접 배치 — 만찬 vs 빈 밥그릇, 명품관 앞 노숙, 말풍선의 약속 vs 배경의 현실. 둘을 같은 구도 안에 나란히 두어 대비가 폭로가 되게	luxury and poverty in one frame, feast beside empty bowl, opulence next to destitution, stark side-by-side contrast	말↔현실, 부↔빈을 한 컷에 = 위선의 즉각 폭로. 게슈탈트 근접으로 둘이 한 사건으로 읽힘. 라벨·말풍선은 후반	VR-18(시각반어)·VR-04(근접)·COMP-01(좌우분할)·COMP-22(규모병치)·CD-15(아이러니)·GEN-15(트루크라임)	노숙 vs 명품관은 검색된 포토저널 정석 사례. 말↔이미지 반어
SG-09	부재	Absence / Empty Trace	인물을 지우고 흔적만 — 빈 의자에 걸린 명패, 식은 찻잔 두 개 중 하나만, 비어버린 연단과 마이크. 부재 자체가 주인공. 한 줄기 빛이 빈자리에 떨어져 '있어야 할 것의 없음'을 강조	empty chair with a nameplate, abandoned podium and microphone, a single trace of someone gone, light falling on the void	환유(빈 의자=떠난 사람/책임). 부재가 가장 강한 존재감. 여백·정적이 카드의 메시지. 명패 글자는 후반 합성	COMP-04(빈의자/부재)·VR-17(환유)·COMP-17(여백)·LIGHT20(스포트)·LIGHT59(꺼지는빛)·CD-02(부재)	퇴진·사망·직무유기 풍자. SG-07 결정적순간의 반대극(사후)
SG-10	포위·협공	Surrounded / Pincer	표적 1인을 중앙에 두고 다수가 360도(또는 양옆)로 에워싸 조여듦. 둘러싼 자들은 안쪽을 향하고, 표적은 시선 둘 곳 없이 위축. 원형 포위 또는 2:1 샌드위치	single subject encircled by a closing ring, figures pressing inward from all sides, or two flanking one, hemmed in	포위=압박·심판의 구도(다수가 한 명을). 둘러싼 군중은 배경 처리(2인 상한). 위에서 보면 포위가 더 명확	COMP-03(둘러싸여)·BLK-14(원형포위)·BLK-16(샌드위치협공)·H04(버드아이)·LIGHT41(취조등)·CD-07(대치·심문)	여론 뭇매·청문회 압박 풍자. GST-19 멱살과 격화 가능
SG-11	폭로·리빌	Reveal / Unmasking	가려졌던 것이 드러나는 찰나 — 들춰진 장막 뒤 진짜 얼굴, 반쯤 벗겨진 가면, 열린 문틈으로 새는 빛 속 정체. 전경 차폐물을 일부만 걷어 '숨겨진 것'과 '드러난 것'을 한 컷에	a curtain pulled back revealing what was hidden, a mask half removed, light leaking through an opening exposing the truth	숨김→드러남의 동시 제시 = 폭로의 드라마. 차폐(COMP-12)를 일부만 풀어 긴장. 가면 뒤 얼굴=이중성 폭로	COMP-12(전경차폐)·COMP-32(거울대칭)·LIGHT19(간접리빌)·LIGHT36(프로젝터)·CD-11(위선폭로)·R09(전경프레이밍)	이중장부·민낯 폭로 풍자. 거울 변종=양면 동시
