# ⛔ 마스터 아카이브 — 아카이빙 정본(평소 로드 금지). 수정(덮어쓰기)·삭제 = 사용자 이중 허락 필수 / 새 ID 추가·순서 정리는 무권한 OK. 절차: apps/k/00_지침 §10 · 라우터 CLAUDE.md §기틀 보호. ↓ 다음 줄 = 컬럼 헤더, 그 아래 = 데이터(불변)
ID	대분류	한국어명	영문명	기준	변수 역할	사용하면 좋은 상황	GPT Image 2용 삽입 지시문	Gemini용 삽입 지시문	추천 조합	피해야 할 조합	시각 효과	감정 효과	왜곡/실패 리스크	강도	유사어/검색어	Gemini_NanoBanana2_예시장면_참고용	Gemini_NanoBanana2_ChatGPT지시문	Gemini_NanoBanana2_Gemini키워드	Gemini_NanoBanana2_효과	Gemini_NanoBanana2_리스크	Gemini_NanoBanana2_유사어	Gemini_비교판정	Gemini_분리인덱스필요	Gemini_메모
L01	렌즈 화각	어안 화각	Fisheye Lens	8–15mm, 180도 전후	렌즈/시야 왜곡 변수	초현실, 익스트림 스포츠, 뮤비, 장난스럽거나 압도적인 공간 왜곡이 필요할 때	Use a fisheye lens with extreme wide-angle distortion, curved edges, and an immersive surreal perspective.	fisheye lens, 180-degree view, extreme distortion, curved edges, immersive perspective	wide shot, low angle, POV shot, dynamic motion	beauty close-up, realistic face portrait, product shape accuracy	극단적 왜곡, 둥근 공간감, 과장된 주변부	혼란, 몰입, 장난스러움, 비현실감	얼굴·제품 형태 왜곡이 매우 큼	Extreme	fisheye, 180-degree lens, ultra distorted lens	A dynamic skateboarder performing a trick mid-air over a concrete halfpipe under bright midday sun.	Use a fisheye lens with extreme wide-angle distortion, curved edges, and an immersive surreal perspective.	shot on a fisheye lens, extreme barrel distortion, curved edges, immersive distorted perspective	비현실적, 장난스럽고 압도적인 공간감	인물 얼굴이 크게 왜곡됨	fisheye, ultra distorted lens, 180-degree lens	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
L02	렌즈 화각	초초광각	Extreme Ultra Wide	10–12mm	렌즈/공간 확장 변수	좁은 실내, 건축, 압도적인 배경, 주변 환경을 과장하고 싶을 때	Use an extreme ultra-wide lens to exaggerate space and make the environment feel vast and dramatic.	extreme ultra-wide lens, vast space, exaggerated depth, dramatic perspective	establishing shot, overhead, low angle, architecture shot	tight facial close-up, symmetrical beauty portrait	공간 확장, 강한 원근감, 주변부 왜곡	압도감, 웅장함, 낯섦	수직선 휘어짐, 가장자리 인물 왜곡	Extreme	10mm lens, 12mm lens, extreme wide angle	A majestic gothic cathedral with towering stone arches and golden sunlight streaming through massive stained glass windows.	Use an extreme ultra-wide 10mm lens to exaggerate space and make the environment feel vast and dramatic.	extreme ultra-wide shot, 10mm lens, dramatically exaggerated space, vast sweeping background	공간 확장, 웅장함, 현장감	가장자리 왜곡, 수직선 기울어짐	10mm lens, extreme wide angle	유사/보강 후보	아니오	같은 ID의 카메라 변수로 해석 가능. 현재는 별도 인덱스 추가 없이 참고 컬럼으로 보존.
L03	렌즈 화각	14mm 초광각	14mm Ultra Wide	14mm	렌즈/넓은 공간 변수	풍경, 실내, 은하수, 장소감이 강한 영화적 배경	Use a 14mm ultra-wide lens to capture a vast environment with dramatic depth and strong spatial presence.	14mm ultra-wide lens, vast environment, dramatic depth, strong spatial presence	establishing shot, extreme long shot, landscape, interior	close-up portrait with face near camera	넓고 드라마틱한 공간, 강한 깊이감	웅장함, 개방감, 현장감	근접 인물 촬영 시 얼굴·몸 왜곡	Strong	14mm lens, ultra wide, wide environment	The Milky Way galaxy glowing vividly over a quiet desert landscape filled with silhouettes of ancient cacti.	Shot on a 14mm ultra-wide lens, capturing a vast environment with dramatic depth and strong spatial presence.	shot on a 14mm ultra-wide lens, deep spatial presence, dramatic depth	넓고 드라마틱함	인물 근접 시 얼굴/몸 왜곡	14mm lens, ultra wide	유사/보강 후보	아니오	같은 ID의 카메라 변수로 해석 가능. 현재는 별도 인덱스 추가 없이 참고 컬럼으로 보존.
L04	렌즈 화각	16mm 초광각	16mm Wide Lens	16mm	렌즈/몰입형 광각 변수	브이로그, 여행, 좁은 공간, 활동적인 1인칭 장면	Use a 16mm wide lens for an energetic, immersive scene with strong environmental context.	16mm wide lens, immersive scene, wide environmental context, dynamic look	POV shot, wide shot, handheld look, travel scene	formal portrait, facial beauty close-up	넓은 주변 정보, 역동적인 현장감	활동성, 몰입감, 생동감	얼굴이 가까우면 코와 이마가 커짐	Strong	16mm lens, vlog wide angle, immersive wide	A lively travel vlogger smiling and walking through a crowded night market in Bangkok, surrounded by colorful neon signs and steaming street food stalls.	Use a 16mm wide lens for an energetic, immersive scene with strong environmental context.	dynamic 16mm wide lens view, energetic immersive framing, rich environmental context	몰입감, 활동성, 공간 정보	너무 가까우면 얼굴 커짐	16mm lens, vlog wide angle	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
L05	렌즈 화각	20mm 광각	20mm Wide Lens	20mm	렌즈/환경 인물 변수	다큐, 거리, 환경 인물, 넓지만 과하지 않은 자연스러운 광각	Use a 20mm wide lens to balance the subject with the surrounding environment in a realistic documentary style.	20mm wide lens, subject and environment, documentary realism	medium shot, eye-level, street scene, environmental portrait	tight beauty shot, minimal background scene	인물과 공간의 균형, 적당한 원근감	현장감, 사실감, 관찰감	배경 정보가 많아 산만할 수 있음	Normal	20mm lens, documentary wide, environmental portrait	An elderly artisan meticulously crafting a wooden violin inside a sunlit, rustic workshop filled with tools and wood shavings.	Use a 20mm wide lens to balance the subject with the surrounding environment in a realistic documentary style.	shot on a 20mm wide lens, realistic documentary framing, balanced subject and environment	현장감, 자연스러운 광각	배경 정보가 많아 산만할 수 있음	20mm lens, documentary wide	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
L06	렌즈 화각	24mm 광각	24mm Wide Lens	24mm	렌즈/영화적 와이드 변수	영화적 와이드샷, 실내 인물, 숏폼, 풍경과 인물을 함께 보여줄 때	Use a 24mm wide lens for a cinematic wide shot with clear spatial context and subtle perspective depth.	24mm wide lens, cinematic wide shot, spatial context, subtle depth	wide shot, full shot, low angle, three-quarter view	extreme facial close-up, shape-critical product shot	공간 정보와 피사체가 함께 살아남	영화적, 안정적, 개방적	근접 인물에서 약한 얼굴 왜곡	Normal	24mm lens, cinematic wide, wide-angle lens	A mysterious woman in a classic trench coat standing on a foggy, desolate train platform at dusk, illuminated by dim warm streetlights.	Use a 24mm wide lens for a cinematic wide shot with clear spatial context and subtle perspective depth.	cinematic wide shot, 24mm lens, clear spatial context, subtle natural depth of field	영화적, 안정적인 광각	근접 인물은 코/얼굴 왜곡 가능	24mm lens, cinematic wide	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
L07	렌즈 화각	28mm 준광각	28mm Semi-Wide Lens	28mm	렌즈/자연스러운 스냅 변수	거리 사진, 일상 스냅, 자연스러운 1인칭 느낌, 과하지 않은 배경 포함	Use a 28mm lens for a natural street-photography perspective with mild wide-angle depth.	28mm lens, natural street perspective, mild wide angle	medium shot, full shot, eye-level, candid scene	heavy background compression, distant subject isolation	자연스러운 광각, 적당한 배경감	친근함, 현실감, 스냅감	극적인 분리감은 약함	Subtle	28mm lens, semi wide, street perspective	A stylish youth walking across a busy zebra crossing in Shibuya during the golden hour, massive city skyscrapers looming in the background.	Use a 28mm lens for a natural street-photography perspective with mild wide-angle depth.	shot on a 28mm lens, natural street-photography perspective, mild wide-angle depth	현실적, 스냅감, 친근함	극적인 배경 압축은 약함	28mm lens, semi wide	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
L08	렌즈 화각	35mm 클래식 와이드	35mm Classic Wide	35mm	렌즈/범용 다큐 변수	인물과 배경을 균형 있게 보여주고 싶을 때, 다큐, 인터뷰, 일상 장면	Use a 35mm lens with a natural documentary perspective, balancing the subject and background without heavy distortion.	35mm lens, natural documentary perspective, balanced subject and background, minimal distortion	medium shot, medium close-up, eye-level, three-quarter view	extreme close-up with face near lens	자연스러운 공간감과 피사체 균형	현실감, 신뢰감, 현장감	근접 얼굴 촬영에서는 약간 왜곡 가능	Normal	35mm lens, classic wide, documentary lens	A cozy independent bookstore owner sitting behind a wooden counter, rows of colorful books stretching infinitely behind them.	Use a 35mm lens for a natural documentary look, balancing the subject and background with realistic perspective.	shot on a 35mm classic wide lens, natural documentary framing, balanced subject and background	가장 범용적, 자연스러움, 현장감	클로즈업에서는 약간 왜곡 가능	35mm lens, classic wide, documentary lens	유사/보강 후보	아니오	같은 ID의 카메라 변수로 해석 가능. 현재는 별도 인덱스 추가 없이 참고 컬럼으로 보존.
L09	렌즈 화각	40mm 내추럴	40mm Natural Lens	40mm	렌즈/중립 시야 변수	음식, 제품, 인물, 과장 없는 자연스러운 화면이 필요할 때	Use a 40mm lens for a neutral, natural perspective that feels close to human vision.	40mm lens, neutral perspective, natural human-vision feel	medium shot, product shot, eye-level, soft natural light	extreme scale, huge landscape emphasis	담백하고 과장 없는 시야	안정감, 현실감, 편안함	극적 효과는 약할 수 있음	Subtle	40mm lens, natural lens, normal-wide lens	A freshly baked artisan sourdough bread sitting on a rustic wooden table next to a steaming porcelain cup of black coffee.	Use a 40mm lens for a neutral, natural perspective that feels close to human vision.	shot on a 40mm natural lens, clean neutral perspective, human field of view	담백함, 안정감, 현실감	극적 효과는 약할 수 있음	40mm lens, natural lens	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
L10	렌즈 화각	50mm 표준	50mm Standard Lens	50mm	렌즈/표준 집중 변수	제품, 인물, 영화 기본 컷, 왜곡을 줄이고 싶을 때	Use a 50mm standard lens with minimal distortion and a focused, natural cinematic composition.	50mm standard lens, minimal distortion, natural cinematic composition	medium close-up, close-up, eye-level, product shot	very small room wide shot, exaggerated perspective	왜곡 적고 피사체 집중도 높음	균형감, 클래식함, 차분함	좁은 공간에서는 답답할 수 있음	Normal	50mm lens, standard lens, nifty fifty	A detailed portrait of a handsome model wearing a casual white linen shirt, posing outdoors in a sunlit wild meadow.	Use a 50mm standard lens with minimal distortion and a focused, natural cinematic composition.	classic cinematic composition, 50mm standard lens, minimal distortion, focused eye-level framing, soft natural bokeh	집중감, 균형, 클래식함	좁은 공간에서는 답답할 수 있음	50mm lens, standard lens, nifty fifty	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
