ID	대분류	한국어명	영문명	기준/정의	사용하면 좋은 상황	영상 삽입 지시문(영문)	한국어 워딩 예	추천 조합	피해야 할 조합	효과	왜곡/실패 리스크	AI 신뢰도	유사어/메모
V01	시점	1인칭 POV	First-person POV	보는 사람 눈 시점	몰입 체험, 브이로그 감각	first-person POV, immersive perspective from the subject's eyes	주인공의 눈으로 보는 1인칭 시점	M16(핸드헬드)·손 일부 노출	OTS 동시 사용	몰입	손·소품 왜곡	✅	immersive vlog perspective(Veo 검증)
V02	시점	셀카/브이로그	Selfie / Vlog Style	전면캠 셀프 촬영	UGC·친근 화법, 풍자 1인방송	selfie vlog style, subject holding the camera at arm's length, talking to camera	셀카 화각으로 카메라를 들고 말한다	대사(따옴표) + 자연광	시네마틱 그레이딩	친근, 진정성	팔·화각 왜곡	✅	UGC style. 정면 응시+대사와 궁합
V03	시점	액션캠/고프로	GoPro / Action Cam	신체 부착 광각	스포츠, 추격, 체험	GoPro action cam footage, ultra wide, mounted on the subject	헬멧 액션캠 시점으로 질주한다	L01~L03(광각) + M18	정적 인물 씬	박진감	어안 왜곡(의도됨)	✅	helmet cam, chest mount 명시 가능
V04	시점	바디캠	Bodycam Footage	경찰 바디캠 룩	사건 재연, 풍자 단속 씬	police bodycam footage, wide angle, slight shake, timestamp overlay	바디캠 시점의 흔들리는 현장	V06과 동급 신뢰 룩 + STYLE09	뷰티 톤	현장 긴박	식별 저하	✅	Sora 계열 강세 보고 — Kling도 인식
V05	시점	대시캠	Dashcam Footage	차량 블랙박스	도로 사건, 목격 연출	dashcam footage from inside a car, fixed wide view of the road	블랙박스 화면으로 도로가 보인다	고정(M01) + 타임스탬프	카메라 무브	목격자 시점	유리 반사 어색	🟡	차내 고정 + 시간 오버레이 병기
V06	시점	CCTV/보안카메라	Security Camera / CCTV	고정 부감 감시	사건 재연, 풍자 몰래 시점	security camera footage, black and white, grainy, low-resolution, high corner angle, timestamp overlay "2026/06/11 16:46:17", [REC] indicator	구석 천장 CCTV 화면	H02(하이앵글) + M01(고정)	NEG05(고화질) — 모순	감시 리얼리즘	저화질(의도)	✅	정석 레시피 검증(Veo 바이럴 장르) — 타임스탬프·[REC]까지 명시
V07	시점	드론 부감	Aerial / Drone View	상공 시점	스케일, 위치 관계, 오프닝	aerial drone view from high above	드론뷰 화각으로 공장 전체를 조망	M19 + S01~S02	실내 클로즈업	조망	피사체 작아짐	✅	실증✅ 로봇 케이스
V08	시점	수중 시점	Underwater POV	물속 카메라	수영, 침수, 몽환	underwater POV with light refracting through the surface	물속에서 올려다보는 시점	볼류메트릭(LIGHT16)	건조 씬	몽환	물리 표현 한계	✅	Veo 검증
V09	시점	사물 시점	Object POV	사물에 달린 카메라	기발한 연출(컵·바퀴·문)	object POV, camera mounted on the moving object	굴러가는 바퀴에 달린 시점	코믹·밈 톤	정통 드라마	기발함	궤적 어색	🟡	Higgsfield 프리셋 존재 — 설명 병기
V10	시점	마이크로/현미경	Macro / Microscopic	초근접 디테일	질감, 곤충, 상징 인서트	extreme macro detail, microscopic close-up	먼지 한 톨이 화면을 채우는 초근접	L13(매크로) + S10	군중 씬	상징·감각	맥락 소실	✅/🟡	macro=✅, microscopic=🟡
V11	시점	관찰 다큐	Observational Documentary	제3자 관찰	르포, 풍자 모큐멘터리	observational documentary perspective, unobtrusive handheld camera	관찰자의 거리에서 지켜본다	STYLE08 + M16 + 자연광	연출된 정면 응시	객관, 리얼	평이	✅	verite. 풍자 모큐 핵심
V12	시점	리버스 샷	Reverse Shot	직전 샷 반대 각	대화 멀티샷, 반응 컷	reverse shot from the opposite angle	반대편에서 상대의 반응을 비춘다	R01(OTS)와 교차 + 멀티샷	단일 샷	대화 리듬	축선 붕괴(180도 룰)	🟡	shot-reverse-shot — Kling 3.0 반응 어휘(리서치)
V13	시점	방송 중계 카메라	Broadcast / ENG Camera	보도 중계 삼각대 시점	가짜 뉴스 스튜디오·기자 중계 풍자	broadcast news camera framing, steady tripod shot, news studio composition with space for lower-third graphics	뉴스 중계 카메라처럼 안정된 프레임, 하단 자막 공간을 비워 둔다	ENV09(스튜디오) + S07(MCU) + LIGHT09(3점)	핸드헬드	보도 신뢰감(풍자 전제)	실제 방송사 로고 생성 금지(§8 법규)	🟡	ENG camera. 자막·로고는 후반 합성이 안전
V14	시점	세로 직캠·팬캠	Vertical Fancam	9:16 1인 추적 직캠	쇼츠 네이티브, 인물 밈·챌린지 패러디	vertical fancam style, single subject tracked center-frame, stage lighting, audience glow sticks bokeh	무대 위 한 명만 따라가는 세로 직캠	M09(트래킹) + LIGHT20(스포트라이트) + 9:16	와이드 군중 구도	쇼츠 몰입 문법	격렬 안무는 미해결(§7 함정 — 모션 컨트롤 탭이 정도)	🟡	fancam, 직캠
