ID	분류	한국어명	영문명	용도(노뮤트)	핵심 키	IP 주의	Kling 전이성	비고
S-1	합성·구도	무경계 듀얼 구도	Seamless Dual-Perspective	시리즈 표지, 강렬한 단일 카드	no visible dividing line, continuous background	—	🅂(스타트프레임 경유)	프롬프트 전문 = 08_style_addendum_image.md (이하 동일)
S-2	합성·구도	더블 노출 포스터	Double-Exposure	기획 시리즈 표지, 국가·지역 테마	landmarks inside silhouette, layers of depth	—	🅂	영상 직접 전이는 morphing 리스크
S-3	합성·구도	벽화 초상 콜라주	Mural Portrait Collage	인물 특집, 회고·서사	mural of own face, scattered photos	—	🅂
S-4	합성·구도	프레임 깨기 착시	Frame-Breaking Illusion	주목도 극대, 디지털 이슈	emerging halfway out of screen, believable proportions	—	✅(영상 개그 강력)	"튀어나오는" 모션 자체가 영상 네이티브
S-5	콜라주·SNS	두들 포토덤프 그리드	Doodle Photo-Dump	가벼운 이슈, Z세대 톤	3x3 grid, hand-drawn white doodles	—	🅂	그리드 = 정지 포맷
S-6	콜라주·SNS	포토스트립 콜라주	Photostrip	관계·일상·연속 순간	candid phone-photography, 6 photos	—	🅂
S-7	콜라주·SNS	매거진 컷아웃	Magazine Cutout	잔잔·감성·치유	torn paper edges, Korean scrapbook	—	🟡	종이 스톱모션 영상으로 변환 가능
S-8	변환·포스터	러버호스 빈티지 카툰	Rubber-Hose Cartoon	레트로 풍자, 인물 캐릭터화	1930s Fleischer, pie-cut eyes, identity 보존	Cuphead 등 IP 디자인 복제 금지	✅	본래 애니메이션 양식 — 풍자 화풍 치환 주력
S-9	변환·포스터	사실적 셀카 텍스처	AI-Look Killer Selfie	리얼리즘 강조 인물	no beautification, visible pores, window light	—	✅	V02(셀카 영상)와 직결
S-10	변환·포스터	게임 포스터 에디토리얼	Game-Poster Editorial	강렬 기획 포스터	xerox halftone, ink splatter, distressed type	실제 게임 브랜딩 금지	🅂
S-11	필름·포토	일본 네거티브 필름	Japanese Negative Film	노스탤지어·여운	overexposed highlights, faded, memory-like	—	✅
S-12	필름·포토	오렌지 스튜디오 포트레이트	Studio Editorial Portrait	인물 강조 표지, 캠페인	orange-red gradient, golden rim light, 85mm	실존 공인 얼굴 금지(룩만)	✅
S-13	광고·포스터	제품 히어로 광고	Product Hero Ad	신제품·기술 이슈	forced perspective, callout labels, glassmorphism	실브랜드 로고 금지	🅂	콜아웃 글자 = 영상에서 붕괴
S-14	광고·포스터	플래시 트래블 포트레이트	Flash Travel Portrait	여행·도시·야간 인물	direct flash, landmark glow, warm vs cool	—	✅	영상은 "flash-lit look"으로 번역
S-15	광고·포스터	캐릭터 디자인 보드	Character Design Board	★인물 일관성 시트	turnaround, expression grid, design notes	—	🅂★(파이프라인 핵심)	시트 생성 → Omni @참조/주체 등록 소스로
S-16	광고·포스터	UI 통합 콜라주	UI-Integration Collage	디지털·플랫폼 이슈	stepping out of app UI, layered panels	실제 앱 브랜딩 주의	🅂
