파일/시트	ID 범위	주제	역할	운영 방식
archive_media_master	L01–R04	⛔ 미디어 마스터 아카이브 (현재 = 카메라 전체 원본 · 01a~e 분할 출처)	아카이빙 정본 — 전체 기준본. GPT Image 2 원본 + Gemini/Nano Banana 2 값 분리 보존	⛔ 보호 등급: 기존 항목 수정·삭제 = 사용자 이중 허락 필수 / 새 ID 추가·순서 정리만 무권한 OK / 평소 로드 금지(분할본 사용) — 절차 apps/k/00_지침 §10·라우터 §기틀 보호
01a_camera_lens_focal_length	L01–L19	렌즈 화각/초점거리	시야각, 왜곡, 압축감, 공간감 제어 (+L17 아나모픽·L18 틸트시프트·L19 조리개 페어 — 리서치 추가 260611)	독립 TSV + XLSX 시트(원본 L01~L16 무변경)
01b_camera_shot_size	S01–S10	샷 크기	피사체가 프레임 안에서 차지하는 크기 제어	독립 TSV + XLSX 시트
01c_camera_height_tilt	H01–H06	카메라 높이/기울기	위/아래 시선, 수평 기울기, 권력감/불안감 제어	독립 TSV + XLSX 시트
01d_camera_orientation	O01–O04	카메라 방향	정면, 3/4, 측면, 후면 등 피사체를 보는 방향 제어	독립 TSV + XLSX 시트
01e_camera_relationship_pov	R01–R04	관계/시점(이미지)	OTS, POV, 투샷, 그룹샷 등 관계성과 주관 시점 제어	독립 TSV + XLSX 시트
02_style_modules	STYLE01–28	화풍/스타일	포토리얼·필름·애니·회화·장르 + 노뮤트 브랜드 화풍 포인터(23·24) + 3등신·디오라마·뉴스릴·인포그래픽(25~28)	리서치 채움(260611) — 보강(260613)·실사용 검증 누적 중
03_lighting_modules	LIGHT01–24	조명	자연광·스튜디오·무드·색온도 + 무대·가로등·스크린·경광등·여명(20~24). 조명 모듈은 샷당 1개 원칙	리서치 채움(260611) — LIGHT12·19 실증·보강(260613)
04_environment_modules	ENV01–24	배경/환경	장소·세계관 변수 — 도심·관공서·법정·스튜디오·시장·시대극·자연 등 24종. 씬 헤딩(§3-1·1)·나노바나나 배경 레퍼런스(§4-1) 연계	신설(260613) — 리서치 채움·실증 연계 3종(ENV16·21·22)
05_negative_control	NEG00–14	실패 방지/네거티브	하우스 Avoid 테일(NEG00 정본)·identity lock 짝·모순 금지 + 다인물 혼동·멀티샷 드리프트 블록·오프모델(12~14)	실증 중심 채움(260611) — 보강(260613)·영상(Kling) 우선
06_camera_movement_video	M01–M24	카메라 무브먼트(영상)	무브 1개/샷 원칙. 한국어 워딩 예 병기. 오빗 ≤30°/5s 등 Kling 실측 한계 내장	신설(260611) — 리서치+실증
07_pov_video	V01–V14	시점(영상)	1인칭·브이로그·바디캠·CCTV·드론 + 방송 중계·세로 직캠(13~14). CCTV 정석 레시피 포함	신설(260611) — 보강(260613)
08_style_addendum_image	S-1–S-33	화풍 애드덤 원본(이미지)	260603 화풍 카탈로그 추가본 — 프롬프트 전문 정본(바이트 보존 이관). 나노바나나 6슬롯 공식 부록 포함	원본 보존 — 수정 금지, 추가는 새 S번호로
08a_style_addendum_index	S-1–S-33	화풍 애드덤 인덱스	S코드별 용도·핵심 키·IP 주의·Kling 전이성(✅/🅂/🟡) 한 줄 색인 — 전문은 08에서	신설(260611) — 이미지 작업은 이 인덱스로 픽
09_style_kling_video	KV-01–24	화풍→KLING 영상 전이	전이 가능 화풍의 영상화 각색 지시문 + 정지 전용 화풍의 스타트프레임 경유 규칙	신설(260611) — 영상 작업은 이 파일로 픽
10_audio_music	AU-01–20	음악·오디오 연출	영화음악 이론→프롬프트 매핑(다이제틱~침묵) · 쇼츠 음악 전략(훅·루프) · 후반 파이프(BPM·덕킹·LUFS) + 속보 톤·국악 베드(19~20)	신설(260611) — 보강(260613)·풍자 무기 = AU-05·06·08
11_acting_shadow_light	AN-01–12 · SH-01–09 · LC-01–17	애니 연기·그림자·고급 조명	12원칙→프롬프트(마이크로모션·동사 연기·카툰 물리⚪) · 그림자 결함 예방(방향 쌍·접지) · 고급 조명(연속성 블록·네거티브 필·켈빈·그레이딩)	신설(260611) — 인물 샷 기본 = AN-03·10 / 멀티샷 기본 = LC-01·03
