파일/시트	ID 범위	주제	역할	운영 방식
01_camera_all_source_separated	L01–R04	카메라 전체 모듈	전체 기준본. GPT Image 2 원본과 Gemini/Nano Banana 2 값을 분리 보존	마스터 참조용
01a_camera_lens_focal_length	L01–L16	렌즈 화각/초점거리	시야각, 왜곡, 압축감, 공간감 제어	독립 TSV + XLSX 시트
01b_camera_shot_size	S01–S10	샷 크기	피사체가 프레임 안에서 차지하는 크기 제어	독립 TSV + XLSX 시트
01c_camera_height_tilt	H01–H06	카메라 높이/기울기	위/아래 시선, 수평 기울기, 권력감/불안감 제어	독립 TSV + XLSX 시트
01d_camera_orientation	O01–O04	카메라 방향	정면, 3/4, 측면, 후면 등 피사체를 보는 방향 제어	독립 TSV + XLSX 시트
01e_camera_relationship_pov	R01–R04	관계/시점	OTS, POV, 투샷, 그룹샷 등 관계성과 주관 시점 제어	독립 TSV + XLSX 시트
02_style_modules_template	STYLExx	화풍/스타일	hyper-realistic, editorial, anime, oil painting 등 스타일 변수	다음 지식파일 후보
03_lighting_modules_template	LIGHTxx	조명	soft light, hard flash, neon rim, backlight 등 조명 변수	다음 지식파일 후보
04_environment_modules_template	ENVxx	배경/환경	도시, 실내, 자연, 미래 도시 등 장소/세계관 변수	커지면 독립 파일
05_negative_control_template	NEGxx	실패 방지/네거티브	왜곡, 노이즈, 비정상 손, 과장된 스타일 등 억제	모델별 분리 추천
