ID	한국어명	영문명	Gemini 키워드	영상(Kling) 지시문	용도/효과	추천 조합	리스크	비고
AB-01	칼레이도스코프	Kaleidoscope	kaleidoscopic radial symmetry, mirrored mandala pattern, repeating fractured reflections	pattern slowly rotates and morphs with radial symmetry	도취·반복·체제 미화 풍자	S-22(글리치)·FX-12·AU-17	중심 봉합부 왜곡·8각 이상서 형태 붕괴	이미지 강함/영상 회전만 안전. 선전·세뇌 메타포
AB-02	만다라 대칭	Mandala Symmetry	intricate mandala, perfect mirror symmetry, concentric geometric ornament	concentric rings pulse outward, kept perfectly symmetric	질서·권위·신성 위장	AB-01·LIGHT(림)·STYLE(장식)	비대칭 새면 즉시 조악	정적 디자인 권장. 가짜 신성 권력 풍자
AB-03	프랙탈/만델브로	Fractal / Mandelbrot	mandelbrot fractal zoom, infinite self-similar recursion, julia set tendrils	endless fractal zoom diving into self-similar detail	무한·복잡계·끝없는 부패 메타포	AB-19(노이즈)·AU-07(빌드)·CT	무한 줌 = 모델 매우 취약(후반 권장)	🟡 영상은 느린 줌만. 시스템 무한루프 은유
AB-04	슬릿스캔	Slit-scan	slit-scan distortion, time-smeared streaking, temporal warp of motion	subject smears into time-stretched streaks as it moves	시간 왜곡·기억·과정 압축	M22(슬로모)·FX-08(궤적)·TR-22	시간축 효과 = 모델 거의 불가 → 후반	🔴 실험적. 후반(After Effects) 전제. 정지=의사슬릿스캔만
AB-05	데이터벤딩	Databending	databent image, corrupted file artifacts, byte-level color smear	corrupted data ripples and re-sorts across the frame	데이터 부패·검열·디지털 사고	S-22·FX-06·AB-22	FX-06과 톤 인접 — 더 거침	🟡 글리치 패밀리 최상위 손상. 데이터 사회 붕괴
AB-06	아스키 아트	ASCII / Text Mosaic	ASCII art mosaic, image rendered in monospace characters, text-pixel grid	image resolves into a grid of shifting ASCII characters	디지털·해킹·기계 시선	S-22·FX-05(HUD)·STYLE(터미널)	글자 환각·한글 금물(NEG03)	이미지 정적 강함/영상 약함. 감시·코드화된 인간
AB-07	열화상	Thermography	thermal imaging false color, infrared heat map, blue-to-red temperature gradient	thermal signature glows and shifts as heat moves	감시·추적·은폐된 진실 노출	V13(CCTV)·FX-05·CT(false-color)	정확한 열분포 = 가짜(분위기로만)	군·드론·잠입 보도 톤. 빨강=고온 관용
AB-08	X레이 투시	X-ray Vision	x-ray radiograph look, translucent skeletal see-through, grayscale bone density	x-ray reveals the structure beneath the surface	은폐·내부 폭로·해부적 진실	NEG(고어 방지)·AB-15(와이어프레임)	해부 정확도 낮음·과하면 그로테스크	'속을 본다' 폭로 메타포. 의료·부패 투시
AB-09	UV 형광	UV Fluorescence / Blacklight	blacklight UV fluorescence, neon glowing fluorescent paint, dark with glowing accents	hidden fluorescent marks glow under sweeping UV light	은폐된 증거·클럽·이면	LIGHT(자외선)·AB-18(라이트쇼)·PAL(네온)	검정 배경 의존·과하면 단조	루미놀·증거 감식 톤. 보이지 않던 것의 발광
AB-10	적외선 풍경	Infrared False-color	infrared aerochrome, foliage rendered magenta-red, false-color landscape	infrared false-color landscape with surreal red foliage	이질·초현실·다른 시선	CT·STYLE07(필름)·LIGHT	비현실 색 = 톤 충돌 주의	에어로크롬 룩. 익숙한 풍경의 낯섦
AB-11	오실로스코프	Oscilloscope / Waveform	oscilloscope waveform, glowing green vector lines on black, lissajous curve	waveform pulses and oscillates in sync with sound	데이터·심전도·체제 신호	AB-12·FX-05·AU-17(비트싱크)	파형 물리 무의미(장식)	심장 박동·여론 진폭 메타포. 비트싱크 강력
AB-12	스펙트로그램	Spectrogram	audio spectrogram, frequency heat map, layered sound-spectrum bands	spectrogram bands rise and fall with the audio	소리의 시각화·분석·감청	AB-11·AB-07(열화상)·AU	주파수 정확도 = 가짜	도청·음성분석 보도 톤. 색=강도
AB-13	입자계/플로킹	Particle Swarm / Flocking	flocking boids, swarming particle murmuration, emergent collective motion	thousands of particles swarm and flow as one organism	군중·여론·집단행동 은유	FX-11·AU-07·M(오빗)	입자 다량 = 모션 부담·뭉침	보이드(분리·정렬·결속). 무리=대중 풍자
AB-14	잉크 인 워터	Ink-in-Water	ink dropped in water, billowing ink clouds blooming, fluid diffusion tendrils	ink blooms and unfurls slowly through clear water	확산·전염·여론 번짐	M22(슬로모)·LIGHT(역광)·FX-14	유체 = 모델 비교적 강하나 빠르면 깨짐	🟢 슬로모 페어. 소문·오염 확산 메타포
AB-15	보로노이/세포자동자	Voronoi / Cellular Automata	voronoi cell pattern, organic cellular tessellation, growing cell-automata grid	cells subdivide and grow, tessellation spreading outward	성장·분열·세포사회·확산	AB-16(등고선)·MT(유기질)·STYLE	셀 경계 정합 약함·격자 깨짐	자라나는 분열. 조직·세포·도시 확장
