ID	분류	항목	적용/효과
VR-01	설득 목적	Ethos(신뢰)	다큐/포토저널 톤·사실적 조명·출처감 (B 극화 다큐 결)
VR-02	설득 목적	Pathos(감정)	표정 클로즈업(S08/S10)·무드 조명(LGT03/05)·고립 구도 (A 수채화 결)
VR-03	설득 목적	Logos(논리)	비교·대비·도식 구도·깊은 심도(L13/deep focus)
VR-04	게슈탈트	근접(proximity)	가까이 두면 한 묶음으로 읽힘 = 집착·무리
VR-05	게슈탈트	closure	부분만 보여주면 뇌가 나머지를 채움 = 기괴함 엔진
VR-06	게슈탈트	figure-ground	배경에서 분리 = 고립·주목
VR-07	구성선	수평선	안정
VR-08	구성선	대각선	긴장
VR-09	구성선	중앙	통제
VR-10	구성선	삼분할	자연스러운 흐름
VR-11	시각무게	4요소	Size + Focus + Lighting + Color 로 시선 우선순위 설계
NOTE	원칙	목적 먼저	이미지는 예쁜 그림이 아니라 '설득하는 행위자' — 카드가 뭘 노리는지 먼저 정한다
