ID	분류	항목	설명/키워드	적용/효과
SET-01	원칙	소품으로 이야기하기	props tell the story, objects reveal character history and psychology	대사 없이 인물·상황 설명 (미장센 코어)
SET-02	밀도	어수선함(클러터)	cluttered desk, papers piled high, chaotic accumulated mess	통제 상실·과부하·서민·은폐 더미
SET-03	밀도	미니멀(정돈)	minimalist clean surface, sparse intentional objects, controlled order	권력·통제·냉정·결벽 (SET-02와 대비)
SET-04	색	프로덕션 디자인 색	color-coordinated set palette, dominant production color motif	공간 전체 색으로 정서·진영 신호 (14 CG 연계)
SET-05	시대	시대 고증 드레싱	period-accurate set dressing, era-correct props and furnishings	시대극·회고·역사 재연 정확도
SET-06	지위	지위 신호 오브젝트	status objects, oversized desk, national flag, trophies, certificates on wall	책상 크기·국기·트로피=권력 과시 (VR-19 과장)
SET-07	한국·관청	관공서 디테일	Korean government office, number ticket dispenser, Taegeuk flag, approval document tray (gyeoljaepan)	번호표·태극기·결재판=관료 공간 즉시 식별
SET-08	한국·시위	시위 현장	Korean protest scene, picket signs, tents, megaphone, candlelight, banners	피켓·천막·확성기=집회 (군중 COMP-25)
SET-09	한국·법정	법정	Korean courtroom, elevated judge's bench, witness stand, evidence table, scales	법대(높은 단)·증거물=사법 권위·심판
SET-10	한국·회견	기자회견장	press conference, cluster of microphones, backdrop banner, podium, flashing cameras	마이크 다발·배경 현수막=공식 발표·해명
SET-11	마감	벽·바닥·천장	wall/floor/ceiling finish, wood paneling vs bare concrete vs marble	마감재가 곧 계급·시대·격 (27 MT 연계)
SET-12	암시	식물·인테리어로 캐릭터	plants and interior decor implying character, withered vs thriving	시든 화분=방치 / 무성=생기 (간접 묘사)
SET-13	부재	빈 공간의 연출	staged emptiness, conspicuous absence, vacant chair, removed object	비움으로 말하기 (COMP-04·VR-17 환유)
SET-14	관료	책장·서류 더미	towering bookshelves, stacks of files and binders, archive shelving	관료성·정보 축적·체제의 무게
SET-15	대비	무대 vs 현실 잡동사니	pristine staged front vs messy real backstage, facade vs reality	겉치레↔실상 폭로 (위선 풍자 코어)
SET-16	한국·일상	서민 생활공간	Korean working-class interior, cramped flat, banchan dishes, drying laundry	반찬·빨래·좁은 방=서민 현실 (SET-06 대비)
SET-17	한국·권력	권력 집무실	executive office, leather chair, large national flag pair, dark wood desk, city view	넓은 집무실·국기 한 쌍=정점 권력
SET-18	상징	상징 소품 클로즈업	symbolic prop insert, single meaningful object isolated in frame	하나의 오브젝트로 주제 압축 (S13 인서트)
SET-19	규모	공간 규모로 권력	vast empty hall vs cramped room, scale of space as power signal	넓을수록 권력 / 좁을수록 약자 (COMP-22)
SET-20	질감 레이어	실사 디테일 레이어	lived-in texture layering, wear marks, fingerprints, dust, use-traces	'살아 있는' 공간 = 리얼리즘 (27 MT 결합)
SET-21	한국·전통	전통·고궁 세트	Korean traditional setting, hanok, palace, dancheong paint, low wooden furniture	한옥·단청·좌식=전통·격식 (시대극)
SET-22	도구	소품 손동작 상호작용	hands interacting with props, stamping, signing, counting cash, sliding envelope	손이 소품 다루는 동작=거래·증거 (영상 인서트)
NOTE	원칙	공간은 빈 무대가 아니다	ENV(장소 유형)를 정한 뒤 '어떻게 꾸미고 디테일링하는가'가 의미를 만든다 — 소품·밀도·지위신호로 말한다	ENV·17 구도·15 VR 수사학과 세트
