ID	대분류	한국어명	영문명	기준	변수 역할	사용하면 좋은 상황	GPT Image 2용 삽입 지시문	Gemini/Nano Banana 2용 삽입 지시문	추천 조합	피해야 할 조합	시각 효과	감정 효과	왜곡/실패 리스크	강도	유사어/검색어	검증 상태	분리 인덱스 필요	메모
ENV01	배경/환경	도시 야경	Urban Night Cityscape	네온·간판·젖은 노면의 도심 밤	환경 변수	도시 밤 장면, 뮤비, 긴장·익명 톤 진입부	Set the scene in a dense urban night cityscape with neon signs, lit windows, and wet reflective streets.	urban night, neon signs, wet streets, city lights bokeh	LIGHT02/LIGHT08 + S01~S03 + STYLE21	골든아워(시간대 충돌)	네온 반사 야경	활기, 익명, 긴장	색 과포화	Normal	city night, urban nightscape	리서치⚪(260613) — 미실측	아니오	씬 헤딩(실외·도심·밤)과 1:1. 구 템플릿 예시 항목의 실구현
ENV02	배경/환경	한국 도심 거리(낮)	Korean City Street Daytime	한글 간판·버스·인파의 대로변	환경 변수	시사·일상 재연, 거리 인터뷰, 보도 톤	Set the scene on a busy Korean city street in daylight with Hangul shop signs, buses, and pedestrians.	Korean city street, Hangul signage, daytime crowd, bus stop	LIGHT03/LIGHT04 + S03 + V11	유럽풍 거리 혼용(고증 충돌)	한국적 현실감	친숙, 일상	한글 간판 글자 붕괴	Normal	korean street, seoul street	리서치⚪(260613) — 미실측	아니오	화면 속 한글은 지침 §2 원문 따옴표 룰 적용(NEG03 세트)
ENV03	배경/환경	주택가 골목	Residential Back Alley	빌라·전봇대·얽힌 전선의 골목	환경 변수	서민 일상, 사건 재연, 골목 정서	Set the scene in a narrow Korean residential alley with low-rise villas, utility poles, and tangled overhead wires.	narrow Korean alley, low-rise villas, utility poles, tangled wires	LIGHT21(가로등 밤) + M09	화려한 도심 광고 톤	골목 생활감	애환, 현실	좁은 공간 = 카메라 무브 제약	Normal	back alley, residential alley	리서치⚪(260613) — 미실측	아니오	밤 씬이면 LIGHT21과 세트
ENV04	배경/환경	아파트 단지	Apartment Complex	동일 고층 동·놀이터·주차장	환경 변수	부동산·주거 이슈, 한국 보편 주거 풍경	Set the scene in a Korean high-rise apartment complex with rows of identical towers, a small playground, and parked cars.	Korean apartment complex, identical high-rise towers, playground	S02(스케일)/H04(부감) + LIGHT03	단독주택 정서	균질 주거 풍경	보편성, 익명성	동일 건물 반복 패턴 워핑	Normal	apartment complex, danji	리서치⚪(260613) — 미실측	아니오	부동산 기사 영상의 정석 배경
ENV05	배경/환경	사무실	Open-plan Office	파티션·모니터·서류의 사무 공간	환경 변수	직장 일상·노동 이슈, 회사 코미디	Set the scene in a modern open-plan office with desk partitions, glowing monitors, and scattered documents.	open-plan office, desk partitions, monitors, documents	LIGHT18 또는 LIGHT22 + S06	가정 공간 톤	직장 현실감	피로, 일상	모니터 화면 글자 붕괴	Normal	office interior, cubicle	리서치⚪(260613) — 미실측	아니오	모니터 속 내용은 묘사 생략 또는 후반 합성이 안전
ENV06	배경/환경	관공서 민원실	Government Service Office	형광등·번호표·창구	환경 변수	행정·관료 풍자, 민원 코미디	Set the scene in a Korean government service office with flat fluorescent lighting, a numbered ticket display, and service counters.	government office, service counters, number ticket display, fluorescent	LIGHT18(형광) + STYLE08	화려한 무드 조명	관료적 공기	답답함, 풍자	—	Normal	civil service office	리서치⚪(260613) — 미실측	아니오	LIGHT18(형광등)과 운명 공동체 — 관료 풍자 톤
ENV07	배경/환경	국회 회의장	Assembly Chamber	반원 좌석·연단·마이크	환경 변수	정치 풍자의 핵심 무대, 표결·연설 장면	Set the scene in a grand assembly chamber with semicircular tiered seating, a central podium, and rows of microphones.	assembly chamber, semicircular seating, central podium, microphones	H03(로우=권력) + S01 + 윤리 카메라(§8)	일상 공간 톤	권력 무대	위엄(풍자 반전용)	실제 의회 로고·명패 글자 생성 주의	Normal	parliament chamber, national assembly	리서치⚪(260613) — 미실측	아니오	윤리 카메라(권력=Low·Worm) 연계 — 지침 §8
ENV08	배경/환경	법정	Courtroom	법대·증인석·방청석	환경 변수	재판·법리 이슈 재연, 고발 톤	Set the scene in a courtroom with the judge's bench, a witness stand, and gallery seating.	courtroom, judge bench, witness stand, gallery	LIGHT19 + S06/R01(OTS 대질)	코믹 과장 조명	법정 긴장	엄숙, 대립	한국 법정 고증(법복 등)은 별도 명시 필요	Normal	courtroom trial	리서치⚪(260613) — 미실측	아니오	뉴스 B화풍(STYLE24) 결 — 고발 서사 무대
ENV09	배경/환경	뉴스 스튜디오	Broadcast News Studio	앵커 데스크·대형 스크린·조명 리그	환경 변수	풍자 앵커, 가짜 속보 포맷	Set the scene in a broadcast news studio with an anchor desk, a large backdrop screen, and a studio lighting rig.	news studio, anchor desk, large backdrop screen	V13(방송 중계) + LIGHT09 + AU-19	자연광 다큐 톤	보도 권위(패러디)	신뢰의 패러디	배경 스크린 글자·로고 붕괴 — 후반 합성	Normal	news studio set	리서치⚪(260613) — 미실측	아니오	KV-18(픽사 아바타 앵커)와 궁합. AI 표기 의무(§8) 전제
ENV10	배경/환경	기자회견장	Press Conference Hall	단상·마이크 다발·기자석	환경 변수	해명·사과 회견 풍자	Set the scene at a press conference with a podium crowded with microphones, camera flashes, and seated reporters.	press conference, microphone cluster, camera flashes, reporters	S07 + LIGHT09 + 셔터 SFX(AU-13)	한적한 공간	회견 긴장	압박, 해명	플래시 점멸 = 플리커 과장 주의(NEG04 판단)	Normal	press conference	리서치⚪(260613) — 미실측	아니오	셔터·플래시 소리는 AU-13(물리 묘사) 원칙으로
ENV11	배경/환경	재래시장	Traditional Market	좌판·천막·상인·메뉴판	환경 변수	민생·서민 경제 이슈	Set the scene in a bustling Korean traditional market with stalls, awnings, hanging produce, and vendors.	Korean traditional market, market stalls, awnings, vendors	LIGHT01/LIGHT03 + V11 + M09	무균 스튜디오 톤	생활 활기	정감, 민생	군중 = 다인물 함정(§3 — 참조 없이 배경 처리)	Normal	traditional market	리서치⚪(260613) — 미실측	아니오	정치인 시장 방문 풍자의 정석 무대
ENV12	배경/환경	편의점 심야	Late-night Convenience Store	형광 진열대·유리 전면	환경 변수	청년·노동·새벽 정서	Set the scene in a Korean convenience store at night, bright fluorescent shelves glowing through the glass storefront onto the dark street.	convenience store at night, fluorescent shelves, glass storefront glow	LIGHT18(내부)+LIGHT02(외부 대비)	대낮 야외 톤	도시의 빛 박스	쓸쓸함, 일상	진열 상품 로고 생성 주의	Normal	convenience store night	리서치⚪(260613) — 미실측	아니오	안(난색)·밖(한색) 대비 = LIGHT17 원리의 환경판
ENV13	배경/환경	지하철	Subway Car / Platform	차량 내부·스크린도어·노선도	환경 변수	출퇴근 군상, 사건 재연	Set the scene inside a subway car or on a platform with route maps, hand straps, and platform screen doors.	subway car interior, platform screen doors, route map, hand straps	LIGHT18 + V11 + S06	전원 풍경	도시 군상	피로, 익명	노선도·광고 글자 붕괴 + 군중 다인물 함정	Normal	subway metro	리서치⚪(260613) — 미실측	아니오	광고판 글자는 따옴표 원문 명시 또는 생략
ENV14	배경/환경	학교 교실	School Classroom	책상 줄·칠판·큰 창	환경 변수	교육 이슈, 회상·성장 서사	Set the scene in a Korean school classroom with rows of desks, a chalkboard, and large windows letting in daylight.	school classroom, rows of desks, chalkboard, large windows	LIGHT05(창가) + S03	야간 네온	보편 기억 공간	향수, 성장	칠판 글자 붕괴	Normal	classroom	리서치⚪(260613) — 미실측	아니오	창가 자연광(LIGHT05)이 기본 궁합
ENV15	배경/환경	병원	Hospital Corridor / Ward	복도·병상·커튼·의료기기	환경 변수	의료 이슈, 생사·간병 정서	Set the scene in a hospital corridor or ward with pale walls, curtained beds, and medical equipment.	hospital corridor, hospital ward, curtained beds, medical equipment	LIGHT03/LIGHT18 + S06	화려한 색감	무균 긴장	불안, 절실	의료기기 디테일 왜곡	Normal	hospital ward	리서치⚪(260613) — 미실측	아니오	추모·휴먼 기사 영상과 연계(STYLE14/23 결)
ENV16	배경/환경	공장·물류창고	Factory / Warehouse	컨베이어·고층 선반·지게차	환경 변수	노동·산업·자동화 이슈	Set the scene in an industrial factory or logistics warehouse with conveyor belts, tall shelving, and forklifts.	factory floor, conveyor belts, warehouse shelving, forklifts	LIGHT16(갓레이) + M19(드론)	가정 공간 톤	산업 스케일	노동의 무게	기계 구조 워핑	Normal	factory warehouse	실증 연계✅(260611 케이스4 — 로봇 노동 치환 무대 계열)	아니오	피사체 치환 패턴③(§4)과 궁합
ENV17	배경/환경	농촌 시골	Rural Countryside	논밭·비닐하우스·마을	환경 변수	농촌·고령화 이슈, 귀향 정서	Set the scene in the Korean countryside with rice paddies, greenhouses, and a small farming village.	rice paddies, greenhouses, rural Korean village	LIGHT01(골든아워) + S02	도심 네온	전원 풍광	평온, 향수	—	Normal	countryside rural	리서치⚪(260613) — 미실측	아니오	계절감(모내기·추수)을 명시하면 시점 고정 효과
ENV18	배경/환경	한강공원	Han River Park	강변 잔디·다리·돗자리	환경 변수	도시 일상·청춘, 계절감	Set the scene at a Han River park with riverside grass, a bridge in the background, and picnic mats.	Han river park, riverside grass, bridge in background, picnic	KV-12(소프트 다큐) + LIGHT01/02	실내 톤	도시 속 여백	여유, 청춘	—	Normal	han river park	리서치⚪(260613) — 미실측	아니오	KV-12(소프트 다큐 일상)와 직결
ENV19	배경/환경	숲·산	Forest / Mountain	수목·능선·등산로·안개	환경 변수	자연·환경 이슈, 고립·명상	Set the scene in a dense forest or on a mountain ridge with hiking trails and morning mist.	dense forest, mountain ridge, morning mist, trail	LIGHT16(갓레이) + LC-12(입자)	도시 소음 톤	자연 스케일	경외, 고요	수목 디테일 뭉개짐	Normal	forest mountain	리서치⚪(260613) — 미실측	아니오	안개+빛줄기 = LIGHT16의 최적 무대
ENV20	배경/환경	해안·바다	Coast / Sea	해변·방파제·수평선	환경 변수	어촌·재난·여운 엔딩	Set the scene on a coast with rolling waves, a breakwater, and the open horizon.	coastline, breakwater, open horizon, waves	S02(ELS) + O04(후면) + M05(풀백)	실내 밀폐 톤	수평선의 여백	여운, 막막함	물 물리 표현 한계(NEG08)	Normal	seaside coast	리서치⚪(260613) — 미실측	아니오	엔딩 풀백(M05)·후면 샷(O04)과 궁합
ENV21	배경/환경	격식 홀·대저택	Marble Formal Hall	대리석 바닥·샹들리에·기둥	환경 변수	권력·부 풍자, 리빌 무대	Set the scene in a formal hall with marble floors, chandeliers, and stately columns.	formal hall, marble floor, chandelier, stately columns	LIGHT19(차가운 간접) + S10→S05 리빌	서민 공간 정서	권력 공간감	위압, 격식	—	Normal	marble hall mansion	실증✅(260611 케이스1 — 대리석 바닥 격식 홀)	아니오	케이스1 리빌 무대 그대로 — 검증된 환경 워딩
