ID	팁 제목	분류	핵심 내용(프롬프트/기법 — 바로 쓸 수 있게)	출처(플랫폼·크리에이터 유형)	적용(모델별)	비고
CTV-01	카메라는 샷당 무브 하나만	카메라 노하우	한 클립에 카메라 동작 1개만. "tracking shot following from the side" 처럼 명명+위치만. "good camera work" 류 모호어는 정적·랜덤 앵글을 부른다. 여러 무브 choreograph 금지	veed.io·magichour 크리에이터 가이드	전 모델(특히 Kling)	06 무브 카탈로그의 현장 운영칙 — 무브 자체가 아니라 "샷당 1개" 규율이 포인트
CTV-02	무브에 종착 상태를 박아라	카메라 노하우	열린 동작은 무한 처리(99% 행)·드리프트를 부른다. "hair moves in wind"✕ → "hair gently moves in breeze, then settles back into place"○. 종결구: "then settles into position"·"returning to stillness"·"coming to rest"·"motion gradually slowing to stop"	veed.io 실전 가이드	전 모델	06 M40(따라가다 멈춤)의 일반 원리 — 모든 무브에 끝점 명시
CTV-03	I2V는 "이미 보이는 것"을 다시 쓰지 마라	이미지→영상	첫 프레임 이미지가 있으면 장면 재서술 금지, 움직임만 기술. "subject blinks naturally and forms a slight smile, hair moves gently, background remains static" 식. I2V=15~40단어(모션만), T2V=40~100단어(전체 장면)	veed.io·magichour	Kling·Veo·Runway(i2v 전반)	/k 레퍼런스→영상 흐름과 직결(PE-30). 재서술 시 정체성 흔들림
CTV-04	정체성은 같은 레퍼+같은 문장 verbatim	일관성	캐릭터 일관성: 매 생성 동일 레퍼런스 이미지+동일 묘사문 그대로. "young woman with brown hair" 와 "female explorer with brown hair" 는 다른 결과. 레퍼는 중립 조명·깔끔 배경·중립 표정으로 고름	magichour Kling 가이드·Runway help	Kling·Runway Gen-4·Hailuo Subject	PE-12 위계의 현장판 — 문구를 "바꿔 쓰면" 드리프트
CTV-05	샷 간 조명·카메라 거리 유지	일관성	샷 바뀔 때 조명 조건·카메라 거리를 비슷하게 유지해야 얼굴 렌더가 안 튄다. 와이드→클로즈업 급전환은 얼굴 변형을 증폭. 화풍 키워드("cinematic lighting" 등)도 매 프롬프트 반복	magichour 멀티샷 가이드	Kling·전 모델	PE-18 시간일관성의 실무 디테일 — "거리·조명을 갑자기 바꾸지 마"
CTV-06	빠른 동작은 슬로모로 우회	실패 회피	모델은 속도에 약하다. "rapid hand movements"✕ → "deliberate hand movements" 또는 슬로모로. "slow motion at ground level following alongside" 식이 고속보다 안정. 정 필요하면 여러 생성으로 분할	veed.io·Kling 커뮤니티	전 모델	06 M22(슬로모)를 "고속 실패 대안"으로 활용 — 미해결§ 완화책
CTV-07	행동은 "한 클립에 하나"	실패 회피	2.5 Turbo·1.6 류는 복합 다단계 행동에서 실패. 한 생성=한 주체의 한 동작. 다단계가 꼭 필요하면 "First… then… finally" 구조 또는 클립 분할. O1 계열은 멀티스텝 내성↑	veed.io·magichour	Kling 버전별 차이	PE-13 샷분해의 현장 버전 — 모델 버전마다 내성 다름 메모
CTV-08	모션 강도는 부사로 박는다	모션 제어	"walking"✕ → "walking purposefully" / "running energetically" / "slowly rotating" / "pacing steadily". 속도·강도 부사를 안 주면 모델이 멋대로 추측. 큰 모션 1개/샷 — 그래야 떨림·프레임 점프 방지	veed.io·goenhance 비교	전 모델	PE-17 모션강도의 워딩 레시피
CTV-09	Kling은 3줄 압축 프롬프트	모델별 차이	Kling: Line1=장면+조명 / Line2=주체+고정 정체성 디테일 / Line3=카메라무브+행동. 컴팩트·구조적이 길고 산만한 것보다 안정. 카메라 지시는 앞쪽에 둬 우선순위 부여	goenhance·veo3ai 비교 가이드	Kling 3.0	Veo와 대비되는 Kling 전용 포맷 — 라이브러리 영문테일 조립과 호환
CTV-10	Veo는 문자 그대로·시네마 용어 신뢰	모델별 차이	Veo는 프롬프트를 리터럴하게 해석 — 쓴 대로 나온다. "Dutch angle handheld shot"·"slow dolly push-in"·"bird's eye drone descent" 같은 촬영 용어가 신뢰성 있게 먹힘. 단 네거티브 프롬프트는 Gemini UI에 노출 안 됨	goenhance·veo3ai·invideo	Veo 3/3.1	Kling(창의적 일탈) vs Veo(충실) 라우팅 판단 근거(PE-35)
CTV-11	Kling은 창의적 일탈 — 모션 가두기	모델별 차이	Kling 3은 더 창의적이라 가끔 프롬프트보다 흥미롭게, 동시에 예상 밖 일탈도 잦다. 안 가두면 카메라 드리프트·얼굴 미세 변화를 멋대로 추가 → 네거티브로 명시 차단+모션 제한	goenhance·veo3ai·artlist	Kling 3.0	네거티브 네이티브 지원 활용(CTV-12)
