ID	한국어명	비율	영문명/용도	서사적 효과	Gemini 비율 키워드	Kling/영상 노트	추천 조합	리스크	비고
AR-01	세로 풀프레임	9:16	Vertical / 쇼츠·릴스 네이티브	몰입·인물 전신·모바일 점유	vertical 9:16 portrait, full-frame mobile composition	Kling 네이티브 지원 — 쇼츠 정본. 인물 세로 동선 최적	V14(세로 직캠)·AU-15(0~2초 훅)	좌우 정보 손실 — 군중·풍경 압축됨	쇼츠/릴스 기본값. 핵심은 상·중단에
AR-02	포트레이트	4:5	Portrait / /news 카드·피드	피드 점유 큼·인물 친밀	vertical 4:5 portrait framing	정지 카드 정본(나노바나나). 영상화 시 9:16로 확장	COMP-18·19·STYLE23/24	하단 ~40% 텍스트 오버레이 가림 → 핵심은 상단	⚠️ /news 카드 = 핵심 피사체·얼굴 상단 60%에 배치
AR-03	정방형	1:1	Square / 범용 피드	중립·균형·아이콘적	square 1:1 composition, centered	멀티 플랫폼 안전판. 중앙 정렬 강제	COMP-14(대칭)·COMP-21	역동성 낮음 — 평면적	프로필·썸네일 호환. 풍자 인포그래픽 적합
AR-04	와이드스크린	16:9	Widescreen / TV·유튜브 가로	방송·공식·뉴스룸 톤	cinematic 16:9 widescreen	Kling 가로 기본. 가짜 뉴스룸/중계 최적	ENV09(뉴스룸)·V13(중계)·AU-19	세로 플랫폼서 레터박스 작아짐	가짜 속보·앵커 데스크 정본 비율
AR-05	아나모픽 스코프	2.39:1	Anamorphic Scope / 시네마 와이드	서사적 장대함·영화적 권위	ultra-wide 2.39:1 anamorphic scope, letterboxed	가로 클립 후 상하 크롭(후반) 또는 와이드 연출	L17(아나모픽 렌즈)·FX-08(렌즈 플레어)	모델 직접 2.39 미지원 多 → 16:9 후 크롭	렌즈 플레어와 페어 = 진짜 시네마룩
AR-06	울트라 파나비전	2.76:1	Ultra Panavision 70 / 초광폭 서사	압도적 수평·서사시·과장	extreme ultra-wide 2.76:1 panoramic frame	네이티브 불가 — 후반 크롭 전제	COMP-22(규모 병치)·M19(부감)	극단 크롭 = 정보 손실 큼	희소·과장 풍자(서사시 패러디)용
AR-07	아카데미/레트로	4:3	Academy / 4:3 retro·아카이브	과거·복고·아날로그 TV	4:3 academy ratio, retro television look	레트로 클립. CRT 룩과 결합	STYLE07(70년대)·FX-22(필름 번)	현대 톤과 충돌	옛날 뉴스·홈비디오·회고 풍자
AR-08	플랫 와이드	1.85:1	Flat / 표준 극장 와이드	표준 영화 톤(스코프보다 절제)	cinematic 1.85:1 flat widescreen	16:9에 가까워 안정. 미세 레터박스	일반 시네마틱 씬	16:9와 차이 미미 — 모델 구분 약함	스코프가 과할 때의 절제된 영화룩
AR-09	울트라와이드	21:9	Ultrawide / 모니터·시네마틱 배너	파노라마·기술적·미래적	21:9 ultrawide panoramic composition	후반 크롭. 가로 배너·인트로용	ENV(도심 스카이라인)·M02(팬)	세로 정보 극소	도심·군중·스카이라인 훑기
AR-10	아이맥스	1.43:1	IMAX / 초대형 몰입	거대·압도·세로 여유	tall IMAX 1.43:1 frame, towering composition	네이티브 불가 — 연출 의도로만 활용	COMP-27(낮은 지평선)·COMP-08	모델 미지원 — 근사치만	세로 여유로 거대 건축·인물 압도
AR-11	사진 비율	2:3	Photo / 35mm 스틸	사진적·저널리즘·스틸 느낌	classic 2:3 photographic still framing	정지 스틸용. 포토저널리즘 톤	STYLE(다큐·포토)·L19(조리개)	영상 클립엔 부적합	보도사진 패러디·스틸 강조
AR-12	프레임 속 레터박스	기법	Letterbox-within-frame / 화면 속 화면	극중극·인용·메타	black letterbox bars within the frame, footage-inside-footage	후반 합성. 화면 속 영상 인용	FX-21(프로젝션)·V12(CCTV)	모델이 자동 생성 어려움 → 후반	'이 영상은' 메타 풍자·인용 자막
