ID	분류	한국어명	영문명	신체/동작 단서	Gemini 키워드	GPT/영상 산문	효과	비고
GST-01	악수	악수(대등)	Handshake (Equal)	두 손이 같은 높이 수직으로 맞물려 두세 번 위아래로 흔듦	two hands clasped at equal height, palms vertical, shaking firmly two or three times	Two hands meet level and vertical, a firm even shake — neither above the other	대등·합의·공식	손 왜곡 리스크: NEG01 병기 권고
GST-02	악수	악수(과시·기싸움)	Power Handshake (Pull/Top)	한 손이 위로 덮어 손등이 보이거나 상대를 자기 쪽으로 홱 끌어당김	one hand turned palm-down on top, or yanking the other person off balance toward himself	한 손이 위에서 덮거나 상대를 제 쪽으로 홱 끌어당김 — 기선제압	지배·과시·길들이기	정치 기싸움 풍자. NEG01 병기. EM-23 첨탑과 권력축
GST-03	악수	악수(억지·뻣뻣)	Reluctant Handshake	손끝만 살짝 닿고 몸은 뒤로 물러나며 시선은 딴 데	fingertips barely touching, body leaning away, eyes averted elsewhere	손끝만 겨우 닿고 몸은 뒤로, 시선은 딴 데 — 마지못해	불화·형식·냉기	2인 대치 풍자. EM-13 회피시선·EM-22 팔짱과 세트. NEG01
GST-04	포옹	포옹(진심)	Genuine Embrace	두 팔 깊게 두르고 등에 손바닥 밀착·눈 감김·어깨 이완	arms wrapped fully, palms pressed flat on the back, eyes closed, shoulders relaxed	두 팔 깊이 두르고 손바닥이 등에 밀착, 눈 감고 어깨 풀림	유대·위로·진정성	GST-05 정치포옹과 대조 한 쌍
GST-05	포옹	포옹(정치적·연출)	Political / A-frame Hug	상체만 살짝 기울여 어깨끝만 닿고 골반은 떨어진 채 카메라 의식	upper bodies tip in, shoulders touching but hips apart, an A-frame hug aimed at the cameras	어깨끝만 닿고 골반은 떨어진 A자 포옹, 카메라 의식	위선·연출·거리감	GST-04와 대조. 정치 쇼 풍자. EM-30 근접학
GST-06	박수	박수(진짜 환호)	Applause (Enthusiastic)	두 손바닥 빠르고 크게 부딪힘·팔 들림·상체 들썩·표정 환함	hands clapping fast and wide, arms raised, body bouncing, beaming face	손바닥 크고 빠르게 부딪히며 팔 들리고 상체 들썩 — 환호	열광·지지·축하	GST-23 비웃는 박수와 대조
GST-07	박수	박수(의례·건성)	Polite / Token Clapping	손끝만 느리게 가볍게 부딪힘·팔 안 들림·무표정	slow light clapping with just the fingertips, arms low, a blank face	손끝만 느릿 가볍게, 팔은 내린 채 무표정 — 건성 박수	형식·무관심·냉담	EM-02 사회적 미소와 세트. 의례 풍자
GST-08	손가락질	손가락질(비난)	Accusatory Point	검지를 상대·카메라로 쭉 뻗어 찌르듯·팔 펴짐·미간 조임	index finger stabbing forward at the target, arm extended, brows knit	검지를 상대·카메라로 쭉 찌르며 팔 뻗고 미간 조임	비난·책임전가·공격	EM-21 삿대질과 동계열 강화. 손 왜곡 NEG01 병기
GST-09	손가락질	가리키며 설명	Pointing to Explain	검지·손 전체로 자료·차트·방향을 짚으며 시선도 그쪽	an open hand or finger directing to a chart or document, gaze following the gesture	손이나 검지로 자료·방향을 짚고 시선도 그쪽으로	설명·제시·유도	GST-08(비난)과 톤 구분. 브리핑 풍자. NEG01
GST-10	주먹	주먹 쥐기(결의)	Clenched Fist (Resolve)	손가락 말아 단단한 주먹·팔 옆에 붙이거나 가슴 앞·관절 긴장	a tightly clenched fist held at the side or chest, knuckles taut	손가락 단단히 말아 옆이나 가슴 앞에 — 관절 긴장	결의·분노 억제·투지	EM-17 턱악물기와 세트. NEG01 병기
