ID	분류	항목	적용/효과
VR-01	설득 목적	Ethos(신뢰)	다큐/포토저널 톤·사실적 조명·출처감 (B 극화 다큐 결)
VR-02	설득 목적	Pathos(감정)	표정 클로즈업(S08/S10)·무드 조명(LGT03/05)·고립 구도 (A 수채화 결)
VR-03	설득 목적	Logos(논리)	비교·대비·도식 구도·깊은 심도(L13/deep focus)
VR-04	게슈탈트	근접(proximity)	가까이 두면 한 묶음으로 읽힘 = 집착·무리
VR-05	게슈탈트	closure	부분만 보여주면 뇌가 나머지를 채움 = 기괴함 엔진
VR-06	게슈탈트	figure-ground	배경에서 분리 = 고립·주목
VR-07	구성선	수평선	안정
VR-08	구성선	대각선	긴장
VR-09	구성선	중앙	통제
VR-10	구성선	삼분할	자연스러운 흐름
VR-11	시각무게	4요소	Size + Focus + Lighting + Color 로 시선 우선순위 설계
VR-12	게슈탈트	유사성(similarity)	닮은 형·색끼리 한 무리로 읽힘 = 진영·분류·편가르기 시각화
VR-13	게슈탈트	연속성(continuity)	선·흐름을 따라 시선이 이어짐 = 유도선(COMP-07)의 인지 근거
VR-14	게슈탈트	공통운명(common fate)	같이 움직이는 것은 한 집단 — 영상에서 군중·흐름의 결속 표현
VR-15	설득 목적	카이로스(kairos)	결정적 순간·시의성의 이미지 — 지금 이 타이밍이어야 하는 한 컷
VR-16	수사 비유	시각 은유(metaphor)	A를 B로 보이게(권력자=꼭두각시·기업=문어) — 풍자 치환의 핵심 장치
VR-17	수사 비유	환유·제유(metonymy/synecdoche)	부분·연관물로 전체 대신(빈 의자=부재·왕관=권력·서류=관료) — COMP-04 정합
VR-18	수사 비유	시각 반어(irony/antithesis)	말↔이미지, 기대↔현실을 병치해 모순 폭로 — 교차편집(TR-20)과 세트
VR-19	수사 비유	시각 과장(hyperbole)	규모·표정·비례를 증폭(STYLE25 3등신·COMP-22 규모병치)해 논점 강조
VR-20	기호학	도상·지표·상징(Peirce icon/index/symbol)	도상=닮음·지표=인과흔적(연기→불)·상징=관습(비둘기=평화) 구분해 설계
VR-21	기호학	함축(Barthes denotation/connotation)	1차 의미(무엇이 보이나)와 문화적 함축(무엇을 뜻하나)을 분리해 의도 통제
VR-22	기호학	정박(anchorage)	글자·캡션이 이미지의 다의성을 한 의미로 고정 — 하단 40% 자막의 수사적 역할
VR-23	시선이론	시선 벡터(gaze vector)	인물의 시선·손짓이 독자 시선을 특정 지점으로 끎(Kress&van Leeuwen)
VR-24	시선이론	요구 vs 제공(demand/offer)	카메라 직시=독자에 요구·관계(EM-12) / 비응시=관찰 대상으로 제공(EM-13)
VR-25	시선이론	정보가치 배치	좌=기지·우=신정보 / 상=이상·하=현실 (Kress&van Leeuwen 읽기 문법) — 좌우분할(COMP-01) 의미층
VR-26	시각무게	살리언스(salience)	크기·초점·색·대비로 중요도 신호 — 시선 우선순위(VR-11)의 인지 기전
VR-27	구성	프레이밍(연결/분리)	요소를 잇거나(한 묶음) 경계선으로 가름(대립) — 좌우분할·둘러싸임의 의미 제어
VR-28	앵글 수사	시점=태도	로우앵글(H03)=권력·우러름 / 하이앵글(H02)=약자·내려봄 — 카메라가 곧 입장
VR-29	색 수사	색=주장	색은 장식이 아니라 논증(14 CE 매핑) — 범죄에 난색 금지 등 색의 윤리
VR-30	수사 구조	시각 애너포라(반복)	같은 구도·요소의 리듬 반복(COMP-25)으로 강조·각인 — 시리즈 정체성
NOTE	원칙	목적 먼저	이미지는 예쁜 그림이 아니라 '설득하는 행위자' — 카드가 뭘 노리는지 먼저 정한다
