ID	대분류	한국어명	영문명	기준	변수 역할	사용하면 좋은 상황	GPT Image 2용 삽입 지시문	Gemini용 삽입 지시문	추천 조합	피해야 할 조합	시각 효과	감정 효과	왜곡/실패 리스크	강도	유사어/검색어	Gemini_NanoBanana2_예시장면_참고용	Gemini_NanoBanana2_ChatGPT지시문	Gemini_NanoBanana2_Gemini키워드	Gemini_NanoBanana2_효과	Gemini_NanoBanana2_리스크	Gemini_NanoBanana2_유사어	Gemini_비교판정	Gemini_분리인덱스필요	Gemini_메모
R01	관계/시점	오버더숄더	Over-the-Shoulder / OTS	어깨 너머 상대를 봄	관계/대화 방향 변수	대화, 갈등, 인터뷰, 관계성 있는 장면, 시선 교환	Use an over-the-shoulder shot, placing one character’s shoulder in the foreground while focusing on the other character.	over-the-shoulder shot, shoulder foreground, focus on other character, conversation	medium close-up, 50mm lens, dialogue scene, shallow depth	single-subject product shot, clean symmetrical portrait	앞·뒤 인물의 관계가 생김	대화감, 긴장, 관계성	어깨가 너무 크면 답답함	Normal	OTS shot, shoulder foreground, dialogue shot	A tense emotional confrontation between a gritty detective and a quiet suspect inside a dark, smoky interrogation room.	Use an over-the-shoulder shot, placing one character’s shoulder in the foreground while focusing on the other character.	over-the-shoulder shot, OTS, one character's shoulder blurred in the foreground, focusing sharply on the person opposite	관계성, 대화 방향, 긴장감	어깨가 너무 크면 답답함	OTS shot, shoulder foreground	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
R02	관계/시점	주관 시점	POV Shot	인물의 눈으로 보는 화면	시점/1인칭 몰입 변수	공포, 액션, 게임풍, 몰입형 장면, 체험형 광고	Show the scene from the character’s point of view, creating an immersive first-person perspective.	POV shot, first-person perspective, immersive view, subject’s eyes	wide lens, handheld feel, action scene, hands in frame	objective group scene, formal product catalog	시청자가 장면 안에 들어간 듯함	몰입, 긴장, 체험감	누구의 시점인지 불명확할 수 있음	Strong	first-person view, subjective camera, POV perspective	Sneaking cautiously through a spooky, abandoned haunted house with a single flashlight beam illuminating a dusty, antique grandfather clock ahead.	Show the scene from the character’s point of view, creating an immersive first-person perspective.	first-person POV shot, point-of-view, immersive subjective camera from the character's eyes	몰입감, 체험감, 긴장감	누구의 시점인지 불명확할 수 있음	first-person view, subjective camera	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
R03	관계/시점	투샷	Two-Shot	두 인물을 한 프레임에	관계/두 인물 균형 변수	로맨스, 논쟁, 버디물, 관계의 거리와 감정 온도 표현	Use a two-shot with both characters in the same frame, showing their relationship, distance, and emotional dynamic.	two-shot, two characters in frame, relationship distance, emotional dynamic	medium shot, wide shot, eye-level, OTS variation	single hero portrait, product-only detail shot	두 인물의 거리와 균형이 드러남	관계성, 긴장, 친밀도	한쪽 인물이 묻히거나 중심이 흐려질 수 있음	Normal	two person shot, paired composition, duo shot	A romantic young couple sharing a tender, quiet moment right under a blooming cherry blossom tree in a sun-drenched public park.	Use a two-shot with both characters in the same frame, showing their relationship, distance, and emotional dynamic.	two-shot, two person shot, both characters in the same frame, showing physical distance and dynamic	관계, 긴장, 친밀도 표현	한쪽 인물이 묻힐 수 있음	two person shot, paired composition	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
R04	관계/시점	그룹샷	Group Shot / Ensemble Shot	3명 이상을 한 프레임에	관계/집단 구성 변수	팀 소개, 가족, 회의, 군중, 권력 구도, 앙상블 장면	Use a group shot with multiple subjects arranged clearly in the frame, showing hierarchy, relationship, and collective mood.	group shot, multiple subjects, clear arrangement, hierarchy, collective mood	wide shot, full shot, eye-level, layered composition	single emotional close-up, minimal isolated subject	집단의 배열과 서열이 보임	소속감, 권력 구조, 분위기	시선 분산, 중심 피사체 약화	Normal	ensemble shot, group composition, team shot	A joyful multi-generational family gathering around a large rustic dining table for a festive holiday dinner, laughing together in harmony.	Use a group shot with multiple subjects arranged clearly in the frame, showing hierarchy, relationship, and collective mood.	group shot, ensemble shot, multiple subjects clearly arranged in the frame, showing hierarchy and collective mood	집단성, 서열, 분위기	시선 분산, 중심 피사체 약화	ensemble shot, group composition	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
R05	관계/시점	더티 OTS	Dirty Over-the-Shoulder	전경 인물 어깨·머리가 프레임에 크게 걸침	관계/대화 밀착 변수	대화의 물리적 동석감 — 전경 인물 존재가 또렷이 걸린 OTS	Use a dirty over-the-shoulder shot: the foreground person's shoulder and head clearly intrude into the frame while focus stays on the other.	dirty over-the-shoulder, foreground shoulder and head intruding, focus on opposite person	미디엄CU + 50mm + 대화	단일 클린 초상	전경 인물 크게 걸림	동석감, 긴장, 관계	어깨 과대 시 답답	Normal	dirty OTS, dirty single, shoulder intrusion	—	—	—	—	—	—	—	아니오	리서치 추가(260613): R01(OTS)의 '더티' 분기 — 풍자 대면 취조·인터뷰 밀착감. 무변경
R06	관계/시점	클린 OTS / 클린 싱글	Clean Over-the-Shoulder	상대 인물만 깔끔히, 전경 어깨 거의 없음	관계/대화 분리 변수	OTS 시퀀스의 짝 — 한 인물을 깨끗이, 관계는 암시만	Use a clean single (clean OTS): only the opposite subject is framed cleanly, with the foreground shoulder removed or minimal, relationship implied.	clean single, clean over-the-shoulder, only opposite subject framed, minimal foreground	미디엄CU + 리버스 페어	전경 어깨 크게 필요 씬	상대만 깔끔히	집중, 분리, 명료	관계 맥락 약화	Normal	clean single, clean OTS, isolated single	—	—	—	—	—	—	—	아니오	리서치 추가(260613): R05(더티 OTS)의 짝 — 대화 시퀀스 리듬용. 무변경
R07	관계/시점	거울·반사 투샷	Mirror / Reflection Two-Shot	거울·유리 반사로 두 시점 한 프레임	관계/이중 자아 변수	자기 직면, 위선 폭로(겉과 속), 두 면을 한 컷에	Compose a mirror two-shot: the subject and their reflection (or two people via a mirror) share one frame, doubling the subject's two faces.	mirror reflection two-shot, subject and reflection in one frame, doubled self	거울·유리 공간 + 미디엄	반사 없는 단일 씬	실물+반사 병치	이중성, 위선 폭로, 자기 직면	반사 기하 어색 가능	Strong	mirror shot, reflection two-shot, doubling	—	—	—	—	—	—	—	아니오	리서치 추가(260613): 풍자 '겉과 속이 다른 인물'(말↔거울 속 본심) 폭로에 강함. 무변경
R08	관계/시점	아이라인 매치 페어	Eyeline-Match Pair	두 컷의 시선이 맞물리도록 설계	관계/시선 연결 변수	A가 보는 곳을 B 컷으로 — 두 샷의 시선 방향을 일치시킴	Design an eyeline-match pair: frame the subject looking off in a specific direction so it cuts cleanly to what or whom they see.	eyeline match, subject looking off-frame toward implied target, matched gaze direction	멀티샷 + 리버스 + 반응	무관한 시선 방향 씬	두 컷 시선 연결	연결성, 인과, 시선 유도	축선·방향 어긋남 위험	Normal	eyeline match, matched gaze, look direction pair	—	—	—	—	—	—	—	아니오	리서치 추가(260613·연속성 편집 기본): 풍자 '보는 자↔보이는 대상' 인과 병치. 무변경
R09	관계/시점	전경 프레이밍 관계	Foreground Framing Relationship	전경 사물·인체로 피사체를 감싸 틀 짓기	관계/은닉 관찰 변수	창틀·군중·소품 사이로 본 듯 — 관찰·감시·은밀함의 관계성	Frame the subject through a foreground element (a crowd, a doorway, objects, hands), creating a sense of watching, hiding, or eavesdropping.	foreground framing, subject seen through foreground elements, voyeuristic framing layer	와이드·얕은 심도 + 군중	깔끔한 정면 포스터	전경 틀로 감쌈	관찰, 은밀, 깊이감	전경 과다 시 가림	Normal	foreground frame, frame within frame, layered foreground	—	—	—	—	—	—	—	아니오	리서치 추가(260613): 풍자 '감시·몰래 지켜봄'(취재·도청) 관계 구도에 강함. 무변경
R10	관계/시점	반응 리버스 페어 (이미지)	Reaction / Reverse Pair (Image)	대화 한 쌍의 반대편 반응을 정지 컷으로	관계/반응 병치 변수	말하는 자↔듣는 자의 표정 대비를 두 정지 이미지 세트로	Create a reverse pair: one frame of the speaker and a matching reverse frame of the listener's reaction, contrasting their expressions.	reverse pair, speaker frame and listener reaction frame, contrasting expressions	미디엄CU 페어 + OTS	단일 독립 초상	발화↔반응 대비	대비, 인과, 아이러니	두 컷 일관성 흔들림	Normal	reverse pair, shot-reverse-shot still, reaction pair	—	—	—	—	—	—	—	아니오	리서치 추가(260613): 영상 V12(리버스)의 이미지(정지 세트)판 — 풍자 '발언↔반응' 대비. 무변경
