ID	퓨전명	섞는 요소(양식/거장 A × B + 대략 비율)	결과 룩(새로 생기는 것)	Gemini 키워드(혼합 프롬프트)	추천 용도(풍자)	리스크/IP	비고
FUS-01	네오 우키요에 네온	우키요에 목판화(STYLE20) 65% × 사이버펑크 네온(STYLE21) 35%	평면 목판 윤곽·물결 패턴은 유지하되 네온 발광·홀로그램 간판·젖은 반사가 색면을 대체 — 전통 판화가 디스토피아 도시로 이주한 '플로팅 월드 2.0'. 셰이딩 없는 고대비 색면	mostly a ukiyo-e woodblock print (flat bold outlines, traditional wave patterns), with a subtle cyberpunk neon accent — holographic signage glow and wet neon reflections bleeding into the flat color fields, no soft shading, high contrast	기술·플랫폼 자본·디지털 감시 풍자 — 전통 권위가 네온 미래에 박제된 아이러니	네온 30~40% 넘기면 우키요에 평면감 소실(PE-28). 특정 작가 판화 구도(가나가와 파도 등) 직접 복제 회피 — 양식·기법만	검증: 네오 우키요에 사이버펑크는 실재 무브먼트(MTG 카미가와·Ghost in the Shell 시리즈). 영상=시작프레임 경유 i2v(비고). 이미지 우선
FUS-02	렘브란트 웹툰 극화	렘브란트 키아로스쿠로 조명(LIGHT10) 60% × 노뮤트-B 한국웹툰 극화(NST-B) 40%	깔끔한 웹툰 펜선·셀 채색 위에 단일 광원의 황금빛 삼각 하이라이트와 깊은 명부가 얹혀 — 만화 작화에 고전 회화의 무게가 실린 '격조 있는 극화'. 평면 셀에 입체 명암 충돌이 드라마 생성	mostly Korean webtoon gekiga illustration (sharp varied-weight ink outlines, cel-shaded color), lit with a subtle Rembrandt chiaroscuro accent — single warm key light, golden triangle highlight on the cheek, deep falloff into shadow	권력·법리·구조 고발 — 만화의 접근성 + 거장 조명의 묵직한 권위	조명 비중 과하면 셀 채색이 사진처럼 떡짐(PE-27). LIGHT10은 조명 코드라 화풍 충돌 낮음 — 안정 페어	NST-B 정본(13)과 직결. 노뮤트 B화풍 격상판. 영상·이미지 공용(조명은 Kling 전이 양호)
FUS-03	수묵 글리치	수묵화(STYLE19) 65% × 디지털 글리치(KV-15 결) 35%	먹 농담·여백·번짐의 유려함이 데이터모싱·스캔라인 찢김으로 끊겨 — 전통의 고요가 디지털 오류로 붕괴하는 '깨진 명상'. 붓획이 픽셀 블록으로 흩어지는 경계	mostly East Asian ink wash painting (bold brush strokes, vast negative space, graduated ink tones), with a subtle digital glitch accent — datamosh tearing and pixel-block displacement fracturing the wet brush edges	디지털 시대의 전통 붕괴·여론 조작·정보 왜곡 풍자 — 고요한 권위에 균열	글리치 과하면 수묵 형태 완전 소실. 글자·얼굴 식별 약화(의도적 활용 가능)	검증: 수묵×디지털은 실재 융합 방향(전통/기술 긴장). KV-15 글리치와 짝. 영상=모핑 본체 친화
FUS-04	바로크 바포웨이브	바로크 명암(테네브리즘) 60% × 바포웨이브·신스웨이브(STYLE49) 40%	극적 단일광 석고 흉상·드레이퍼리에 마젠타-시안 그라데이션·네온 그리드·크롬이 침투 — 고전 조각의 장엄이 80s 소비미학으로 박제된 '대리석 멜랑콜리'. 명암 대비 + 파스텔 네온 충돌	mostly Baroque tenebrism (dramatic single-source light on a classical plaster bust, deep dark background, sculptural drapery), with a subtle vaporwave accent — magenta-cyan gradient haze, faint neon grid, chrome highlights	자본·과잉·향수 산업 풍자 — 고전 권위가 키치한 디지털 노스탤지어로 소비되는 아이러니	네온 비중 과하면 바로크 깊이 소실. 특정 작가 흉상 IP는 일반 석고상으로 우회	검증: 바포웨이브 클래식 흉상은 정착 미학(대리석+네온 대비). 사이버펑크(FUS-01)와 구분: 80s 파스텔·소비 아이러니. 이미지 우선
FUS-05	민화 팝아트	한국 민화 까치호랑이(STYLE64) 65% × 스크린프린트 팝아트(STYLE34) 35%	민화의 평면 길상·골계 호랑이에 실크스크린 평면 색면·하프톤·강한 보색·약간의 레지스트레이션 어긋남이 — 전통 해학이 대담한 포스터 팝으로 증폭된 '길상 팝'. 오방색 + 형광 보색	mostly Korean minhwa folk painting (bold ink outlines, flat mineral colors, comical tiger, naive lively forms), with a subtle pop-art screen-print accent — halftone overlay, posterized bold complementary colors, slight ink registration offset	권위 희화화·대중 정서 — 한국 고유 해학(우스꽝 호랑이) + 팝의 대담한 친근함	워홀류 고유 배색·반복 그리드 IP 회피 — 일반 실크스크린 기법만(STYLE34 룰). 보색 과하면 민화 광물색 변질	한국 풍자 고유 가치. 민화(검증: 호랑이=골계)×팝 둘 다 평면이라 시너지 높음. 이미지 우선
FUS-06	필름누아르 수채	흑백 필름 누아르(STYLE06) 60% × 수채화(STYLE17) 40%	누아르의 하드 그림자·블라인드 줄무늬가 수채의 번짐·종이 질감으로 풀려 — 단단한 범죄극이 물에 젖어 스며드는 '젖은 누아르'. 고대비 흑백 골격 + 수채 번짐 명부. 단색조에 가까운 절제	mostly black-and-white film noir (hard shadows, venetian-blind stripes, high contrast), rendered with a subtle watercolor accent — bleeding ink-wash edges, paper texture, soft graded shadows instead of crisp blacks	범죄·운명·몰락 정서 풍자 — 누아르의 음모 + 수채의 비애·덧없음	수채 비중 과하면 누아르 긴장·대비 소실. 거의 모노톤 유지가 핵심(컬러 번지면 무드 붕괴)	STYLE06·17 둘 다 검증 화풍. 그래픽노블 잉크워시(STYLE54)와 구분: 펜선X·수채 번짐O. 이미지 우선
FUS-07	사회주의리얼리즘 3등신	사회주의 리얼리즘 선동화(STYLE36 결) 60% × 3등신 데포르메(STYLE25) 40%	영웅적 로우앵글·삼색 선전 구성·대각 슬로건 블록은 유지하되 인물이 3등신 큰머리·과장 표정으로 — 우상화 선전이 귀여운 장난감으로 바람 빠지는 '디플레이트된 영웅'. 비장미 + 골계	mostly constructivist propaganda poster composition (bold diagonals, red-black-cream palette, heroic low-angle, geometric slogan blocks), but the figure has chibi proportions — oversized head, stubby limbs, exaggerated cute expression	정치인 우상화·권위주의 풍자 — 선전의 비장함을 3등신으로 깎아내리는 거리두기	실존 정권·정당 엠블럼 직접 복제 금지(IP·오인, STYLE36 룰). AI 표기(§8) 권장. 비례 60% 넘으면 선전 양식 소실	검증: 선동 화풍(영웅 이상화)×치비(과장 골계)=강한 풍자 대비. STYLE25 비례 정본. AskUser 분기 불필요(자동). 이미지 우선
FUS-08	르네상스 프레스코 인포그래픽	르네상스 프레스코 회화 60% × 플랫 인포그래픽 모션(STYLE28) 40%	프레스코의 회벽 질감·고전 인물 구성·자연스러운 명암에 벡터 화살표·아이콘·도식 라벨·솔리드 색면이 오버레이 — 고전 벽화가 '시사 설명도'로 기능하는 '성스러운 다이어그램'. 회화 + 도식 충돌	mostly a Renaissance fresco (aged plaster texture, classical figural composition, soft modeling), with a subtle flat-infographic accent — clean vector arrows, schematic icons, solid-color annotation blocks overlaid on the painted scene	정책·구조·역사적 사건 해설 풍자 — 고전의 권위로 시사 도식을 '경전화'	라벨 글자는 짧은 한글 따옴표+후반 자막 권장(PE-32). 특정 작품(천지창조 등) 구도 직접 복제 회피	검증: 프레스코는 본래 '설명·서사' 매체 — 인포그래픽과 기능 친연. 이미지 우선(글자=comp 합성 위임)
FUS-09	점묘 열화상	점묘 신인상주의(STYLE56) 60% × 적외선 위색(STYLE45) 40%	순색 점 광학혼합 위에 마젠타-핑크 위색·기묘한 캔디톤 하늘이 얹혀 — 과학적 색채 기법이 '체온 가시화'로 변질된 '열 점묘'. 점 집합 + 위색 팔레트. 거리감 있는 군중에 강력	mostly pointillist divisionism (thousands of distinct pure-color dots, optical mixing), in an infrared false-color palette — magenta-pink foliage, surreal candy tones, eerie high-contrast sky built from colored dots	'겉과 다른 진실'·은폐된 열기(분노·갈등) 가시화 풍자 — 군중의 숨은 감정 온도	근접 시 디테일 완전 소실(점+위색 이중). 피부톤 극도 비현실화. 특정 작품 구도 회피	검증: 점묘(STYLE56)·위색(STYLE45) 둘 다 등재 양식. 둘 다 '거리·이상 징후' 메타포라 의미 시너지. 이미지 우선
FUS-10	단청 아르데코	한국 단청 오방색(STYLE73) 60% × 아르데코 포스터(STYLE37) 40%	단청의 오방색·대칭 장식 패턴에 아르데코의 기하 선버스트·금흑 배색·유선형 정렬이 — 동서양 장식 양식이 만난 '모던 단청'. 둘 다 평면·대칭·금색 친화라 자연스러운 합성. 한난 교차 + 기하 스트림라인	mostly Korean dancheong ornamentation (five cardinal colors red-blue-yellow-black-white, symmetric patterns, flat lacquered look), with a subtle Art Deco accent — streamlined geometric framing, sunburst motif, gold-and-black elegance	전통 권위·행사·의례의 럭셔리 풍자 — 단청 의례색 + 아르데코 고급 키치	인물보다 장식 위주(둘 다 패턴 화풍) — 배경·프레임용. 단청 오방색 정합 유지(보색 과하면 변질)	검증: 둘 다 대칭·기하·평면·금색 = 구조적 시너지(웹검색 확인). 한국 고유 + 모던. 배경 레이어 권장. 이미지 우선
