ID	상황(시나리오)	샷 구성(멀티샷 — 샷별 한 줄, 모듈 ID 참조)	추천 모듈 코드	연출·풍자 포인트	리스크/주의	비고
SC-01	사과 기자회견(고개숙임)	1) S07 MCU·H01 눈높이·M01 고정 — 단상 앞 인물, 굳은 사회적 미소(EM-02) / 2) S06 미디엄·H01·M50 마이크로 푸시 — GST-13 90도 사죄 절, 시선 바닥 / 3) S09 빅CU·M01 — EM-45 압박 속 입꼬리 떨림·침 삼킴(EM-18) / 4) S03 와이드·V13 중계 — ENV10 회견장, 플래시 점멸·기자석	ENV10·GST-13·EM-02·EM-45·EM-18·V13·AU-19·NEG07	절의 각도와 가짜 미소(EM-02)의 낙차가 풍자 펀치 — 굽힌 등 위로 셔터 세례(권력 카메라). 마이크로 푸시로 '누설되는 속내'(EM-10) 강조	1인 단독이라 다인물 함정 적음 / 실존인물=캐리커처·라벨(SF-07) / 마이크 다발 한글 명패·플래시 플리커는 NEG03·NEG04, 자막 후반	한국 사과 회견의 정본 세트. GST-13+EM 누설이 핵심 조립
SC-02	국회 본회의 충돌·몸싸움	1) S16 쓰리샷·H03 로우·M16 핸드헬드 — ENV07 본회의장, 여야 도열 대치(BLK-08) / 2) S15 투샷·M16 — GST-19 멱살·밀치기, 둘 다 휘청 / 3) S10 ECU 인서트·M01 — 움켜쥔 옷깃·구겨지는 서류 디테일 / 4) S03 와이드·H04 부감·M02 팬 — 난장판 전경, BLK-18 배경 반응 의원	ENV07·GST-19·BLK-08·EM-42·M16·V11·NEG12·NEG18	로우앵글이 권력 충돌을 격투기처럼 격상(풍자 반전). 핸드헬드 현장감 + 부감으로 '난장판'을 객관화. EM-42 고함 표정	⚠️ 다인물 함정 핵심 — 2인 밀착 상호작용만 클로즈로, 군중은 배경 처리(NEG12·NEG18) / 폭력은 멱살·밀침까지(타격 직접 묘사 회피) / 의회 로고·명패 한글 후반	샷당 2인 상한 엄수. GST-19는 손접촉 NEG01 병기
SC-03	법정 선고 순간	1) S06 미디엄·H02 약한 하이앵글·M50 — ENV08 법정, 판사석 선고 / 2) S08 CU·M01 — 피고 EM-26 축 처진 자세·EM-32 수치 / 3) S10 ECU 인서트·M01 — 의사봉 내리치는 손(GST-25 계열) / 4) S16 쓰리샷·R01 OTS — 방청석 반응(BLK-18), 차가운 정적	ENV08·EM-26·EM-32·LIGHT19·S14·AU-11·NEG02	선고=권력의 언어. 의사봉 인서트 + 침묵(AU-11)으로 무게. 피고를 약한 하이앵글로 위축(윤리 카메라 역방향=심판받는 쪽)	피고가 실존이면 캐리커처·라벨(SF-07) / 법복·법정 한글 명패 고증은 ENV08 메모, 자막 후반 / 1~2인 클로즈만	선고 순간=정지+의사봉 인서트의 리듬. AU-11 침묵 무기
SC-04	청문회 추궁(샌드위치 협공)	1) S16 쓰리샷·H01·M01 — BLK-16 샌드위치 협공, 증인 가운데 양옆 의원 / 2) S08 CU·M50 마이크로 푸시 — 증인 EM-45 압박 누설·EM-40 깜빡임 폭증 / 3) R01 OTS·V16 리버스 POV — 추궁 의원 어깨너머 증인 / 4) S10 ECU 인서트 — 책상 위 떨리는 손·물컵	BLK-16·GST-22·EM-45·EM-40·EM-09·V16·S14·NEG12	양옆에서 가두는 2:1 구도(BLK-16)가 권력 비대칭을 시각화. 마이크로 푸시로 증인을 서서히 조임. GST-22 선서와 EM 누설 대비	⚠️ 3인 프레임 — 증인 1명 포커스 명시, 협공자 2인은 측면·실루엣 처리(NEG12) / 증인 실존=라벨(SF-07) / 명패 한글 후반	BLK-16+EM-45가 '추궁'의 정본 조립. 협공자는 어깨/뒤로
SC-05	정치인 시장 방문	1) S03 와이드·M09 트래킹 — ENV11 재래시장, 수행원 거느리고 입장(BLK-15 도열) / 2) S06 미디엄·M40 팔로우 정착 — 상인과 GST-01 악수·EM-02 사회적 미소 / 3) S10 ECU 인서트 — 어묵·떡볶이 시식하는 입(어색한 과장) / 4) S07 MCU·V13 — 카메라 의식한 엄지척(GST-12)	ENV11·GST-01·GST-12·EM-02·M09·BLK-15·V11·NEG12	'민생 행보'의 연출성 풍자 — 가짜 미소(EM-02)·카메라 의식 엄지척(GST-12)이 쇼임을 폭로. 수행원 도열(BLK-15)로 권력 과시	⚠️ 시장 군중=다인물 함정, 배경 처리·포커스는 정치인 1인(NEG12·NEG30) / 실존=캐리커처(SF-07) / 간판·메뉴판 한글 후반(NEG03)	ENV11+GST-12가 '시장 쇼' 정본. 시식 인서트가 풍자 포인트
SC-06	단독 인터뷰	1) S07 MCU·H01·M01 — ENV05/스튜디오, 인물 3/4 응시, LIGHT19 / 2) R01 OTS — 인터뷰어 어깨너머(2인 블로킹 BLK-08) / 3) S08 CU·M50 — 핵심 질문에 EM-24 얼굴 만지기·EM-13 회피 시선 / 4) S10 ECU 인서트 — 깍지 낀 손·손가락 첨탑(EM-23)	S07·EM-23·EM-24·EM-13·R01·LIGHT19·BLK-08·NEG07	차분한 미디엄에서 결정적 질문에 누설 단서(EM-24·EM-13) 삽입 — '말과 몸의 불일치' 풍자. EM-23 첨탑으로 계산된 권력자 인상	단서는 단서일 뿐(거짓 증거 아님) — 풍자 맥락 명시 / 실존=라벨(SF-07) / 5초+ 립싱크 저하(NEG07), 대사 샷 짧게	2인 대화 OTS 정본. 누설 단서는 EM-10/24의 '한 프레임'만
SC-07	촛불 시위 현장	1) S17 익스트림 설정·H04 부감·M19 드론 — 광장 가득 촛불 바다, 야경 / 2) S03 와이드·M09 트래킹 — 행진하는 군중(BLK-09 초점 인물) / 3) S08 CU·M16 핸드헬드 — 촛불 든 손·진지한 얼굴(EM-12 직시) / 4) S10 ECU — 흔들리는 촛불 하나(상징 인서트)	ENV02·BLK-09·LIGHT21/촛불·M19·M16·V11·AU-22·NEG18	부감 스케일(군중=여론의 규모)→개인 클로즈(한 명의 진심)의 낙차. 촛불=다이제틱 광원의 정서. 권력이 아닌 시민 측은 눈높이·직시(EM-12)	⚠️ 군중 사지 융합(NEG18)·배경 얼굴(NEG30)=아웃포커스로 / 특정 집회 동일시 회피 / 현수막 한글 후반(NEG03) / 촛불 플리커는 의도(NEG04 빼기)	ENV+BLK-09+촛불 광원의 조립. 부감→CU 스케일 낙차가 핵심
SC-08	정책 발표 브리핑	1) S06 미디엄·H01·M01 — 단상·연단, GST-09 차트 가리키며 설명 / 2) S13 인서트·M02 팬 — 뒤 스크린 그래프(한글 후반) / 3) S07 MCU·M50 — EM-41 설득조 발화 표정·눈썹 오르내림 / 4) S16 쓰리샷·R04 — 기자석 받아적는 반응(BLK-18)	GST-09·EM-41·S13·BLK-18·LIGHT09·AU-12·NEG32·NEG03	브리핑의 '권위 연출'을 차트·설득 표정(EM-41)으로 — 화려한 그래프 뒤 공허(풍자는 그래프 내용으로). GST-09 지시 제스처가 통제감	스크린·차트 한글 UI는 NEG32·NEG03 핵심, 후반 합성·단색화 / 그래프 수치는 묘사 생략 / 실존=라벨	GST-09+EM-41 정본. 그래프는 비우고 후반(가짜 통계 풍자)
SC-09	압수수색	1) S03 와이드·M16 핸드헬드 — ENV05/관공서, 수사관 진입(BLK-07 문턱 동선) / 2) S10 ECU 인서트 — 봉인 스티커·박스에 담기는 서류(MT-35 도장) / 3) S08 CU·M45 바닥 훑기 — 분주한 발·캐비닛 / 4) S07 MCU·M01 — 지켜보는 직원 EM-04 두려움	ENV05/ENV06·BLK-07·S13·MT-35·M16·M45·EM-04·NEG12	'정의의 집행'과 '권력의 칼' 양가 — 봉인·박스 인서트의 절차적 무게. 핸드헬드 현장 긴박. 문턱 진입(BLK-07)=공간 침범	실제 기관 로고·압수물 한글 후반(NEG03) / 다수 수사관=다인물 함정, 2인 상한·나머지 배경(NEG12·NEG18) / 의혹 단계 명시(SF-07)	BLK-07 진입+증거 인서트(MT-35) 정본. 박스·봉인이 시그니처
