ID	팁 제목	분류	핵심 내용(구도/시점 기법 — 바로 쓸 수 있게)	출처(플랫폼·크리에이터 유형)	적용(이미지/영상)	비고
CTP-01	눈높이에 카메라를 둬라	1인칭/POV	1인칭은 '사람 눈이 실제로 있는 높이'(서면 약 150cm)에 렌즈를 두는 게 핵심. 가슴·헬멧 마운트도 결국 이 높이를 흉내내는 것 — 너무 낮거나 높으면 즉시 '게임캠' 같아져 몰입이 깨진다	유튜브·브이로그 크리에이터	영상	V01/V03과 세트 — 거리·왜곡은 CTP-09. "camera at natural human eye level"
CTP-02	손과 소품을 프레임에 넣어라	1인칭/POV	1인칭 몰입의 1순위 트릭: 손이 화면에 들어와 문을 열고·물건을 집고·가리키게 한다. 손은 늘 움직이니 일부러 빼지 말고 그대로 둘 것. 거울뉴런이 시청자를 '내 손'으로 착각하게 만든다	유튜브 촬영 크리에이터	이미지·영상	V01·V15(인서트 POV) 강화. "hands enter frame interacting, opening/holding/pointing"
CTP-03	목이 아니라 코어로 돌려라	1인칭/POV	POV 팬은 손목·고개만 까딱하지 말고 몸통(코어)에서 돌린다 — 사람이 실제로 둘러보는 방식. 90도 회전에 약 3초. 빠르면 어지럽고 가짜 같다	유튜브 브이로그 크리에이터	영상	M-팬 어휘와 세트. "slow deliberate pan turning from the core, ~3s per 90°"
CTP-04	전경 차폐로 깊이를 훔쳐라	구도/프레이밍	렌즈 바로 앞에 잎·난간·어깨·유리 등 흐릿한 전경물을 두면 즉시 3층(전경·중경·배경) 깊이가 생긴다. 전경은 일부러 초점 밖으로 — 피사체 앞쪽이 뒤쪽보다 더 잘 흐려져 만들기 쉽다	사진·영화 크리에이터(Photzy·indepthcine)	이미지·영상	COMP-12와 구분(이건 '바로 쓰는 재료 처방'). "soft out-of-focus foreground element close to lens, 3-layer depth"
CTP-05	무엇이든 '통해서' 찍어라	구도/프레이밍	창틀·문틈·군중 머리·철망·유리잔 사이로 찍으면 프레임 속 프레임 + 차폐 + 맥락이 한 번에. 철망 너머=감금, 군중 너머=관음 식으로 의미까지 붙는다. 전경물은 화면을 꽤 채울 만큼 가까이	사진 크리에이터(Photzy)	이미지·영상	R09·COMP-11 현장판. "shoot through foreground object (window/crowd/fence/glass), frame-within-frame"
CTP-06	전경을 어둡게 눌러 시선을 몰아라	구도/프레이밍	전경 차폐물을 일부러 어둡게(촬영 또는 후반) 만들면 밝은 피사체로 시선이 빨려든다. 유리·물 같은 투명 전경은 반사·굴절로 화면에 멋까지 더한다	사진 크리에이터(Photzy)	이미지·영상	COMP-35(톤 분리)와 정합. "darken the foreground frame to push attention to the lit subject"
CTP-07	셀카는 팔을 끝까지 펴라	셀카/브이로그 구도	얼굴에서 멀수록 광각 왜곡(코·이마 부풀음)이 줄고 배경 여유도 생긴다. 반쯤 편 팔 < 완전히 편 팔 < 셀카봉·삼각대 순으로 비율이 좋아진다 — 거리가 곧 품질	사진·셀카 크리에이터(SignatureEdits 등)	이미지·영상	CTP-09(거리=왜곡)와 짝. "extend arm fully or use stick/tripod for distance, less wide-angle face distortion"
CTP-08	셀카·토킹헤드 얼굴은 중앙을 피해라	셀카/브이로그 구도	얼굴을 정중앙 말고 삼분할 교차점에 두면 즉시 프로 같아지고, 남는 쪽에 배경 맥락(=이야기)이 들어온다. 시선 방향 앞쪽에 여백(노즈룸)을 줄 것	셀카·브이로그 크리에이터	이미지·영상	COMP-05·19 현장판. "face on a thirds intersection, leave room in gaze direction"
CTP-09	거리가 왜곡을 결정한다	1인칭/POV	POV·셀카에서 광각으로 가까이 가면 손·팔·코가 부풀어 보인다(의도면 OK, 아니면 독). 자연스러운 1인칭은 적당한 거리 + 너무 넓지 않은 화각. FPS 게임 느낌을 원하면 반대로 0.5x 초광각으로 바짝	모바일 필름 크리에이터(TikTok keanu.visuals 등)	이미지·영상	L01~L03(광각)·V01 단서. "control lens-to-subject distance to dial first-person distortion"
CTP-10	빠른 셔터로 정점을 얼려라	액션 촬영	격렬한 동작은 빠른 셔터(1/1000초 이상)로 물방울·점프·발차기를 칼같이 정지. AI 프롬프트로는 "frozen mid-action, crisp motion, fast shutter, every detail sharp"로 '얼어붙은 순간'을 지시	스포츠 사진 크리에이터(Sony Alpha·Skylum)	이미지·영상	47(액션)과 구분 — 이건 '얼림 vs 흘림' 선택 처방. "fast shutter freeze at the peak of action"
CTP-11	패닝으로 속도를 흘려라	액션 촬영	반대로 속도감을 원하면 느린 셔터(1/60~1/125초)로 피사체를 따라 카메라를 움직인다 — 인물은 선명, 배경은 쭉 흐름. 모터스포츠·달리기·자전거에 강함. 프롬프트: "panning shot, sharp subject, motion-blurred streaking background"	스포츠 사진 크리에이터(Tamron·PhotographyMad)	이미지·영상	M-팬/트래킹과 세트. "panning: follow the subject at slow shutter, streaked background = speed"
