ID	대분류	한국어명	영문명	기준	변수 역할	사용하면 좋은 상황	GPT Image 2용 삽입 지시문	Gemini용 삽입 지시문	추천 조합	피해야 할 조합	시각 효과	감정 효과	왜곡/실패 리스크	강도	유사어/검색어	Gemini_NanoBanana2_예시장면_참고용	Gemini_NanoBanana2_ChatGPT지시문	Gemini_NanoBanana2_Gemini키워드	Gemini_NanoBanana2_효과	Gemini_NanoBanana2_리스크	Gemini_NanoBanana2_유사어	Gemini_비교판정	Gemini_분리인덱스필요	Gemini_메모
O01	카메라 방향	정면 샷	Front-On Shot	피사체를 정면에서 봄	방향/직면 변수	포스터, 증명사진, 패션, 강한 응시, 대칭 구도	Frame the subject front-on, facing the camera directly, with a clear symmetrical composition and direct gaze.	front-on shot, direct gaze, symmetrical composition, facing camera	eye-level, medium close-up, full shot, centered composition	natural candid scene, hidden observer feeling	정면성과 대칭성이 강함	직설, 자신감, 아이코닉함	딱딱하거나 연출 티가 날 수 있음	Normal	straight-on shot, frontal view, direct-facing	An iconic fashion movie poster featuring a fierce model staring directly into the camera lens with absolute confidence, set against a stark pitch-black background.	Frame the subject front-on, facing the camera directly, with a clear symmetrical composition and direct gaze.	front-on shot, facing the camera directly, symmetrical composition, direct gaze	직설적, 강함, 아이코닉함	딱딱하거나 연출 티가 날 수 있음	straight-on shot, frontal view	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
O02	카메라 방향	쓰리쿼터 샷	Three-Quarter Shot	정면에서 30–45도 틀어 봄	방향/입체감 변수	인물, 광고, 캐릭터 소개, 얼굴 구조와 깊이감 표현	Use a three-quarter angle to show facial structure and depth, making the subject feel natural and dimensional.	three-quarter angle, natural face depth, dimensional portrait	35mm, 50mm, 85mm, medium close-up, portrait	strict symmetry, passport-style front view	얼굴과 몸에 입체감이 생김	자연스러움, 세련됨, 현실감	각도 지시가 약하면 정면으로 나올 수 있음	Subtle	3/4 view, three-quarter view, angled portrait	A professional corporate portrait of a businesswoman smiling warmly, showcasing her elegant navy blazer and sophisticated posture.	Use a three-quarter angle to show facial structure and depth, making the subject feel natural and dimensional.	three-quarter shot, 3/4 view, defining facial structure, adding depth and dimension	입체감, 자연스러운 미형	각도 지시가 애매하면 정면으로 나올 수 있음	3/4 view, three-quarter view	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
O03	카메라 방향	프로필/측면 샷	Profile / Side Shot	완전 측면	방향/실루엣 변수	실루엣, 대화 대치, 걷는 장면, 자동차, 방향성 강조	Use a profile side shot, showing the subject from the side with a clear silhouette and directional movement.	profile shot, side view, clear silhouette, directional movement	long shot, medium shot, backlight, silhouette	direct emotional eye contact, face identity clarity	윤곽선과 방향성이 강조됨	거리감, 관찰감, 그래픽한 인상	표정과 정체성 정보가 줄어듦	Normal	side profile, side view, profile angle	The sharp side profile silhouette of a contemplative man looking out at a crimson sunset over a completely calm ocean horizon.	Use a profile side shot, showing the subject from the side with a clear silhouette and directional movement.	profile side shot, full side view, sharp silhouette, clear directional movement	관찰감, 거리감, 그래픽한 선	표정 정보가 줄어듦	side profile, side view	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
O04	카메라 방향	후면 샷	Back Shot / Rear View	뒤에서 피사체를 봄	방향/미스터리·여운 변수	고독, 여행, 떠남, 미스터리, 목적지, 관찰자 시점	Frame the subject from behind, emphasizing mystery, solitude, direction, and the environment ahead.	back shot, rear view, subject from behind, solitude, mystery	wide shot, long shot, landscape, cinematic backlight	facial expression, beauty portrait, identity reveal	앞을 향한 방향성과 배경이 강조됨	고독, 여운, 궁금증, 여행감	얼굴 감정 전달 불가	Normal	rear view, from behind, back view	A lonely traveler carrying a worn leather backpack standing at the edge of a foggy mountain cliff, looking out over a vast sea of endless clouds.	Frame the subject from behind, emphasizing mystery, solitude, direction, and the environment ahead.	rear view shot, back view, framing the subject from behind, emphasizing mystery and the environment ahead	고독, 여운, 목적지 감각	얼굴 감정 전달 불가	rear view, from behind, back view	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
O05	카메라 방향	7/8 뷰	Seven-Eighths View	정면에서 아주 살짝(약 10~15도) 틀어 봄	방향/거의 정면 변수	정면의 강함을 유지하되 딱딱함만 푸는 미세 회전	Frame a seven-eighths view: almost front-on but turned just slightly off axis to soften rigid symmetry while keeping a near-direct gaze.	seven-eighths view, nearly front-on, slight off-axis turn, near-direct gaze	포스터·인물 + 중앙 구도	완전 측면 실루엣	거의 정면·미세 회전	자신감+자연스러움	정면과 구분 미미	Subtle	7/8 view, near-frontal, slight angle	—	—	—	—	—	—	—	아니오	리서치 추가(260613): O01(정면)과 O02(3/4) 사이 — 격식 인물 풍자 포스터에 유효. 무변경
O06	카메라 방향	백-쓰리쿼터 뷰	Back Three-Quarter View	뒤에서 30~45도 틀어 봄 — 후면과 측면 사이	방향/등돌림 입체 변수	떠나는 인물에 약간의 옆얼굴·맥락 — 후면샷보다 정보 많음	Use a back three-quarter view: the subject seen from behind and slightly to the side, revealing a sliver of profile and the path ahead.	back three-quarter view, rear oblique angle, sliver of profile, environment ahead	와이드·롱샷 + 시네마 백라이트	정면 응시·정체 공개	후면+측면 절충	여운+약간의 정체성	얼굴 감정 여전히 약함	Normal	rear three-quarter, back oblique view	—	—	—	—	—	—	—	아니오	리서치 추가(260613): O03(측면)·O04(후면) 사이 — '떠나는 권력자' 풍자에 유효. 무변경
O07	카메라 방향	시선 회피 (룩킹어웨이)	Looking Away	얼굴은 보이되 시선은 카메라 밖	방향/회피·사색 변수	사색·회피·죄책감 — 정면이되 눈을 마주치지 않음	Frame the subject looking away from the camera, face visible but gaze directed off-frame, evoking contemplation, avoidance, or guilt.	looking away, gaze off-frame, averted eyes, contemplative or evasive	미디엄CU + 사색·죄책 씬	강한 직접 응시 포스터	얼굴 보임·시선 회피	사색, 회피, 죄책감	메시지 약하면 무심해 보임	Subtle	looking off-camera, averted gaze, off-frame look	—	—	—	—	—	—	—	아니오	리서치 추가(260613): O01(직면 응시)의 정서적 반대 — '회피·발뺌하는' 풍자 인물에 강함. 무변경
O08	카메라 방향	반측면 (세미 프로필)	Semi-Profile	측면에서 살짝 정면 쪽으로 — 3/4 측면 사이	방향/측면 입체 변수	완전 측면보다 한쪽 눈·뺨이 더 보이는 그래픽한 입체	Use a semi-profile orientation, between full profile and three-quarter, showing one eye and cheek with a strong directional, graphic line.	semi-profile, between profile and three-quarter, one eye visible, graphic directional line	실루엣·역광 + 미디엄CU	정면 대칭 증명사진	측면+약간 정면	그래픽함, 방향성, 거리	여전히 표정 정보 제한	Normal	semi-profile, near-profile, 7/8 profile	—	—	—	—	—	—	—	아니오	리서치 추가(260613): O03(완전 측면)과 O02(3/4) 사이 단계 보강. 무변경
O09	카메라 방향	뒤돌아보기 (룩백)	Look-Back / Glance Over Shoulder	몸은 등을 돌리되 얼굴을 카메라로 돌림	방향/등돌림+재대면 변수	떠나려다 돌아보는 인물 — 후면의 여운에 얼굴 한 컷의 정체·감정을 더함	Frame the subject with their back turned but head rotated back toward the camera, glancing over the shoulder — solitude of departure plus a returned, knowing look.	look-back pose, glancing over the shoulder, back turned with head rotated to camera, returned gaze	롱샷·미디엄샷 + 떠나는·돌아보는 씬	정면 대칭 증명사진	등돌림+얼굴 재대면	여운, 미련, 의미심장한 응시	목 회전 부자연·표정 어색	Normal	over-shoulder glance, looking back, head-turned rear	—	—	—	—	—	—	—	아니오	리서치 추가(260613): O04(순수 후면)·O06(백-3/4 몸각도)와 분기 — 몸은 후면이되 얼굴만 재대면. '발 빼며 돌아보는 권력' 풍자에 강함. 무변경
O10	카메라 방향	정후면 대칭 샷	Dead-On Rear / Symmetrical Back	정확히 등 뒤 중앙에서 대칭으로	방향/정면후면 대칭 변수	후면샷(O04) 중에서도 좌우 대칭 정중앙 — 작아지는 뒷모습, 길·문·군중의 소실점	Frame a dead-on symmetrical rear view from directly behind the subject's center line, emphasizing a vanishing path, doorway, or crowd ahead with formal symmetry.	dead-on rear view, perfectly symmetrical back shot, centered behind subject, vanishing-point composition	와이드·롱샷 + 소실점 복도·군중	정면 응시·정체 공개	정중앙 대칭 후면	고독, 운명, 정연한 거리감	배경 단조·인물 감정 단절	Normal	straight rear view, centered back shot, symmetrical back	—	—	—	—	—	—	—	아니오	리서치 추가(260613): O04(후면) 일반형의 정대칭 극단 분기(Videomaker '정후면' 명시) — '거대 구조 앞 작아지는 개인' 풍자. 무변경
O11	카메라 방향	정측면 프로필 (그래픽 측면)	Strict Profile / Graphic Side	완전 90도 측면 — 평면적·기표적 윤곽	방향/평면 기표 변수	프로필(O03)을 의도적으로 더 평면·도식화 — 동전·우표·실루엣처럼 권위의 '아이콘화'	Frame a strict 90-degree profile, deliberately flat and graphic like a coin or stamp portrait, turning the subject into an iconic directional silhouette.	strict profile, flat graphic side view, coin-portrait silhouette, 90-degree iconic profile	역광·실루엣 + 그래픽 포스터	입체 인물·정면 응시	완전 평면 측면	기표화, 권위 아이콘, 냉정한 거리	표정·정체 정보 최소	Normal	flat profile, coin profile, graphic side view	—	—	—	—	—	—	—	아니오	리서치 추가(260613): O03(프로필) 중 의도적 평면·도식화 분기(Shotkit '프로필=격식·평면 효과') — '동전 속 권력자'식 풍자 아이콘화. 무변경
