ID	카드 정서/역할	화풍	샷	앵글/방향	화각	조명
CD-01	비통·상실 (피해자, 감정 피크)	A	S08 CU / S10 ECU	O03 프로필	L12 85mm	LGT03 / LGT01
CD-02	부재·여운 (빈 공간)	A	S03 WS / S06 MS	H01 / H04	L08 35mm	LGT01 / LGT04
CD-03	무차별·고립·막막	A/B	S02 EWS / S03 WS	H04 버드아이	L03·L05	LGT02 / LGT08
CD-04	분노·격앙 (구조·권력)	B	S08 CU / S06 MS	H03 로우 / H06 더치	L10 50mm	LGT09
CD-05	권력·가해 해부	B	S07 MCU / S06 MS	H02 하이	L10 50mm	LGT09
CD-06	긴박·공포	B	S08 CU / S06 MS	H06 더치 / R02 POV	L06 24mm	LGT03
CD-07	대치·심문	B	R01 OTS / S06 MS	O03 프로필	L11 70mm	LGT09
CD-08	헌사·추모	A	S03 WS / S06 MS	H03 로우 / H01	L08 35mm	LGT05
CD-09	증거·디테일 (텍스트 표면)	A/B	S10 ECU	H02 하이	L13 100mm macro	LGT04
CD-10	미성년 안전 시각화	A	S03 WS / S10 ECU	O04 후면	L08 35mm	LGT10
CD-11	위선·이중성 폭로	B	S08 CU	R07 거울 투샷	L12 85mm	LGT09
CD-12	권력 과시·허세	B	S05 카우보이 / S16 앙상블	H03 로우 / H11 캔티드로우	L10 50mm	LIGHT20
CD-13	몰락·실각	B	S06 MS	H10 캔티드하이	L11 70mm	LGT18
CD-14	희망·안도	A	S03 WS	H01 아이레벨	L08 35mm	LGT16
CD-15	아이러니·풍자 비틀기	A/B	S13 인서트 / S14 컷어웨이 병치	O07 회피 시선	L09 40mm	LGT07
CD-16	관료적 부조리	A/B	S16 앙상블	H09 갓즈아이	L05 20mm	LIGHT18
CD-17	감시·관찰됨	B	S03 WS	R09 전경 프레이밍	L15 200mm	LGT22
CD-18	군중·집단	A/B	S17 익스트림설정 / S02 EWS	H04 / H09 부감	L03 14mm	LGT08
CD-19	결의·각오	A/B	S08 CU	H03 로우	L12 85mm	LGT02
CD-20	데이터·설명(중립)	인포그래픽(STYLE28)	S06 MS	H01 아이레벨	L09 40mm	LIGHT15
CD-21	충격·반전	B	S12 초커	H06 더치	L13 100mm	LIGHT35
NOTE	인접 카드 샷+앵글 동시 동일 금지 · 표는 출발점, 사건 결이 우선
