ID	한국어명	영문명	정의/기준	영상(Kling 멀티샷/후반) 적용	추천 상황	추천 조합	리스크/한계	비고
TR-01	하드 컷	Hard Cut	즉각 전환(효과 0)	Kling 멀티샷 = 기본 컷. 샷 경계 자동	대부분의 전환·정보 진행	M01(고정)·AU-14	무분별 남발 = 산만(머치 룰)	정본 전환. 머치 '룰 오브 식스'=감정>스토리>리듬 순
TR-02	매치 컷	Match Cut	형태·구도 닮은 두 샷 연결	멀티샷서 두 샷 구도 일치 지시(후반 정밀 정렬)	은유·시간 점프·주제 연결	COMP-06(구도 일치)·STYLE	구도 정밀 매칭 어려움 → 후반 보정	'뼈→우주선' 류. 풍자 비유에 강력
TR-03	액션 매치	Match-on-Action	동작 연속을 컷으로 봉합	멀티샷 동작 이어받기(문 미는 손→열린 문)	자연스러운 동작 연결	M09(트래킹)·AN-03	두 샷 동작 타이밍 불일치 위험	컷 안 보이게 = 연속편집 정석
TR-04	그래픽 매치	Graphic Match	색·형태·패턴 유사로 연결	샷 간 동일 형태/색 배치	디자인적 전환·주제 운율	COMP-25(패턴)·CG	모델 일관성 약함 → 후반 안정	원형→태양→동전 류 시각 운율
TR-05	스매시 컷	Smash Cut	정적→격렬(또는 역) 급전환	샷 경계서 톤 급반전 + AU-05 스팅어	펀치라인·충격·코미디 비트	AU-05(스팅어)·M14(크래시줌)	타이밍은 후반이 정밀	조용함 뒤 쾅 = 풍자 충격
TR-06	점프 컷	Jump Cut	같은 구도서 시간 건너뜀	동일 프레임 미세 변화 멀티샷	시간 압축·초조·코믹 반복	STYLE(브이로그)·V02	연속성 깨짐(의도일 때만)	유튜버 편집 시그니처. 의도적 거침
TR-07	크로스 디졸브	Cross Dissolve	두 샷 겹쳐 점진 전환	후반 효과(모델 직접 약함)	시간 경과·회상·부드러운 연결	M21(타임랩스)·LGT	디졸브 직접 생성 불가 → 후반 표준	꿈·회상·시간 경과 관용구
TR-08	페이드 인/아웃	Fade In / Out	검정에서/으로 점진	후반. 또는 첫/끝 프레임 어둠 연출	오프닝·엔딩·챕터 구획	AU-02(스코어)·LGT	모델은 페이드 미생성 → 후반	시작·끝의 호흡
TR-09	딥 투 블랙/화이트	Dip to Black / White	순간 흑/백 경유 전환	후반. 화이트=충격·각성, 블랙=단절	시간 점프·기억·충격 단절	FX-22(필름 번)·AU-06	후반 전용	딥 투 화이트 = 회상·플래시백 신호
TR-10	와이프	Wipe	경계선이 화면을 밀어냄	후반(스타워즈식). 모델 미지원	레트로·만화적·경쾌	STYLE16(웹툰)·AR-07	구식 톤 — 남용 주의	복고·코믹 전환
TR-11	아이리스	Iris In / Out	원형 마스크 개폐	후반. 무성영화/카툰 톤	레트로·강조·코믹 마무리	STYLE07·FX-19(블룸)	매우 구식 — 의도적 사용만	'That's all folks' 류 엔딩
TR-12	J컷 / L컷	J-cut / L-cut	소리가 영상보다 먼저/늦게 걸침	Kling 멀티샷=자동 L컷(연속)·J컷은 후반	대화·씬 봉합·매끄러운 흐름	AU-10(오디오 브리지)	J컷 지정 미검증 → 후반 정밀	'보기 전에 들어라'. AU-10과 세트
TR-13	모프 컷	Morph Cut	얼굴/형태 보간으로 컷 은폐	후반(Premiere 모프). 모델 직접 약함	인터뷰 점프 은폐·변신	FX-07(이중노출)·STYLE	아티팩트 위험 — 후반 전용	말 더듬 제거·매끄러운 인터뷰
TR-14	휩 팬 전환	Whip Pan Transition	고속 팬 블러로 씬 전환	M15 휩 팬을 샷 경계에 배치	에너지·장소 이동·경쾌	M15(휩팬)·AU-15	중간 프레임 뭉개짐(의도됨)	M15 교차참조. 빠른 풍자 리듬
TR-15	마스크/인비저블 컷	Masked / Invisible Cut	어둠·물체 지나갈 때 몰래 컷	M17 스테디캠 원테이크 연출 경유	원테이크 환영·매끄러운 공간	M17(스테디캠)·COMP-12	정밀 합성 필요 → 후반	기둥·인물 통과 순간 봉합
TR-16	폼 컷	Form Cut	같은 형태로 다른 대상 연결	멀티샷 동일 윤곽 배치	시각 운율·은유	COMP-06·TR-04	그래픽 매치와 경계 모호	형태 운율 — 매치/그래픽의 친족
