ID	대분류	한국어명	영문명	기준	변수 역할	사용하면 좋은 상황	GPT Image 2용 삽입 지시문	Gemini/Nano Banana 2용 삽입 지시문	추천 조합	피해야 할 조합	시각 효과	감정 효과	왜곡/실패 리스크	강도	유사어/검색어	검증 상태	분리 인덱스 필요	메모
STYLE01	화풍/스타일	포토리얼	Photorealistic	실사 렌더링 강도	화풍 변수	실사 인물, 풍자 실사, 제품, 뉴스 재현	Render the scene photorealistically with natural skin texture, accurate materials, and lifelike detail.	photorealistic, natural skin texture, sharp detail, lifelike	cinematic lighting + 50/85mm + subtle rim light	anime·painting 계열 동시 사용	실사 질감·재질 정확	현실감, 신뢰	피부 과보정·언캐니 밸리	Normal/Strong	photoreal, hyper-realistic	실증✅(260611 케이스1·2 — 품질 테일 핵심)	아니오	영상(Kling)·이미지 공용. 하우스 품질 테일 1번 키워드
STYLE02	화풍/스타일	시네마틱 35mm 필름	Cinematic 35mm Film	극영화 룩(그레인·계조)	화풍 변수	드라마·영화적 장면 전반	Shoot as if on 35mm color film with cinematic grain, rich contrast, and filmic color grading.	cinematic, shot on 35mm film, film grain, filmic color grade	LIGHT14(로우키)·LIGHT17(혼합 색온도) + S03~S08	VHS·픽셀 등 저화질 룩 혼용	필름 질감·영화 계조	몰입, 고급감	그레인 과다 시 노이즈처럼 보임	Normal	cinematic film look, 35mm	리서치✅(260611)	아니오	영상·이미지 공용
STYLE03	화풍/스타일	16mm 거친 필름	16mm Film Grain	저예산 인디·다큐 필름	화풍 변수	인디 감성, 회상, 거친 현장감	Shoot on grainy 16mm film with desaturated colors and a raw indie texture.	16mm film, heavy grain, desaturated, raw indie look	핸드헬드(M16) + 자연광	클린 광고 룩	거친 입자·탈색	날것, 향수	디테일 뭉개짐	Strong	16mm indie film	리서치✅(260611)	아니오	영상·이미지 공용
STYLE04	화풍/스타일	슈퍼8 노스탤지어	Super 8 Footage	8mm 홈비디오 회상	화풍 변수	추억·회상 씬, 가족 영상 톤	Emulate vintage Super 8 home movie footage with warm faded colors and soft grain.	Super 8 footage, vintage home movie, faded warm colors	골든아워(LIGHT01) + 핸드헬드(M16)	4K 선명도 요구 씬	빛바랜 따뜻한 톤	향수, 애틋함	피사체 식별력 저하	Strong	8mm home video	리서치✅(260611)	아니오	영상·이미지 공용
STYLE05	화풍/스타일	VHS 캠코더	VHS / Camcorder	90년대 비디오테이프	화풍 변수	레트로 호러, 밈, 아카이브 연출	Emulate 1990s VHS camcorder footage with scanlines, chroma noise, and timestamp overlay.	VHS footage, scanlines, chroma noise, camcorder, timestamp	V06(CCTV)·V11(관찰 다큐)	필름 그레인 룩과 혼용	스캔라인·번짐	불안, 레트로	글자·얼굴 뭉개짐	Strong	VHS tape, camcorder 90s	리서치✅(260611)	아니오	영상·이미지 공용
STYLE06	화풍/스타일	흑백 필름 누아르	B&W Film Noir	고대비 흑백·그림자	화풍 변수	범죄·심리·권력 고발 톤	Render in black-and-white film noir with hard shadows, venetian-blind light, and high contrast.	black and white, film noir, hard shadows, high contrast	LIGHT14(키아로스쿠로) + H03(로우앵글) + H06(더치)	파스텔·네온 컬러	강한 명암 그래픽	긴장, 음모	어두운 부분 디테일 소실	Strong	noir, monochrome	리서치✅(260611)	아니오	영상·이미지 공용. 노뮤트 악센트(film-noir low-key)와 호환
STYLE07	화풍/스타일	70년대 필름 룩	Technicolor / 70s Film	빈티지 컬러 사이언스	화풍 변수	시대물, 레트로 뮤비	Grade like 1970s color film with warm Technicolor-style saturation and gentle halation.	70s film look, technicolor, warm saturation, halation	골든아워(LIGHT01) + 줌(M12, 70년대 관용구)	네온 사이버펑크	따뜻한 빈티지 채도	향수, 낭만	피부톤 주황 쏠림	Normal	retro 70s grade	리서치✅(260611)	아니오	영상·이미지 공용
STYLE08	화풍/스타일	다큐멘터리	Documentary Style	관찰 카메라 사실주의	화풍 변수	인터뷰, 현장 르포, 풍자 모큐	Shoot in observational documentary style with available light and unobtrusive handheld camera.	documentary style, observational, available light, handheld	V11(관찰 다큐) + M16(핸드헬드) + S06~S07	과한 시네마틱 그레이딩	사실적 현장감	신뢰, 객관	밋밋해질 수 있음	Subtle/Normal	docu style, verite	리서치✅(260611)	아니오	영상·이미지 공용. 풍자 모큐멘터리에 유효
STYLE09	화풍/스타일	파운드 푸티지	Found Footage	발견된 기록물 연출	화풍 변수	호러·미스터리, 바이럴 연출	Present as found footage: shaky handheld, in-camera audio feel, imperfect framing.	found footage, shaky handheld, raw recording	V03(액션캠)·V04(바디캠)·STYLE05	안정된 시네마틱 무브	불완전 프레이밍	불안, 몰입	멀미·식별 저하	Strong	found footage horror	리서치🟡(260611)	아니오	영상 중심
STYLE10	화풍/스타일	애니메 키비주얼	Anime Key Visual	일본 애니 고품질 일러스트	화풍 변수	애니 풍 장면, 캐릭터 강조	Render as anime key visual artwork with clean lineart, vibrant colors, and detailed background.	anime artwork, key visual, vibrant, studio anime, highly detailed	셀 셰이딩(STYLE13)	photorealistic 동시 사용	선명한 라인·채색	활기, 양식미	실사 의도와 충돌	Strong	anime style	리서치✅(260611)	아니오	영상·이미지 공용
STYLE11	화풍/스타일	레트로 80s 애니	Retro 80s Anime	셀화 시대 애니	화풍 변수	시티팝·레트로 감성	Render in retro 1980s cel anime style with film grain, muted neon palette, and hand-painted backgrounds.	retro 80s anime, cel animation, city pop aesthetic	네온(LIGHT08) + 야경	최신 디지털 애니 룩	셀화 질감	향수, 무드	디테일 단순화	Strong	80s anime aesthetic	리서치✅(260611)	아니오	영상·이미지 공용
STYLE12	화풍/스타일	3D 애니메이션 영화룩	Soft 3D Animated Film Look	극장용 3D 애니	화풍 변수	코믹·가족·풍자 비실사화, 이야기 풀기	Render as a soft 3D animated feature film look with appealing character design and subsurface skin shading.	soft 3D animated film look, stylized characters, lively expressive animation	과장 연기 지시 + 코믹 톤 + 멀티샷 분할	photorealistic 혼용	둥글고 매력적 조형	유쾌, 친근	특정 스튜디오 닮음꼴 주의	Strong	3D animation movie style	실증✅(260611 피가로 — "생동감 넘치는 3D 애니메이션" 잘 뽑힘)	아니오	Pixar류 고유명 대신 우회 표현. 풍자 패턴②(화풍 치환) 주력 — 실사 에디토리얼 필수 아님(사용자 확인)
STYLE13	화풍/스타일	셀 셰이딩	Cel Shading / Toon	만화식 평면 음영	화풍 변수	게임·웹 애니 톤	Render with cel shading: flat toon colors, bold outlines, two-tone shadows.	cel shading, toon shaded, bold outlines	애니메 계열(STYLE10·11)	실사 질감	평면 음영·윤곽선	경쾌, 그래픽	입체감 약화	Strong	toon shading	리서치✅(260611)	아니오	영상·이미지 공용
STYLE14	화풍/스타일	수채 애니 필름룩	Soft Watercolor Anime Film	수채 배경 애니 영화	화풍 변수	서정·휴먼 스토리 비실사화	Render as a soft watercolor anime film look with painterly backgrounds and gentle natural light.	soft watercolor anime film look, painterly background, gentle light	자연광(LIGHT01·05) + 느린 무브(M04 slow)	하드 네온·누아르	수채 번짐 배경	서정, 따뜻함	특정 스튜디오 고유명 직접 사용 주의	Strong	watercolor anime	리서치✅(260611)	아니오	고유명 대신 우회 표현. 노뮤트 A화풍과 친족
STYLE15	화풍/스타일	클레이/스톱모션	Claymation / Stop-motion	점토·퍼펫 코마촬영	화풍 변수	기발·수공예 톤, 밈	Render as claymation stop-motion with visible fingerprints in clay and slightly jerky frame-by-frame motion.	claymation, stop-motion puppet, handcrafted	코믹 연기 + 단순 배경	실사 물리 요구 씬	수공예 질감·코마 모션	기발, 정감	모션 일관성 리스크	Strong	stop motion clay	리서치✅(260611)	아니오	영상 중심
STYLE16	화풍/스타일	웹툰 스타일	Webtoon Style	한국 웹툰 작화	화풍 변수	카드뉴스 연계, 풍자 비실사화	Render in Korean webtoon style with clean digital lineart and flat-to-soft cell coloring.	Korean webtoon style, clean lineart, digital coloring	노뮤트 화풍(STYLE23·24) 연계	실사 혼용	웹툰 작화	친숙(국내 독자)	모델이 '만화 일반'으로 뭉갤 수 있음	Normal/Strong	webtoon, manhwa style	리서치🟡(260611)	아니오	영상·이미지 공용
STYLE17	화풍/스타일	수채화	Watercolor Painting	수채 물감 회화	화풍 변수	감성·추모·예술 톤	Paint the scene in watercolor with soft washes, bleeding edges, and paper texture.	watercolor painting, soft washes, paper texture	자연광 + 정적 무브(M01)	네온·하드 그림자	번짐·투명감	서정, 차분	피사체 경계 소실	Strong	watercolour art	리서치✅(260611)	아니오	영상·이미지 공용
STYLE18	화풍/스타일	유화	Oil Painting	유화 임파스토	화풍 변수	클래식·중후 톤	Paint in oil with visible brushstrokes, impasto texture, and classical color harmony.	oil painting, impasto, visible brushstrokes	렘브란트 조명(LIGHT10)	모던 그래픽 룩	붓터치 질감	중후, 격조	디테일 뭉개짐	Strong	oil on canvas	리서치✅(260611)	아니오	영상·이미지 공용
STYLE19	화풍/스타일	수묵화	Ink Wash / Sumi-e	동양 수묵 농담	화풍 변수	동양적·명상 톤	Render as East Asian ink wash painting with bold brush strokes and vast negative space.	ink wash painting, sumi-e, negative space	안개·산수 환경	고채도 컬러	먹 농담·여백	고요, 격	형태 추상화	Strong	sumi-e, 수묵	리서치✅(260611)	아니오	영상·이미지 공용
STYLE20	화풍/스타일	우키요에	Ukiyo-e Woodblock	일본 목판화	화풍 변수	풍자 패러디·양식미	Render as ukiyo-e woodblock print with flat perspective, bold outlines, and traditional patterns.	ukiyo-e, woodblock print, flat perspective	풍자 패턴②(화풍 치환)	실사 혼용	판화 평면 양식	이국, 풍자 거리두기	인물 닮음 약화(의도적 활용 가능)	Strong	ukiyo-e print	리서치✅(260611)	아니오	풍자 화풍 치환 후보
STYLE21	화풍/스타일	사이버펑크 네온	Cyberpunk Neon	네온 미래 도시	화풍 변수	미래·디스토피아·뮤비	Render in cyberpunk style with neon-drenched streets, holographic signage, and wet reflections.	cyberpunk, neon lights, holographic, rain reflections	LIGHT08(네온) + 야경 + 광각(L03~L06)	골든아워·전원 풍경	네온 반사 야경	긴장, 미래	색 과포화	Strong	cyberpunk city	리서치✅(260611)	아니오	영상·이미지 공용
STYLE22	화풍/스타일	픽셀/로우폴리	Pixel Art / Low-poly	게임 그래픽 양식	화풍 변수	게임 패러디, 밈	Render as pixel art (or low-poly 3D) with limited palette and chunky retro game aesthetics.	pixel art, low-poly, isometric, retro game	아이소메트릭 구도	실사·필름 룩	도트/폴리곤 양식	유희, 레트로	세부 묘사 불가	Strong	8-bit, voxel	리서치✅(260611)	아니오	영상·이미지 공용
STYLE23	화풍/스타일	노뮤트-A 한국웹툰 수채화	Nomute-A Korean Webtoon Watercolor	브랜드 화풍 A	화풍 변수(브랜드)	휴먼·추모·감성 기사	→ ch13 NST-A (수채화 전문)	→ ch13 NST-A	STYLE14·17 키워드로 영상 이식	극화 B와 혼용	수채 웹툰	서정	영상 이식 시 톤 드리프트	Normal	노뮤트 A화풍	브랜드 정본(뉴스)	아니오	카드뉴스→영상 톤 통일용 포인터. 영상용 검증 대기
STYLE24	화풍/스타일	노뮤트-B 한국웹툰 극화	Nomute-B Korean Webtoon Gekiga	브랜드 화풍 B	화풍 변수(브랜드)	범죄·법리·권력·구조 고발	→ ch13 NST-B (극화 전문)	→ ch13 NST-B	STYLE06(누아르)·LIGHT14 + H03(로우앵글)	수채 A와 혼용	극화 펜선·명암	고발, 묵직	영상 이식 시 톤 드리프트	Strong	노뮤트 B화풍	브랜드 정본(뉴스)	아니오	카드뉴스→영상 톤 통일용 포인터. 영상용 검증 대기
STYLE25	화풍/스타일	3등신 데포르메 카툰	Chibi Deformed 3D Cartoon	머리·손 과장 비례(3등신)	화풍 변수(비례)	풍자·과장 코미디의 기본 비례(§4-1), 정치인 캐릭터화	Render the character with chibi proportions: oversized head and expressive hands, exaggerated facial expressions, cute deformed 3D style.	chibi proportions, oversized head and expressive hands, exaggerated facial expressions	STYLE12(3D 애니) + AN-06(과장)	실사 비례·정극 톤	표정·손 임팩트 극대	유쾌, 풍자 거리두기	신체 동작 정밀도 저하	Strong	chibi, SD character, 3등신	사용자 실측✅(260612 — 풍자 임팩트는 비례에서·유레카 9)	아니오	지침 §4-1 비례 선택의 모듈화 — 풍자 기본값. 실사 비례는 정극 톤일 때만
STYLE26	화풍/스타일	미니어처 디오라마	Miniature Diorama / Tilt-shift	틸트시프트 미니어처화	화풍 변수	도시·사회 구조를 내려다보는 풍자, 정책 설명	Render the scene as a tilt-shift miniature diorama with a shallow focus band and toy-like saturated colors.	tilt-shift miniature, diorama look, toy-like saturation, shallow focus band	H04(오버헤드) + L18(틸트시프트)	클로즈업 감정 씬	장난감 세상 효과	귀여움+냉소 동시	인물 식별 저하	Strong	tilt shift miniature	리서치⚪(260613) — 미실측	아니오	사회 구조를 판 위 말처럼 보이게 하는 풍자 각도
