ID	한국어명	Gemini 키워드	GPT 산문	분위기/용도
LGT01	따뜻한 아침광	warm soft morning light, gentle and quiet, faint melancholy	Light the scene with warm soft morning light that feels gentle, quiet, and faintly melancholic.	잔잔·여운·옅은 비애
LGT02	차가운 새벽광	cold blue pre-dawn tone, lone streetlight reflection on wet ground, desolate stillness	Use a cold blue pre-dawn tone with a lone streetlight reflection on wet ground and a desolate stillness.	황량·고독·정적
LGT03	어둑한 실내 저조도	cold blue dim interior light, heavy and suffocating, faint trembling tension	Use cold, dim interior lighting that feels heavy and suffocating with a faint trembling tension.	압박·긴장·불안
LGT04	따뜻한 데스크램프	warm soft desk-lamp light, quiet wistful tone	Light with a warm soft desk-lamp glow in a quiet, wistful tone.	사색·회한
LGT05	촛불 글로우	warm candlelight glow against soft dark background, solemn and tender	Use a warm candlelight glow against a soft dark background, solemn and tender.	추모·엄숙·따뜻
LGT06	골든아워	warm golden-hour sunlight, long soft shadows, nostalgic warmth	Bathe the scene in warm golden-hour sunlight with long soft shadows and nostalgic warmth.	회고·온기
LGT07	강한 정오 직사광	harsh overexposed midday sunlight, hard shadows, oppressive heat	Use harsh, overexposed midday sunlight with hard shadows that convey oppressive heat.	폭염·억압·노출
LGT08	흐린 날 확산광	overcast diffused daylight, flat soft shadows, muted somber mood	Use overcast diffused daylight with flat soft shadows and a muted, somber mood.	침울·무력·진지
LGT09	단일 하드 측광 (극화 합)	single hard side-light cutting across the subject, deep chiaroscuro shadows, tense atmosphere	Use a single hard side-light cutting across the subject with deep chiaroscuro shadows and a tense atmosphere.	B 극화 디폴트·긴장·명암
LGT10	역광 실루엣 (안전 시각화)	backlit silhouette with rim light, faces in shadow, no facial features visible	Backlight the figures into rim-lit silhouettes with faces in shadow and no facial features visible.	미성년 안전 시각화·익명
LGT11	편집증 스크린 언더글로	cold blue screen under-glow lighting the face from below in a dark room, restless paranoid unease	Light the face from below with a cold blue screen under-glow in a dark room, restless and paranoid.	편집증·몰입·고립
LGT12	멸균 임상 형광	flat sterile clinical fluorescent light, cold even greenish-white, emotionless institutional	Use flat sterile clinical fluorescent light, cold even greenish-white and emotionless.	삭막·관료·비인간
LGT13	신성한 볼류메트릭 경외	divine volumetric god-rays through haze, luminous descending shafts, reverent awe	Use divine volumetric god-rays descending through haze with luminous shafts and reverent awe.	경외·장엄·신성
LGT14	병적 녹색광	eerie sickly-green light, unsettling toxic cast, creeping dread	Bathe the scene in an eerie sickly-green light with an unsettling toxic cast and creeping dread.	불길·중독·병적
LGT15	단일 광웅덩이 고립	single pool of hard light isolating the figure in surrounding blackness, claustrophobic loneliness	Isolate the figure in a single pool of hard light surrounded by blackness, claustrophobic and lonely.	고립·압박·연극성
LGT16	희망찬 하이키	bright high-key light, clean white ambience, minimal shadow, hopeful and open	Light bright and high-key with clean white ambience and minimal shadow, hopeful and open.	희망·청결·경쾌
LGT17	향수 어린 바랜 온기	faded warm light, soft golden haze, gently nostalgic and wistful	Use a faded warm light with soft golden haze, gently nostalgic and wistful.	회고·아련·온기
LGT18	위협의 언더라이트	sinister under-lighting from below the face, inverted eerie shadows, menacing	Light from below the face with sinister inverted shadows that feel eerie and menacing.	위협·악역·불쾌
LGT19	포근한 친밀 랩광	soft wraparound key light, gentle falloff, tender warm intimacy	Use a soft wraparound key with gentle falloff for tender, warm intimacy.	친밀·포근·다정
LGT20	축제 다색광	festive multi-color party lights, magenta and cyan beams over a crowd, lively excitement	Light with festive multi-color party beams of magenta and cyan over a crowd, lively and exciting.	흥분·향락·축제
LGT21	심문 하드 천장광	harsh single overhead light pooling on the table, deep surrounding black, oppressive interrogation	Use a harsh single overhead light pooling on the table with deep surrounding black, oppressive.	압박·심문·고립
LGT22	감시 평면 한색광	flat cold even surveillance light, no shadow no warmth, detached and watchful	Use a flat cold even surveillance light with no shadow and no warmth, detached and watchful.	감시·무정·경계
